# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13455067	13455067	13455067			
N_multimapping			6734413	6734413	6734413			
N_noFeature			33168148	49057724	48956025			
N_ambiguous			2726235	711604	716281			
ENSG00000000003.15	TSPAN6	protein_coding	19	15	4	0.4230	0.1511	0.1446
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	642	328	314	53.7166	19.1846	18.3653
ENSG00000000457.14	SCYL3	protein_coding	1102	820	784	16.1690	5.7747	5.5281
ENSG00000000460.17	C1orf112	protein_coding	593	541	604	10.0314	3.5827	3.4296
ENSG00000000938.13	FGR	protein_coding	1534	754	782	45.8070	16.3597	15.6611
ENSG00000000971.16	CFH	protein_coding	85	47	38	1.0757	0.3842	0.3678
ENSG00000001036.14	FUCA2	protein_coding	656	482	497	23.4762	8.3844	8.0263
ENSG00000001084.13	GCLC	protein_coding	1725	966	963	20.2145	7.2195	6.9112
ENSG00000001167.14	NFYA	protein_coding	2158	1212	1176	57.1864	20.4238	19.5516
ENSG00000001460.18	STPG1	protein_coding	224	191	187	2.6580	0.9493	0.9087
ENSG00000001461.17	NIPAL3	protein_coding	2732	1420	1467	29.3642	10.4873	10.0394
ENSG00000001497.18	LAS1L	protein_coding	2141	1100	1057	17.2219	6.1507	5.8880
ENSG00000001561.7	ENPP4	protein_coding	539	269	270	11.7213	4.1862	4.0074
ENSG00000001617.12	SEMA3F	protein_coding	25	13	12	0.5232	0.1868	0.1789
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0102	0.0036	0.0035
ENSG00000001629.10	ANKIB1	protein_coding	2669	1384	1305	36.4790	13.0283	12.4719
ENSG00000001630.17	CYP51A1	protein_coding	43	19	25	1.2305	0.4395	0.4207
ENSG00000001631.16	KRIT1	protein_coding	633	314	337	10.3042	3.6801	3.5229
ENSG00000002016.18	RAD52	protein_coding	1609	812	797	36.0857	12.8878	12.3374
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	28	20	14	0.4483	0.1601	0.1533
ENSG00000002330.14	BAD	protein_coding	174	174	193	10.2883	3.6744	3.5175
ENSG00000002549.12	LAP3	protein_coding	1918	959	960	51.1756	18.2771	17.4965
ENSG00000002586.20	CD99	protein_coding	4729	2357	2372	98.3088	35.1105	33.6110
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	263	125	138	3.5724	1.2759	1.2214
ENSG00000002726.21	AOC1	protein_coding	11	7	4	0.2934	0.1048	0.1003
ENSG00000002745.13	WNT16	protein_coding	61	35	26	1.8874	0.6741	0.6453
ENSG00000002746.15	HECW1	protein_coding	3	3	0	0.0217	0.0078	0.0074
ENSG00000002822.15	MAD1L1	protein_coding	197	87	110	2.7517	0.9828	0.9408
ENSG00000002834.18	LASP1	protein_coding	6795	4027	3970	97.1860	34.7095	33.2271
