# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			14830084	14830084	14830084			
N_multimapping			6560956	6560956	6560956			
N_noFeature			26140886	45080239	45096560			
N_ambiguous			3271081	823203	829295			
ENSG00000000003.15	TSPAN6	protein_coding	11	5	6	0.2350	0.0713	0.0649
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	1150	588	563	92.3353	28.0201	25.4872
ENSG00000000457.14	SCYL3	protein_coding	795	624	618	11.1935	3.3968	3.0897
ENSG00000000460.17	C1orf112	protein_coding	704	606	575	11.4281	3.4680	3.1545
ENSG00000000938.13	FGR	protein_coding	961	449	512	27.5377	8.3566	7.6012
ENSG00000000971.16	CFH	protein_coding	243	123	120	2.9511	0.8955	0.8146
ENSG00000001036.14	FUCA2	protein_coding	1165	951	912	40.0079	12.1408	11.0434
ENSG00000001084.13	GCLC	protein_coding	2796	1632	1589	31.4418	9.5413	8.6789
ENSG00000001167.14	NFYA	protein_coding	2044	1156	1086	51.9780	15.7732	14.3474
ENSG00000001460.18	STPG1	protein_coding	203	120	157	2.3115	0.7014	0.6380
ENSG00000001461.17	NIPAL3	protein_coding	2311	1180	1205	23.8361	7.2333	6.5794
ENSG00000001497.18	LAS1L	protein_coding	2259	1146	1132	17.4372	5.2915	4.8132
ENSG00000001561.7	ENPP4	protein_coding	1921	926	995	40.0878	12.1651	11.0654
ENSG00000001617.12	SEMA3F	protein_coding	19	7	13	0.3815	0.1158	0.1053
ENSG00000001626.16	CFTR	protein_coding	0	2	1	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	3246	1641	1618	42.5736	12.9194	11.7515
ENSG00000001630.17	CYP51A1	protein_coding	34	21	14	0.9337	0.2833	0.2577
ENSG00000001631.16	KRIT1	protein_coding	673	379	303	10.5129	3.1902	2.9019
ENSG00000002016.18	RAD52	protein_coding	1411	699	712	30.3670	9.2152	8.3822
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	8	7	0.2151	0.0653	0.0594
ENSG00000002330.14	BAD	protein_coding	70	103	91	3.9718	1.2053	1.0963
ENSG00000002549.12	LAP3	protein_coding	1857	934	924	47.5470	14.4286	13.1244
ENSG00000002586.20	CD99	protein_coding	8967	4417	4552	178.8822	54.2836	49.3767
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	177	85	92	2.3071	0.7001	0.6368
ENSG00000002726.21	AOC1	protein_coding	49	22	27	1.2543	0.3806	0.3462
ENSG00000002745.13	WNT16	protein_coding	18	11	7	0.5344	0.1622	0.1475
ENSG00000002746.15	HECW1	protein_coding	3	2	2	0.0209	0.0063	0.0058
ENSG00000002822.15	MAD1L1	protein_coding	120	63	58	1.6085	0.4881	0.4440
ENSG00000002834.18	LASP1	protein_coding	5968	3529	3586	81.9106	24.8566	22.6097
ENSG00000002919.15	SNX11	protein_coding	576	287	289	13.5062	4.0986	3.7281
ENSG00000002933.9	TMEM176A	protein_coding	2981	1467	1561	83.0873	25.2137	22.9345
ENSG00000003056.8	M6PR	protein_coding	4542	2938	3075	122.7822	37.2595	33.8914
ENSG00000003096.14	KLHL13	protein_coding	489	239	250	6.7865	2.0594	1.8733
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0193	0.0059	0.0053
ENSG00000003147.19	ICA1	protein_coding	618	305	342	12.2653	3.7220	3.3856
ENSG00000003249.15	DBNDD1	protein_coding	20	10	10	0.4344	0.1318	0.1199
ENSG00000003393.15	ALS2	protein_coding	5617	2796	2822	52.1512	15.8258	14.3952
ENSG00000003400.15	CASP10	protein_coding	2102	1021	1082	26.8710	8.1543	7.4172
ENSG00000003402.20	CFLAR	protein_coding	12634	7333	7084	54.4680	16.5289	15.0347
ENSG00000003436.16	TFPI	protein_coding	2010	1055	1138	16.6291	5.0463	4.5901
ENSG00000003509.16	NDUFAF7	protein_coding	676	615	633	17.9437	5.4452	4.9530
ENSG00000003756.17	RBM5	protein_coding	6012	3861	3655	56.2552	17.0712	15.5281
ENSG00000003987.14	MTMR7	protein_coding	1350	1488	1457	18.8844	5.7307	5.2126
ENSG00000003989.18	SLC7A2	protein_coding	233	125	108	2.8565	0.8668	0.7885
ENSG00000004059.11	ARF5	protein_coding	971	529	538	51.5625	15.6472	14.2327
ENSG00000004139.14	SARM1	protein_coding	424	693	725	3.7002	1.1229	1.0214
ENSG00000004142.12	POLDIP2	protein_coding	2333	1240	1214	84.6800	25.6970	23.3741
ENSG00000004399.13	PLXND1	protein_coding	21804	10792	11017	221.1016	67.0955	61.0305
ENSG00000004455.17	AK2	protein_coding	7229	3644	3617	72.7872	22.0880	20.0914
ENSG00000004468.13	CD38	protein_coding	32442	15864	16581	458.5121	139.1401	126.5626
ENSG00000004478.8	FKBP4	protein_coding	3381	2175	1939	63.4630	19.2585	17.5176
