# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			15701099	15701099	15701099			
N_multimapping			7187098	7187098	7187098			
N_noFeature			29430573	46212183	46311059			
N_ambiguous			3194125	827947	837780			
ENSG00000000003.15	TSPAN6	protein_coding	13	8	5	0.2634	0.0975	0.1012
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	721	366	355	54.9022	20.3143	21.0964
ENSG00000000457.14	SCYL3	protein_coding	1019	827	828	13.6069	5.0347	5.2285
ENSG00000000460.17	C1orf112	protein_coding	782	669	791	12.0391	4.4546	4.6261
ENSG00000000938.13	FGR	protein_coding	1589	761	828	43.1829	15.9780	16.5932
ENSG00000000971.16	CFH	protein_coding	98	49	49	1.1287	0.4176	0.4337
ENSG00000001036.14	FUCA2	protein_coding	1000	764	802	32.5690	12.0508	12.5148
ENSG00000001084.13	GCLC	protein_coding	2334	1276	1333	24.8918	9.2102	9.5648
ENSG00000001167.14	NFYA	protein_coding	2162	1131	1201	52.1409	19.2926	20.0354
ENSG00000001460.18	STPG1	protein_coding	232	159	179	2.5054	0.9270	0.9627
ENSG00000001461.17	NIPAL3	protein_coding	2483	1332	1257	24.2882	8.9868	9.3329
ENSG00000001497.18	LAS1L	protein_coding	2186	1108	1084	16.0028	5.9212	6.1491
ENSG00000001561.7	ENPP4	protein_coding	464	243	221	9.1831	3.3978	3.5286
ENSG00000001617.12	SEMA3F	protein_coding	14	10	6	0.2666	0.0987	0.1025
ENSG00000001626.16	CFTR	protein_coding	2	3	1	0.0185	0.0068	0.0071
ENSG00000001629.10	ANKIB1	protein_coding	2785	1370	1425	34.6419	12.8178	13.3113
ENSG00000001630.17	CYP51A1	protein_coding	16	11	5	0.4167	0.1542	0.1601
ENSG00000001631.16	KRIT1	protein_coding	790	388	411	11.7035	4.3304	4.4971
ENSG00000002016.18	RAD52	protein_coding	1097	542	556	22.3906	8.2847	8.6037
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	24	10	16	0.3497	0.1294	0.1344
ENSG00000002330.14	BAD	protein_coding	106	129	146	5.7040	2.1105	2.1918
ENSG00000002549.12	LAP3	protein_coding	1690	903	794	41.0377	15.1843	15.7689
ENSG00000002586.20	CD99	protein_coding	4129	2166	1964	78.1176	28.9042	30.0171
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	66	40	26	0.8159	0.3019	0.3135
ENSG00000002726.21	AOC1	protein_coding	19	9	10	0.4612	0.1707	0.1772
ENSG00000002745.13	WNT16	protein_coding	20	13	7	0.5632	0.2084	0.2164
ENSG00000002746.15	HECW1	protein_coding	2	1	2	0.0132	0.0049	0.0051
ENSG00000002822.15	MAD1L1	protein_coding	105	57	48	1.3348	0.4939	0.5129
ENSG00000002834.18	LASP1	protein_coding	4883	2865	2967	63.5597	23.5176	24.4231
ENSG00000002919.15	SNX11	protein_coding	627	314	313	13.9432	5.1591	5.3578
ENSG00000002933.9	TMEM176A	protein_coding	27	13	16	0.7137	0.2641	0.2742
ENSG00000003056.8	M6PR	protein_coding	4218	2936	2890	108.1382	40.0120	41.5526
ENSG00000003096.14	KLHL13	protein_coding	1198	581	617	15.7680	5.8343	6.0589
ENSG00000003137.8	CYP26B1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000003147.19	ICA1	protein_coding	16	6	14	0.3012	0.1114	0.1157
ENSG00000003249.15	DBNDD1	protein_coding	7	4	4	0.1442	0.0534	0.0554
ENSG00000003393.15	ALS2	protein_coding	13630	7000	6635	120.0163	44.4070	46.1169
ENSG00000003400.15	CASP10	protein_coding	1330	649	681	16.1245	5.9662	6.1959
ENSG00000003402.20	CFLAR	protein_coding	7080	4041	3958	28.9480	10.7110	11.1234
