# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			12203901	12203901	12203901			
N_multimapping			7047836	7047836	7047836			
N_noFeature			32406562	47220691	47129024			
N_ambiguous			2594106	683484	687809			
ENSG00000000003.15	TSPAN6	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	653	339	314	53.5116	21.9060	21.0249
ENSG00000000457.14	SCYL3	protein_coding	919	668	685	13.2063	5.4062	5.1888
ENSG00000000460.17	C1orf112	protein_coding	445	460	473	7.3727	3.0182	2.8968
ENSG00000000938.13	FGR	protein_coding	205	98	107	5.9955	2.4544	2.3556
ENSG00000000971.16	CFH	protein_coding	16	11	5	0.1983	0.0812	0.0779
ENSG00000001036.14	FUCA2	protein_coding	64	46	47	2.2432	0.9183	0.8814
ENSG00000001084.13	GCLC	protein_coding	2080	1192	1140	23.8725	9.7727	9.3796
ENSG00000001167.14	NFYA	protein_coding	2479	1331	1393	64.3398	26.3388	25.2793
ENSG00000001460.18	STPG1	protein_coding	77	57	76	0.8949	0.3663	0.3516
ENSG00000001461.17	NIPAL3	protein_coding	2106	1118	1044	22.1696	9.0756	8.7105
ENSG00000001497.18	LAS1L	protein_coding	1786	884	905	14.0704	5.7600	5.5283
ENSG00000001561.7	ENPP4	protein_coding	796	390	406	16.9536	6.9403	6.6611
ENSG00000001617.12	SEMA3F	protein_coding	3	0	3	0.0615	0.0252	0.0242
ENSG00000001626.16	CFTR	protein_coding	2	1	1	0.0199	0.0081	0.0078
ENSG00000001629.10	ANKIB1	protein_coding	4139	2150	2008	55.4053	22.6813	21.7689
ENSG00000001630.17	CYP51A1	protein_coding	3	0	3	0.0841	0.0344	0.0330
ENSG00000001631.16	KRIT1	protein_coding	713	388	342	11.3674	4.6535	4.4663
ENSG00000002016.18	RAD52	protein_coding	1521	815	708	33.4094	13.6768	13.1267
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	29	11	22	0.4548	0.1862	0.1787
ENSG00000002330.14	BAD	protein_coding	206	180	146	11.9295	4.8836	4.6871
ENSG00000002549.12	LAP3	protein_coding	1710	869	843	44.6861	18.2931	17.5573
ENSG00000002586.20	CD99	protein_coding	14522	7272	7250	295.6724	121.0394	116.1705
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	20	8	12	0.2661	0.1089	0.1045
ENSG00000002726.21	AOC1	protein_coding	19	11	8	0.4964	0.2032	0.1950
ENSG00000002745.13	WNT16	protein_coding	15	7	8	0.4546	0.1861	0.1786
ENSG00000002746.15	HECW1	protein_coding	6	4	2	0.0426	0.0174	0.0167
ENSG00000002822.15	MAD1L1	protein_coding	101	49	52	1.3817	0.5656	0.5429
ENSG00000002834.18	LASP1	protein_coding	5143	2976	3080	72.0431	29.4923	28.3059
ENSG00000002919.15	SNX11	protein_coding	522	259	263	12.4924	5.1140	4.9083
ENSG00000002933.9	TMEM176A	protein_coding	4	2	2	0.1138	0.0466	0.0447
ENSG00000003056.8	M6PR	protein_coding	2459	1678	1621	67.8440	27.7733	26.6561
ENSG00000003096.14	KLHL13	protein_coding	1122	545	577	15.8925	6.5059	6.2442
ENSG00000003137.8	CYP26B1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000003147.19	ICA1	protein_coding	10	5	5	0.2026	0.0829	0.0796
ENSG00000003249.15	DBNDD1	protein_coding	46	19	28	1.0197	0.4174	0.4006
