# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			9397676	9397676	9397676			
N_multimapping			4856521	4856521	4856521			
N_noFeature			28610057	45200161	45147696			
N_ambiguous			2845098	690483	687616			
ENSG00000000003.15	TSPAN6	protein_coding	422	206	216	11.7864	3.1286	2.7739
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	696	378	318	73.0538	19.3918	17.1932
ENSG00000000457.14	SCYL3	protein_coding	1349	920	966	24.8299	6.5910	5.8437
ENSG00000000460.17	C1orf112	protein_coding	675	589	650	14.3242	3.8023	3.3712
ENSG00000000938.13	FGR	protein_coding	2926	1516	1410	109.6078	29.0949	25.7962
ENSG00000000971.16	CFH	protein_coding	487	245	242	7.7316	2.0523	1.8196
ENSG00000001036.14	FUCA2	protein_coding	440	357	337	19.7531	5.2434	4.6489
ENSG00000001084.13	GCLC	protein_coding	1852	1040	1063	27.2254	7.2269	6.4075
ENSG00000001167.14	NFYA	protein_coding	2302	1279	1316	76.5256	20.3134	18.0103
ENSG00000001460.18	STPG1	protein_coding	177	102	130	2.6347	0.6994	0.6201
ENSG00000001461.17	NIPAL3	protein_coding	3288	1646	1697	44.3332	11.7681	10.4338
ENSG00000001497.18	LAS1L	protein_coding	2316	1141	1187	23.3702	6.2035	5.5002
ENSG00000001561.7	ENPP4	protein_coding	608	304	304	16.5864	4.4028	3.9036
ENSG00000001617.12	SEMA3F	protein_coding	49	27	23	1.2863	0.3414	0.3027
ENSG00000001626.16	CFTR	protein_coding	0	1	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1493	740	761	25.5985	6.7950	6.0246
ENSG00000001630.17	CYP51A1	protein_coding	31	15	18	1.1129	0.2954	0.2619
ENSG00000001631.16	KRIT1	protein_coding	335	184	159	6.8409	1.8159	1.6100
ENSG00000002016.18	RAD52	protein_coding	1086	559	527	30.5540	8.1104	7.1909
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	9	7	0.2812	0.0746	0.0662
ENSG00000002330.14	BAD	protein_coding	147	189	162	10.9036	2.8943	2.5662
ENSG00000002549.12	LAP3	protein_coding	1920	973	950	64.2652	17.0589	15.1248
ENSG00000002586.20	CD99	protein_coding	7816	3891	3926	203.8298	54.1057	47.9714
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	112	64	48	1.9084	0.5066	0.4492
ENSG00000002726.21	AOC1	protein_coding	88	46	42	2.9447	0.7817	0.6930
ENSG00000002745.13	WNT16	protein_coding	12	7	5	0.4658	0.1236	0.1096
ENSG00000002746.15	HECW1	protein_coding	2	0	2	0.0182	0.0048	0.0043
ENSG00000002822.15	MAD1L1	protein_coding	153	68	85	2.6810	0.7117	0.6310
ENSG00000002834.18	LASP1	protein_coding	8161	4868	4866	146.4258	38.8681	34.4613
ENSG00000002919.15	SNX11	protein_coding	1063	576	492	32.5843	8.6494	7.6687
ENSG00000002933.9	TMEM176A	protein_coding	41	18	23	1.4939	0.3965	0.3516
ENSG00000003056.8	M6PR	protein_coding	1746	1074	1046	61.7015	16.3784	14.5215
ENSG00000003096.14	KLHL13	protein_coding	208	106	102	3.7737	1.0017	0.8881
ENSG00000003137.8	CYP26B1	protein_coding	4	2	2	0.1010	0.0268	0.0238
ENSG00000003147.19	ICA1	protein_coding	698	371	391	18.1096	4.8071	4.2621
ENSG00000003249.15	DBNDD1	protein_coding	48	20	28	1.3629	0.3618	0.3207
ENSG00000003393.15	ALS2	protein_coding	2527	1219	1308	30.6710	8.1415	7.2184
ENSG00000003400.15	CASP10	protein_coding	6774	3387	3388	113.2033	30.0493	26.6424
