# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13937252	13937252	13937252			
N_multimapping			4946877	4946877	4946877			
N_noFeature			24231003	37347679	37250657			
N_ambiguous			2394386	594302	597918			
ENSG00000000003.15	TSPAN6	protein_coding	6	0	6	0.1957	0.0566	0.0520
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	482	246	237	59.0888	17.0936	15.7138
ENSG00000000457.14	SCYL3	protein_coding	631	493	469	13.5649	3.9241	3.6074
ENSG00000000460.17	C1orf112	protein_coding	490	421	416	12.1447	3.5133	3.2297
ENSG00000000938.13	FGR	protein_coding	5406	2742	2664	236.5201	68.4220	62.8988
ENSG00000000971.16	CFH	protein_coding	1149	581	568	21.3051	6.1633	5.6657
ENSG00000001036.14	FUCA2	protein_coding	367	283	290	19.2431	5.5668	5.1174
ENSG00000001084.13	GCLC	protein_coding	1281	765	721	21.9942	6.3626	5.8490
ENSG00000001167.14	NFYA	protein_coding	2216	1262	1256	86.0392	24.8900	22.8808
ENSG00000001460.18	STPG1	protein_coding	168	107	127	2.9207	0.8449	0.7767
ENSG00000001461.17	NIPAL3	protein_coding	1628	809	883	25.6376	7.4166	6.8179
ENSG00000001497.18	LAS1L	protein_coding	1982	966	1020	23.3589	6.7574	6.2119
ENSG00000001561.7	ENPP4	protein_coding	325	160	165	10.3552	2.9956	2.7538
ENSG00000001617.12	SEMA3F	protein_coding	24	12	14	0.7359	0.2129	0.1957
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0149	0.0043	0.0040
ENSG00000001629.10	ANKIB1	protein_coding	1140	564	577	22.8289	6.6041	6.0710
ENSG00000001630.17	CYP51A1	protein_coding	17	8	11	0.7128	0.2062	0.1896
ENSG00000001631.16	KRIT1	protein_coding	198	105	94	4.7224	1.3661	1.2558
ENSG00000002016.18	RAD52	protein_coding	1624	800	825	53.3642	15.4375	14.1914
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	13	9	5	0.3050	0.0882	0.0811
ENSG00000002330.14	BAD	protein_coding	125	179	161	10.8290	3.1327	2.8798
ENSG00000002549.12	LAP3	protein_coding	1750	875	878	68.4129	19.7909	18.1933
ENSG00000002586.20	CD99	protein_coding	11832	5840	5993	360.3846	104.2543	95.8387
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	24	6	18	0.4776	0.1382	0.1270
ENSG00000002726.21	AOC1	protein_coding	3	2	1	0.1172	0.0339	0.0312
ENSG00000002745.13	WNT16	protein_coding	27	12	15	1.2240	0.3541	0.3255
ENSG00000002746.15	HECW1	protein_coding	4	0	4	0.0425	0.0123	0.0113
ENSG00000002822.15	MAD1L1	protein_coding	106	46	61	2.1694	0.6276	0.5769
ENSG00000002834.18	LASP1	protein_coding	5294	3197	3166	110.9388	32.0931	29.5024
ENSG00000002919.15	SNX11	protein_coding	751	380	373	26.8869	7.7780	7.1501
ENSG00000002933.9	TMEM176A	protein_coding	24	13	12	1.0213	0.2955	0.2716
ENSG00000003056.8	M6PR	protein_coding	2134	1305	1326	88.0787	25.4800	23.4232
ENSG00000003096.14	KLHL13	protein_coding	88	42	46	1.8647	0.5394	0.4959
ENSG00000003137.8	CYP26B1	protein_coding	1	1	0	0.0295	0.0085	0.0078
ENSG00000003147.19	ICA1	protein_coding	336	205	173	10.1816	2.9454	2.7077
ENSG00000003249.15	DBNDD1	protein_coding	19	8	13	0.6301	0.1823	0.1676
ENSG00000003393.15	ALS2	protein_coding	1774	900	874	25.1479	7.2749	6.6877
ENSG00000003400.15	CASP10	protein_coding	3850	1914	1936	75.1450	21.7384	19.9836
ENSG00000003402.20	CFLAR	protein_coding	6596	3768	3917	43.4179	12.5602	11.5463
ENSG00000003436.16	TFPI	protein_coding	1973	1022	1042	24.9223	7.2097	6.6277
ENSG00000003509.16	NDUFAF7	protein_coding	489	424	394	19.8181	5.7331	5.2703
ENSG00000003756.17	RBM5	protein_coding	10403	6662	6549	148.6244	42.9950	39.5244
ENSG00000003987.14	MTMR7	protein_coding	288	299	274	6.1511	1.7794	1.6358
ENSG00000003989.18	SLC7A2	protein_coding	30	11	19	0.5615	0.1624	0.1493
ENSG00000004059.11	ARF5	protein_coding	504	256	268	40.8633	11.8212	10.8670
ENSG00000004139.14	SARM1	protein_coding	189	287	295	2.5183	0.7285	0.6697
ENSG00000004142.12	POLDIP2	protein_coding	1430	759	758	79.2484	22.9255	21.0749
ENSG00000004399.13	PLXND1	protein_coding	11645	5726	5920	180.2949	52.1569	47.9466
ENSG00000004455.17	AK2	protein_coding	3518	1713	1830	54.0830	15.6455	14.3825
ENSG00000004468.13	CD38	protein_coding	3928	1934	1994	84.7623	24.5206	22.5412
ENSG00000004478.8	FKBP4	protein_coding	1724	1147	1059	49.4084	14.2932	13.1394
ENSG00000004487.17	KDM1A	protein_coding	3068	1493	1585	83.4492	24.1407	22.1920
