# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			11215605	11215605	11215605			
N_multimapping			6080176	6080176	6080176			
N_noFeature			21243768	37620218	37374141			
N_ambiguous			3313621	854677	867781			
ENSG00000000003.15	TSPAN6	protein_coding	15	11	4	0.3038	0.1157	0.1153
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	886	434	453	67.4399	25.6747	25.5847
ENSG00000000457.14	SCYL3	protein_coding	509	394	411	6.7941	2.5865	2.5775
ENSG00000000460.17	C1orf112	protein_coding	569	429	451	8.7565	3.3336	3.3219
ENSG00000000938.13	FGR	protein_coding	3147	1554	1595	85.4896	32.5463	32.4323
ENSG00000000971.16	CFH	protein_coding	68	35	33	0.7829	0.2980	0.2970
ENSG00000001036.14	FUCA2	protein_coding	1423	1092	1072	46.3274	17.6371	17.5753
ENSG00000001084.13	GCLC	protein_coding	1212	705	709	12.9207	4.9190	4.9017
ENSG00000001167.14	NFYA	protein_coding	2555	1473	1426	61.5946	23.4493	23.3672
ENSG00000001460.18	STPG1	protein_coding	137	94	80	1.4789	0.5630	0.5610
ENSG00000001461.17	NIPAL3	protein_coding	1236	630	642	12.0855	4.6010	4.5849
ENSG00000001497.18	LAS1L	protein_coding	2391	1173	1220	17.4966	6.6610	6.6377
ENSG00000001561.7	ENPP4	protein_coding	1688	832	856	33.3942	12.7133	12.6688
ENSG00000001617.12	SEMA3F	protein_coding	111	62	49	2.1131	0.8045	0.8017
ENSG00000001626.16	CFTR	protein_coding	4	3	1	0.0370	0.0141	0.0140
ENSG00000001629.10	ANKIB1	protein_coding	1581	747	841	19.6579	7.4838	7.4576
ENSG00000001630.17	CYP51A1	protein_coding	41	23	23	1.0674	0.4064	0.4049
ENSG00000001631.16	KRIT1	protein_coding	412	210	209	6.1012	2.3228	2.3146
ENSG00000002016.18	RAD52	protein_coding	1739	870	869	35.4804	13.5075	13.4602
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	9	3	7	0.1311	0.0499	0.0497
ENSG00000002330.14	BAD	protein_coding	161	186	171	8.6602	3.2970	3.2854
ENSG00000002549.12	LAP3	protein_coding	908	460	450	22.0399	8.3907	8.3613
ENSG00000002586.20	CD99	protein_coding	2426	1194	1232	45.8800	17.4667	17.4056
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	5	2	3	0.0618	0.0235	0.0234
ENSG00000002726.21	AOC1	protein_coding	1401	671	731	33.9976	12.9430	12.8977
ENSG00000002745.13	WNT16	protein_coding	24	15	9	0.6755	0.2572	0.2563
ENSG00000002746.15	HECW1	protein_coding	2	1	1	0.0132	0.0050	0.0050
ENSG00000002822.15	MAD1L1	protein_coding	111	52	60	1.4105	0.5370	0.5351
ENSG00000002834.18	LASP1	protein_coding	2895	1729	1772	37.6680	14.3404	14.2902
ENSG00000002919.15	SNX11	protein_coding	965	473	492	21.4512	8.1666	8.1380
ENSG00000002933.9	TMEM176A	protein_coding	98	53	46	2.5895	0.9858	0.9824
ENSG00000003056.8	M6PR	protein_coding	3916	2422	2239	100.3561	38.2060	38.0722
ENSG00000003096.14	KLHL13	protein_coding	293	153	140	3.8549	1.4676	1.4624
ENSG00000003137.8	CYP26B1	protein_coding	3	2	1	0.0550	0.0209	0.0208
ENSG00000003147.19	ICA1	protein_coding	42	23	29	0.7902	0.3008	0.2998
ENSG00000003249.15	DBNDD1	protein_coding	23	10	14	0.4736	0.1803	0.1797
ENSG00000003393.15	ALS2	protein_coding	658	354	305	5.7916	2.2049	2.1972
ENSG00000003400.15	CASP10	protein_coding	968	480	488	11.7311	4.4661	4.4504
ENSG00000003402.20	CFLAR	protein_coding	5805	3540	3482	23.7255	9.0324	9.0008
ENSG00000003436.16	TFPI	protein_coding	87	48	43	0.6823	0.2598	0.2589
ENSG00000003509.16	NDUFAF7	protein_coding	613	354	327	15.4255	5.8726	5.8520
ENSG00000003756.17	RBM5	protein_coding	6001	3785	3897	53.2329	20.2660	20.1950
ENSG00000003987.14	MTMR7	protein_coding	256	223	240	3.3949	1.2924	1.2879
ENSG00000003989.18	SLC7A2	protein_coding	42	18	24	0.4881	0.1858	0.1852
ENSG00000004059.11	ARF5	protein_coding	964	543	495	48.5294	18.4753	18.4106
ENSG00000004139.14	SARM1	protein_coding	412	834	865	3.4085	1.2976	1.2931
ENSG00000004142.12	POLDIP2	protein_coding	2333	1229	1207	80.2775	30.5620	30.4550
ENSG00000004399.13	PLXND1	protein_coding	3215	1605	1611	30.9065	11.7662	11.7250
ENSG00000004455.17	AK2	protein_coding	15698	7830	7955	149.8421	57.0456	56.8458
ENSG00000004468.13	CD38	protein_coding	2880	1433	1447	38.5877	14.6905	14.6391
ENSG00000004478.8	FKBP4	protein_coding	2510	1540	1583	44.6644	17.0039	16.9444
ENSG00000004487.17	KDM1A	protein_coding	3110	1571	1539	52.5233	19.9958	19.9258
ENSG00000004534.15	RBM6	protein_coding	3283	1650	1636	41.3236	15.7321	15.6770
ENSG00000004660.15	CAMKK1	protein_coding	815	425	391	10.0736	3.8351	3.8216
ENSG00000004700.16	RECQL	protein_coding	546	597	560	13.2741	5.0535	5.0358
ENSG00000004766.17	VPS50	protein_coding	526	252	274	5.0555	1.9246	1.9179
ENSG00000004776.13	HSPB6	protein_coding	59	85	83	3.1442	1.1970	1.1928
ENSG00000004777.18	ARHGAP33	protein_coding	2834	1645	1683	49.4999	18.8448	18.7788
ENSG00000004779.10	NDUFAB1	protein_coding	1301	645	656	77.2141	29.3957	29.2928
ENSG00000004799.8	PDK4	protein_coding	262	123	139	5.2973	2.0167	2.0096
ENSG00000004809.14	SLC22A16	protein_coding	836	416	421	19.6586	7.4841	7.4579
ENSG00000004838.14	ZMYND10	protein_coding	71	30	54	2.2579	0.8596	0.8566
ENSG00000004846.16	ABCB5	protein_coding	1	0	1	0.0099	0.0038	0.0038
ENSG00000004848.8	ARX	protein_coding	2	0	2	0.0590	0.0225	0.0224
ENSG00000004864.14	SLC25A13	protein_coding	813	386	427	20.1329	7.6647	7.6379
ENSG00000004866.22	ST7	protein_coding	393	208	241	5.5327	2.1063	2.0989
ENSG00000004897.12	CDC27	protein_coding	2128	1142	1138	28.6499	10.9071	10.8689
ENSG00000004939.15	SLC4A1	protein_coding	306	163	143	5.4855	2.0884	2.0810
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	363	196	168	14.2339	5.4189	5.3999
ENSG00000004975.12	DVL2	protein_coding	921	467	462	15.9022	6.0540	6.0328
ENSG00000005001.10	PRSS22	protein_coding	0	0	1	0.0000	0.0000	0.0000
ENSG00000005007.13	UPF1	protein_coding	4069	2051	2018	43.6059	16.6010	16.5428
ENSG00000005020.13	SKAP2	protein_coding	718	368	350	12.3046	4.6844	4.6680
ENSG00000005022.6	SLC25A5	protein_coding	11059	6412	5957	653.3951	248.7503	247.8792
ENSG00000005059.16	MCUB	protein_coding	332	179	161	8.5800	3.2665	3.2550
ENSG00000005073.6	HOXA11	protein_coding	95	72	74	3.2701	1.2450	1.2406
ENSG00000005075.15	POLR2J	protein_coding	529	251	284	35.8680	13.6551	13.6073
ENSG00000005100.13	DHX33	protein_coding	1746	853	893	27.7097	10.5492	10.5122
ENSG00000005102.14	MEOX1	protein_coding	14	6	8	0.4810	0.1831	0.1825
ENSG00000005108.16	THSD7A	protein_coding	260	138	130	2.1873	0.8327	0.8298
ENSG00000005156.12	LIG3	protein_coding	2397	1667	1815	17.0701	6.4986	6.4759
ENSG00000005175.10	RPAP3	protein_coding	804	382	422	13.8068	5.2563	5.2379
ENSG00000005187.12	ACSM3	protein_coding	308	225	241	3.7679	1.4345	1.4294
ENSG00000005189.20	REXO5	protein_coding	618	313	332	13.8112	5.2580	5.2396
ENSG00000005194.15	CIAPIN1	protein_coding	1596	787	809	43.3432	16.5010	16.4432
ENSG00000005206.17	SPPL2B	protein_coding	3573	1743	1834	44.2464	16.8448	16.7858
ENSG00000005238.20	FAM214B	protein_coding	680	338	342	9.7998	3.7308	3.7178
ENSG00000005243.10	COPZ2	protein_coding	87	40	47	4.2835	1.6307	1.6250
ENSG00000005249.13	PRKAR2B	protein_coding	2179	1117	1062	46.9715	17.8822	17.8196
ENSG00000005302.19	MSL3	protein_coding	2254	1085	1169	21.1741	8.0611	8.0329
ENSG00000005339.15	CREBBP	protein_coding	5919	2899	3024	35.1314	13.3747	13.3279
ENSG00000005379.17	TSPOAP1	protein_coding	16632	8481	8240	134.1681	51.0784	50.8995
ENSG00000005381.8	MPO	protein_coding	2344	1140	1205	61.0580	23.2450	23.1636
ENSG00000005421.9	PON1	protein_coding	1	1	0	0.0346	0.0132	0.0131
ENSG00000005436.14	GCFC2	protein_coding	566	372	377	9.5204	3.6245	3.6118
ENSG00000005448.17	WDR54	protein_coding	205	109	99	6.6038	2.5141	2.5053
ENSG00000005469.12	CROT	protein_coding	297	151	146	5.4628	2.0797	2.0724
ENSG00000005471.19	ABCB4	protein_coding	59	28	31	0.7014	0.2670	0.2661
ENSG00000005483.21	KMT2E	protein_coding	4455	2437	2475	41.1395	15.6620	15.6071
ENSG00000005486.17	RHBDD2	protein_coding	1011	487	524	38.8637	14.7956	14.7437
ENSG00000005513.10	SOX8	protein_coding	11	7	4	0.2261	0.0861	0.0858
ENSG00000005700.15	IBTK	protein_coding	2556	1288	1268	26.9330	10.2535	10.2176
ENSG00000005801.18	ZNF195	protein_coding	3436	1683	1755	26.9556	10.2621	10.2262
ENSG00000005810.18	MYCBP2	protein_coding	4659	3008	2904	26.7742	10.1930	10.1574
ENSG00000005812.11	FBXL3	protein_coding	828	653	635	10.7506	4.0928	4.0785
ENSG00000005844.19	ITGAL	protein_coding	5769	3528	3534	53.7326	20.4562	20.3846
ENSG00000005882.12	PDK2	protein_coding	497	389	459	8.3460	3.1774	3.1662
ENSG00000005884.18	ITGA3	protein_coding	50	19	31	0.4686	0.1784	0.1778
ENSG00000005889.16	ZFX	protein_coding	1663	823	841	16.9067	6.4364	6.4139
ENSG00000005893.16	LAMP2	protein_coding	4848	2480	2368	47.3631	18.0313	17.9682
ENSG00000005961.19	ITGA2B	protein_coding	128	67	61	2.0649	0.7861	0.7834
ENSG00000005981.13	ASB4	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006007.12	GDE1	protein_coding	1098	686	706	22.9788	8.7481	8.7175
ENSG00000006015.18	REX1BD	protein_coding	1148	547	601	31.2877	11.9114	11.8696
ENSG00000006016.11	CRLF1	protein_coding	29	191	183	0.8980	0.3419	0.3407
ENSG00000006025.12	OSBPL7	protein_coding	1517	725	793	21.2070	8.0736	8.0453
ENSG00000006042.12	TMEM98	protein_coding	5	1	4	0.0886	0.0337	0.0336
