# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			10197788	10197788	10197788			
N_multimapping			5702956	5702956	5702956			
N_noFeature			12120681	29787150	29619853			
N_ambiguous			3784865	914247	925938			
ENSG00000000003.15	TSPAN6	protein_coding	7	2	5	0.1440	0.0487	0.0496
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	682	369	313	52.7260	17.8405	18.1445
ENSG00000000457.14	SCYL3	protein_coding	544	429	405	7.3751	2.4955	2.5380
ENSG00000000460.17	C1orf112	protein_coding	335	314	325	5.2362	1.7717	1.8019
ENSG00000000938.13	FGR	protein_coding	14463	7231	7234	399.0546	135.0251	137.3260
ENSG00000000971.16	CFH	protein_coding	320	157	163	3.7419	1.2661	1.2877
ENSG00000001036.14	FUCA2	protein_coding	1134	872	883	37.4976	12.6878	12.9040
ENSG00000001084.13	GCLC	protein_coding	1311	778	736	14.1953	4.8031	4.8850
ENSG00000001167.14	NFYA	protein_coding	1396	757	783	34.1817	11.5658	11.7629
ENSG00000001460.18	STPG1	protein_coding	184	130	115	2.0174	0.6826	0.6942
ENSG00000001461.17	NIPAL3	protein_coding	1923	976	1008	19.0978	6.4620	6.5721
ENSG00000001497.18	LAS1L	protein_coding	2729	1381	1351	20.2831	6.8630	6.9800
ENSG00000001561.7	ENPP4	protein_coding	401	210	191	8.0575	2.7264	2.7728
ENSG00000001617.12	SEMA3F	protein_coding	15	10	7	0.2900	0.0981	0.0998
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1188	598	595	15.0030	5.0765	5.1630
ENSG00000001630.17	CYP51A1	protein_coding	22	13	9	0.5817	0.1968	0.2002
ENSG00000001631.16	KRIT1	protein_coding	305	149	161	4.5875	1.5522	1.5787
ENSG00000002016.18	RAD52	protein_coding	1103	585	518	22.8571	7.7340	7.8658
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	6	9	0.2071	0.0701	0.0713
ENSG00000002330.14	BAD	protein_coding	226	270	278	12.3472	4.1778	4.2490
ENSG00000002549.12	LAP3	protein_coding	2173	1137	1036	53.5724	18.1269	18.4358
ENSG00000002586.20	CD99	protein_coding	15837	7737	8100	304.2026	102.9307	104.6848
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	4	1	3	0.0502	0.0170	0.0173
ENSG00000002726.21	AOC1	protein_coding	0	0	1	0.0000	0.0000	0.0000
ENSG00000002745.13	WNT16	protein_coding	8	6	2	0.2287	0.0774	0.0787
ENSG00000002746.15	HECW1	protein_coding	1	1	1	0.0067	0.0023	0.0023
ENSG00000002822.15	MAD1L1	protein_coding	63	38	25	0.8131	0.2751	0.2798
ENSG00000002834.18	LASP1	protein_coding	8874	5336	5307	117.2737	39.6810	40.3572
