# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			12286784	12286784	12286784			
N_multimapping			5086059	5086059	5086059			
N_noFeature			21251343	36502751	36363779			
N_ambiguous			2848203	671325	680775			
ENSG00000000003.15	TSPAN6	protein_coding	5	5	0	0.1429	0.0400	0.0375
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	570	273	297	61.2292	17.1399	16.0499
ENSG00000000457.14	SCYL3	protein_coding	684	521	512	12.8846	3.6068	3.3774
ENSG00000000460.17	C1orf112	protein_coding	631	498	494	13.7040	3.8361	3.5922
ENSG00000000938.13	FGR	protein_coding	24977	12325	12655	957.5417	268.0442	250.9984
ENSG00000000971.16	CFH	protein_coding	1389	706	683	22.5679	6.3174	5.9157
ENSG00000001036.14	FUCA2	protein_coding	1262	1063	1051	57.9820	16.2309	15.1987
ENSG00000001084.13	GCLC	protein_coding	2773	1601	1729	41.7191	11.6784	10.9357
ENSG00000001167.14	NFYA	protein_coding	1105	609	630	37.5936	10.5236	9.8543
ENSG00000001460.18	STPG1	protein_coding	175	118	108	2.6659	0.7463	0.6988
ENSG00000001461.17	NIPAL3	protein_coding	1458	737	771	20.1190	5.6319	5.2737
ENSG00000001497.18	LAS1L	protein_coding	1423	728	695	14.6953	4.1137	3.8521
ENSG00000001561.7	ENPP4	protein_coding	1652	810	842	46.1221	12.9109	12.0899
ENSG00000001617.12	SEMA3F	protein_coding	18	7	13	0.4836	0.1354	0.1268
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1843	930	930	32.3393	9.0527	8.4770
ENSG00000001630.17	CYP51A1	protein_coding	61	36	28	2.2411	0.6274	0.5875
ENSG00000001631.16	KRIT1	protein_coding	359	183	191	7.5026	2.1002	1.9666
ENSG00000002016.18	RAD52	protein_coding	1412	711	701	40.6559	11.3808	10.6571
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	18	11	8	0.3700	0.1036	0.0970
ENSG00000002330.14	BAD	protein_coding	135	181	228	10.2479	2.8687	2.6863
ENSG00000002549.12	LAP3	protein_coding	2044	1016	1029	70.0174	19.5999	18.3535
ENSG00000002586.20	CD99	protein_coding	5720	2844	2877	152.6615	42.7345	40.0168
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	11	5	6	0.1918	0.0537	0.0503
ENSG00000002726.21	AOC1	protein_coding	424	196	228	14.5203	4.0647	3.8062
ENSG00000002745.13	WNT16	protein_coding	25	14	11	0.9931	0.2780	0.2603
ENSG00000002746.15	HECW1	protein_coding	3	5	0	0.0279	0.0078	0.0073
ENSG00000002822.15	MAD1L1	protein_coding	139	77	62	2.4927	0.6978	0.6534
ENSG00000002834.18	LASP1	protein_coding	7234	4337	4284	132.8322	37.1836	34.8190
ENSG00000002919.15	SNX11	protein_coding	1506	783	723	47.2444	13.2251	12.3841
