# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			14282131	14282131	14282131			
N_multimapping			7560334	7560334	7560334			
N_noFeature			28908042	43129935	43110179			
N_ambiguous			2812090	738510	749473			
ENSG00000000003.15	TSPAN6	protein_coding	7	5	2	0.1595	0.0631	0.0588
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	694	319	375	59.4367	23.5176	21.9194
ENSG00000000457.14	SCYL3	protein_coding	651	591	535	9.7770	3.8685	3.6056
ENSG00000000460.17	C1orf112	protein_coding	736	630	615	12.7440	5.0425	4.6998
ENSG00000000938.13	FGR	protein_coding	208	104	104	6.3576	2.5155	2.3446
ENSG00000000971.16	CFH	protein_coding	3676	1924	1753	47.6184	18.8414	17.5610
ENSG00000001036.14	FUCA2	protein_coding	757	626	505	27.7294	10.9718	10.2262
ENSG00000001084.13	GCLC	protein_coding	1743	947	952	20.9071	8.2724	7.7102
ENSG00000001167.14	NFYA	protein_coding	1558	829	875	42.2601	16.7213	15.5850
ENSG00000001460.18	STPG1	protein_coding	373	219	208	4.5303	1.7925	1.6707
ENSG00000001461.17	NIPAL3	protein_coding	1972	1049	976	21.6953	8.5843	8.0009
ENSG00000001497.18	LAS1L	protein_coding	2224	1118	1123	18.3113	7.2453	6.7530
ENSG00000001561.7	ENPP4	protein_coding	410	199	211	9.1263	3.6110	3.3656
ENSG00000001617.12	SEMA3F	protein_coding	41	21	20	0.8782	0.3475	0.3239
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1707	881	829	23.8809	9.4491	8.8069
ENSG00000001630.17	CYP51A1	protein_coding	25	15	11	0.7323	0.2898	0.2701
ENSG00000001631.16	KRIT1	protein_coding	604	316	290	10.0639	3.9820	3.7114
ENSG00000002016.18	RAD52	protein_coding	1533	802	733	35.1919	13.9245	12.9783
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	16	11	7	0.2622	0.1038	0.0967
ENSG00000002330.14	BAD	protein_coding	149	174	206	9.0178	3.5681	3.3256
ENSG00000002549.12	LAP3	protein_coding	795	411	384	21.7122	8.5910	8.0072
ENSG00000002586.20	CD99	protein_coding	10479	5326	5155	222.9793	88.2274	82.2318
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	43	16	27	0.5978	0.2366	0.2205
ENSG00000002726.21	AOC1	protein_coding	42	23	20	1.1468	0.4537	0.4229
ENSG00000002745.13	WNT16	protein_coding	51	29	22	1.6152	0.6391	0.5957
ENSG00000002746.15	HECW1	protein_coding	1	0	2	0.0074	0.0029	0.0027
ENSG00000002822.15	MAD1L1	protein_coding	168	80	88	2.4020	0.9504	0.8858
ENSG00000002834.18	LASP1	protein_coding	4882	2968	2979	71.4716	28.2796	26.3578
ENSG00000002919.15	SNX11	protein_coding	967	497	474	24.1860	9.5698	8.9195
ENSG00000002933.9	TMEM176A	protein_coding	52	21	32	1.5460	0.6117	0.5701
ENSG00000003056.8	M6PR	protein_coding	1274	815	901	36.7352	14.5352	13.5474
ENSG00000003096.14	KLHL13	protein_coding	76	34	42	1.1251	0.4452	0.4149
ENSG00000003137.8	CYP26B1	protein_coding	3	0	4	0.0618	0.0245	0.0228
ENSG00000003147.19	ICA1	protein_coding	125	68	65	2.6462	1.0470	0.9759
ENSG00000003249.15	DBNDD1	protein_coding	204	96	108	4.7261	1.8700	1.7429
ENSG00000003393.15	ALS2	protein_coding	3672	1813	1861	36.3653	14.3889	13.4110
ENSG00000003400.15	CASP10	protein_coding	1362	659	705	18.5718	7.3484	6.8490
ENSG00000003402.20	CFLAR	protein_coding	9962	5767	5735	45.8112	18.1264	16.8946
ENSG00000003436.16	TFPI	protein_coding	166	77	95	1.4649	0.5796	0.5402
ENSG00000003509.16	NDUFAF7	protein_coding	577	348	336	16.3368	6.4641	6.0248
ENSG00000003756.17	RBM5	protein_coding	8335	5326	5201	83.1905	32.9164	30.6795
ENSG00000003987.14	MTMR7	protein_coding	455	416	428	6.7890	2.6862	2.5037
ENSG00000003989.18	SLC7A2	protein_coding	34	20	14	0.4446	0.1759	0.1640
ENSG00000004059.11	ARF5	protein_coding	1070	618	616	60.6070	23.9807	22.3511
ENSG00000004139.14	SARM1	protein_coding	187	297	303	1.7407	0.6888	0.6419
ENSG00000004142.12	POLDIP2	protein_coding	1022	587	554	39.5678	15.6560	14.5921
ENSG00000004399.13	PLXND1	protein_coding	8648	4359	4292	93.5398	37.0114	34.4962
ENSG00000004455.17	AK2	protein_coding	4310	2204	2113	46.2891	18.3154	17.0708
ENSG00000004468.13	CD38	protein_coding	9151	4567	4584	137.9547	54.5853	50.8758
ENSG00000004478.8	FKBP4	protein_coding	1598	1071	978	31.9946	12.6595	11.7992
ENSG00000004487.17	KDM1A	protein_coding	2911	1488	1423	55.3153	21.8869	20.3995
ENSG00000004534.15	RBM6	protein_coding	4988	2636	2355	70.6424	27.9514	26.0520
ENSG00000004660.15	CAMKK1	protein_coding	497	250	247	6.9119	2.7348	2.5490
ENSG00000004700.16	RECQL	protein_coding	604	660	736	16.5220	6.5373	6.0931
ENSG00000004766.17	VPS50	protein_coding	474	236	238	5.1259	2.0282	1.8904
ENSG00000004776.13	HSPB6	protein_coding	6	19	16	0.3598	0.1423	0.1327
ENSG00000004777.18	ARHGAP33	protein_coding	2282	1267	1413	44.8469	17.7448	16.5389
ENSG00000004779.10	NDUFAB1	protein_coding	708	371	337	47.2786	18.7070	17.4357
ENSG00000004799.8	PDK4	protein_coding	69	32	37	1.5697	0.6211	0.5789
ENSG00000004809.14	SLC22A16	protein_coding	1108	547	565	29.3156	11.5994	10.8112
ENSG00000004838.14	ZMYND10	protein_coding	135	74	71	4.8305	1.9113	1.7814
ENSG00000004846.16	ABCB5	protein_coding	1	0	1	0.0112	0.0044	0.0041
ENSG00000004848.8	ARX	protein_coding	0	1	0	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	429	213	216	11.9532	4.7296	4.4082
ENSG00000004866.22	ST7	protein_coding	277	144	155	4.3877	1.7361	1.6181
ENSG00000004897.12	CDC27	protein_coding	2358	1229	1260	35.7196	14.1334	13.1729
ENSG00000004939.15	SLC4A1	protein_coding	87	45	42	1.7548	0.6943	0.6471
ENSG00000004948.16	CALCR	protein_coding	2	1	1	0.0490	0.0194	0.0181
ENSG00000004961.15	HCCS	protein_coding	284	139	145	12.5299	4.9578	4.6209
ENSG00000004975.12	DVL2	protein_coding	1131	586	546	21.9721	8.6938	8.1030
ENSG00000005001.10	PRSS22	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000005007.13	UPF1	protein_coding	2254	1145	1111	27.1784	10.7538	10.0230
ENSG00000005020.13	SKAP2	protein_coding	594	326	268	11.4536	4.5319	4.2239
ENSG00000005022.6	SLC25A5	protein_coding	3215	1881	1744	213.7238	84.5652	78.8184
ENSG00000005059.16	MCUB	protein_coding	899	484	505	26.1410	10.3433	9.6405
ENSG00000005073.6	HOXA11	protein_coding	0	0	0	0.0000	0.0000	0.0000
