# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13452268	13452268	13452268			
N_multimapping			6279226	6279226	6279226			
N_noFeature			28505607	43027199	42923800			
N_ambiguous			2647548	677239	679073			
ENSG00000000003.15	TSPAN6	protein_coding	5	4	2	0.1228	0.0434	0.0477
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	528	247	282	48.7291	17.2149	18.9440
ENSG00000000457.14	SCYL3	protein_coding	387	292	285	6.2632	2.2126	2.4349
ENSG00000000460.17	C1orf112	protein_coding	314	245	270	5.8589	2.0698	2.2777
ENSG00000000938.13	FGR	protein_coding	807	425	384	26.5804	9.3902	10.3334
ENSG00000000971.16	CFH	protein_coding	40	23	17	0.5584	0.1973	0.2171
ENSG00000001036.14	FUCA2	protein_coding	857	672	662	33.8287	11.9509	13.1513
ENSG00000001084.13	GCLC	protein_coding	687	390	389	8.8800	3.1371	3.4522
ENSG00000001167.14	NFYA	protein_coding	2249	1275	1235	65.7373	23.2235	25.5561
ENSG00000001460.18	STPG1	protein_coding	267	151	172	3.4946	1.2345	1.3585
ENSG00000001461.17	NIPAL3	protein_coding	2302	1181	1176	27.2913	9.6414	10.6098
ENSG00000001497.18	LAS1L	protein_coding	2222	1127	1100	19.7146	6.9647	7.6643
ENSG00000001561.7	ENPP4	protein_coding	71	42	29	1.7031	0.6016	0.6621
ENSG00000001617.12	SEMA3F	protein_coding	33	20	13	0.7617	0.2691	0.2961
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1463	714	751	22.0557	7.7918	8.5744
ENSG00000001630.17	CYP51A1	protein_coding	31	27	12	0.9785	0.3457	0.3804
ENSG00000001631.16	KRIT1	protein_coding	334	177	159	5.9970	2.1186	2.3314
ENSG00000002016.18	RAD52	protein_coding	1622	869	753	40.1246	14.1751	15.5989
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	47	22	31	0.8301	0.2933	0.3227
ENSG00000002330.14	BAD	protein_coding	158	205	211	10.3046	3.6404	4.0060
ENSG00000002549.12	LAP3	protein_coding	831	404	428	24.4566	8.6400	9.5078
ENSG00000002586.20	CD99	protein_coding	10573	5221	5353	242.4388	85.6481	94.2508
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	4	2	2	0.0599	0.0212	0.0233
ENSG00000002726.21	AOC1	protein_coding	1163	535	628	34.2185	12.0886	13.3028
ENSG00000002745.13	WNT16	protein_coding	5	2	3	0.1706	0.0603	0.0663
ENSG00000002746.15	HECW1	protein_coding	10	4	9	0.0799	0.0282	0.0311
ENSG00000002822.15	MAD1L1	protein_coding	96	56	40	1.4791	0.5225	0.5750
ENSG00000002834.18	LASP1	protein_coding	6756	3941	3987	106.5822	37.6531	41.4350
ENSG00000002919.15	SNX11	protein_coding	601	290	312	16.1983	5.7225	6.2973
ENSG00000002933.9	TMEM176A	protein_coding	19	6	13	0.6087	0.2150	0.2366
ENSG00000003056.8	M6PR	protein_coding	2798	1658	1724	86.9401	30.7139	33.7989
ENSG00000003096.14	KLHL13	protein_coding	73	38	35	1.1645	0.4114	0.4527
ENSG00000003137.8	CYP26B1	protein_coding	5	2	3	0.1111	0.0392	0.0432
ENSG00000003147.19	ICA1	protein_coding	438	232	241	9.9919	3.5299	3.8845
ENSG00000003249.15	DBNDD1	protein_coding	37	22	16	0.9237	0.3263	0.3591
ENSG00000003393.15	ALS2	protein_coding	2085	1059	1026	22.2510	7.8608	8.6503
ENSG00000003400.15	CASP10	protein_coding	889	456	433	13.0628	4.6148	5.0783
ENSG00000003402.20	CFLAR	protein_coding	9859	5833	6035	48.8559	17.2597	18.9933
ENSG00000003436.16	TFPI	protein_coding	64	27	40	0.6086	0.2150	0.2366
ENSG00000003509.16	NDUFAF7	protein_coding	283	174	169	8.6345	3.0504	3.3567
ENSG00000003756.17	RBM5	protein_coding	7463	4731	4776	80.2677	28.3568	31.2050
ENSG00000003987.14	MTMR7	protein_coding	736	570	636	11.8340	4.1807	4.6006
ENSG00000003989.18	SLC7A2	protein_coding	17	12	5	0.2396	0.0846	0.0931
ENSG00000004059.11	ARF5	protein_coding	1361	709	726	83.0724	29.3476	32.2953
ENSG00000004139.14	SARM1	protein_coding	390	586	588	3.9121	1.3820	1.5209
ENSG00000004142.12	POLDIP2	protein_coding	1221	637	655	50.9408	17.9962	19.8038
ENSG00000004399.13	PLXND1	protein_coding	14073	6901	7173	164.0312	57.9485	63.7690
ENSG00000004455.17	AK2	protein_coding	4677	2368	2348	54.1288	19.1225	21.0432
ENSG00000004468.13	CD38	protein_coding	9180	4599	4581	149.1317	52.6848	57.9766
ENSG00000004478.8	FKBP4	protein_coding	1268	794	803	27.3576	9.6648	10.6356
ENSG00000004487.17	KDM1A	protein_coding	3678	1808	1872	75.3137	26.6066	29.2791
ENSG00000004534.15	RBM6	protein_coding	4538	2283	2256	69.2568	24.4669	26.9244
ENSG00000004660.15	CAMKK1	protein_coding	721	339	382	10.8052	3.8172	4.2006
ENSG00000004700.16	RECQL	protein_coding	288	309	301	8.4894	2.9991	3.3003
ENSG00000004766.17	VPS50	protein_coding	474	235	239	5.5237	1.9514	2.1474
ENSG00000004776.13	HSPB6	protein_coding	10	11	17	0.6461	0.2283	0.2512
ENSG00000004777.18	ARHGAP33	protein_coding	1442	790	881	30.5380	10.7884	11.8720
ENSG00000004779.10	NDUFAB1	protein_coding	641	332	309	46.1263	16.2954	17.9321
ENSG00000004799.8	PDK4	protein_coding	10	6	4	0.2451	0.0866	0.0953
ENSG00000004809.14	SLC22A16	protein_coding	1667	812	859	47.5284	16.7907	18.4772
ENSG00000004838.14	ZMYND10	protein_coding	123	70	59	4.7426	1.6755	1.8437
ENSG00000004846.16	ABCB5	protein_coding	1	1	0	0.0120	0.0043	0.0047
ENSG00000004848.8	ARX	protein_coding	4	1	3	0.1431	0.0505	0.0556
ENSG00000004864.14	SLC25A13	protein_coding	486	229	257	14.5923	5.1551	5.6729
ENSG00000004866.22	ST7	protein_coding	192	93	122	3.2773	1.1578	1.2741
ENSG00000004897.12	CDC27	protein_coding	1580	848	822	25.7917	9.1116	10.0268
ENSG00000004939.15	SLC4A1	protein_coding	542	299	243	11.7806	4.1618	4.5798
ENSG00000004948.16	CALCR	protein_coding	2	1	1	0.0528	0.0186	0.0205
ENSG00000004961.15	HCCS	protein_coding	178	90	88	8.4627	2.9897	3.2900
ENSG00000004975.12	DVL2	protein_coding	1008	518	494	21.1022	7.4549	8.2037
