# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13329217	13329217	13329217			
N_multimapping			7408690	7408690	7408690			
N_noFeature			30885270	47980821	47885593			
N_ambiguous			3083889	790584	804143			
ENSG00000000003.15	TSPAN6	protein_coding	7	3	4	0.1487	0.0520	0.0496
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	923	485	438	73.6986	25.7774	24.5788
ENSG00000000457.14	SCYL3	protein_coding	703	545	514	9.8433	3.4429	3.2828
ENSG00000000460.17	C1orf112	protein_coding	492	413	449	7.9425	2.7780	2.6488
ENSG00000000938.13	FGR	protein_coding	2261	1054	1207	64.4305	22.5358	21.4879
ENSG00000000971.16	CFH	protein_coding	4	2	2	0.0483	0.0169	0.0161
ENSG00000001036.14	FUCA2	protein_coding	432	349	381	14.7534	5.1603	4.9203
ENSG00000001084.13	GCLC	protein_coding	1525	922	872	17.0541	5.9650	5.6876
ENSG00000001167.14	NFYA	protein_coding	1778	961	999	44.9632	15.7267	14.9954
ENSG00000001460.18	STPG1	protein_coding	227	164	185	2.5705	0.8991	0.8573
ENSG00000001461.17	NIPAL3	protein_coding	3752	1970	1903	38.4844	13.4606	12.8347
ENSG00000001497.18	LAS1L	protein_coding	2893	1476	1428	22.2073	7.7674	7.4062
ENSG00000001561.7	ENPP4	protein_coding	984	470	514	20.4206	7.1425	6.8103
ENSG00000001617.12	SEMA3F	protein_coding	272	165	111	5.4318	1.8999	1.8115
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0097	0.0034	0.0032
ENSG00000001629.10	ANKIB1	protein_coding	3426	1732	1703	44.6855	15.6296	14.9028
ENSG00000001630.17	CYP51A1	protein_coding	39	23	16	1.0651	0.3725	0.3552
ENSG00000001631.16	KRIT1	protein_coding	803	401	411	12.4741	4.3630	4.1602
ENSG00000002016.18	RAD52	protein_coding	1758	892	866	37.6254	13.1602	12.5483
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	27	11	17	0.4126	0.1443	0.1376
ENSG00000002330.14	BAD	protein_coding	165	147	180	9.3102	3.2564	3.1050
ENSG00000002549.12	LAP3	protein_coding	1394	691	712	35.4945	12.4149	11.8376
