# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			11242917	11242917	11242917			
N_multimapping			6125855	6125855	6125855			
N_noFeature			19132478	36505142	36248686			
N_ambiguous			3233550	804134	814240			
ENSG00000000003.15	TSPAN6	protein_coding	1	1	0	0.0220	0.0071	0.0068
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	718	377	341	59.2516	19.2321	18.3026
ENSG00000000457.14	SCYL3	protein_coding	801	598	615	11.5914	3.7624	3.5806
ENSG00000000460.17	C1orf112	protein_coding	760	618	593	12.6801	4.1157	3.9168
ENSG00000000938.13	FGR	protein_coding	5369	2726	2645	158.1257	51.3251	48.8445
ENSG00000000971.16	CFH	protein_coding	34	13	21	0.4244	0.1377	0.1311
ENSG00000001036.14	FUCA2	protein_coding	941	770	737	33.2135	10.7806	10.2596
ENSG00000001084.13	GCLC	protein_coding	1785	1037	1055	20.6307	6.6964	6.3728
ENSG00000001167.14	NFYA	protein_coding	1899	1059	1057	49.6328	16.1100	15.3314
ENSG00000001460.18	STPG1	protein_coding	181	120	123	2.1183	0.6876	0.6543
ENSG00000001461.17	NIPAL3	protein_coding	1870	967	963	19.8235	6.4344	6.1234
ENSG00000001497.18	LAS1L	protein_coding	2550	1264	1287	20.2305	6.5665	6.2491
ENSG00000001561.7	ENPP4	protein_coding	223	115	108	4.7829	1.5525	1.4774
ENSG00000001617.12	SEMA3F	protein_coding	7	6	4	0.1445	0.0469	0.0446
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2279	1164	1126	30.7214	9.9717	9.4898
ENSG00000001630.17	CYP51A1	protein_coding	47	23	26	1.3266	0.4306	0.4098
ENSG00000001631.16	KRIT1	protein_coding	401	219	193	6.4381	2.0897	1.9887
ENSG00000002016.18	RAD52	protein_coding	1400	731	670	30.9677	10.0516	9.5658
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	24	14	10	0.3790	0.1230	0.1171
ENSG00000002330.14	BAD	protein_coding	177	209	195	10.3221	3.3504	3.1885
ENSG00000002549.12	LAP3	protein_coding	2220	1134	1090	58.4211	18.9625	18.0461
ENSG00000002586.20	CD99	protein_coding	10418	5120	5298	213.6040	69.3324	65.9816
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	435	223	213	5.8276	1.8916	1.8001
ENSG00000002726.21	AOC1	protein_coding	52	29	23	1.3681	0.4441	0.4226
ENSG00000002745.13	WNT16	protein_coding	9	6	3	0.2746	0.0891	0.0848
ENSG00000002746.15	HECW1	protein_coding	5	1	5	0.0357	0.0116	0.0110
ENSG00000002822.15	MAD1L1	protein_coding	82	42	40	1.1297	0.3667	0.3490
ENSG00000002834.18	LASP1	protein_coding	7238	4343	4309	102.1022	33.1407	31.5390
ENSG00000002919.15	SNX11	protein_coding	1019	514	508	24.5579	7.9711	7.5859
ENSG00000002933.9	TMEM176A	protein_coding	34	12	22	0.9740	0.3161	0.3009
ENSG00000003056.8	M6PR	protein_coding	5121	3104	3041	142.2814	46.1823	43.9503
ENSG00000003096.14	KLHL13	protein_coding	203	103	100	2.8956	0.9399	0.8944
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0199	0.0064	0.0061
ENSG00000003147.19	ICA1	protein_coding	737	398	412	15.0336	4.8797	4.6438
ENSG00000003249.15	DBNDD1	protein_coding	20	11	11	0.4465	0.1449	0.1379
ENSG00000003393.15	ALS2	protein_coding	2354	1242	1112	22.4632	7.2912	6.9388
ENSG00000003400.15	CASP10	protein_coding	1888	952	937	24.8061	8.0517	7.6625
ENSG00000003402.20	CFLAR	protein_coding	8489	4952	4916	37.6151	12.2093	11.6192
ENSG00000003436.16	TFPI	protein_coding	1463	814	730	12.4400	4.0378	3.8427
ENSG00000003509.16	NDUFAF7	protein_coding	668	498	487	18.2241	5.9153	5.6294
ENSG00000003756.17	RBM5	protein_coding	8940	5850	5678	85.9778	27.9070	26.5583
ENSG00000003987.14	MTMR7	protein_coding	284	304	298	4.0831	1.3253	1.2613
ENSG00000003989.18	SLC7A2	protein_coding	7	6	1	0.0882	0.0286	0.0272
ENSG00000004059.11	ARF5	protein_coding	1425	753	801	77.7740	25.2442	24.0242
ENSG00000004139.14	SARM1	protein_coding	123	273	289	1.1032	0.3581	0.3408
ENSG00000004142.12	POLDIP2	protein_coding	2006	1045	1075	74.8346	24.2901	23.1162
ENSG00000004399.13	PLXND1	protein_coding	16342	8059	8286	170.3202	55.2832	52.6114
ENSG00000004455.17	AK2	protein_coding	5084	2505	2607	52.6123	17.0771	16.2518
ENSG00000004468.13	CD38	protein_coding	4630	2316	2315	67.2557	21.8301	20.7751
ENSG00000004478.8	FKBP4	protein_coding	2556	1602	1653	49.3107	16.0055	15.2319
ENSG00000004487.17	KDM1A	protein_coding	3900	1929	1973	71.4082	23.1780	22.0578
ENSG00000004534.15	RBM6	protein_coding	6174	3146	3030	84.2531	27.3472	26.0255
ENSG00000004660.15	CAMKK1	protein_coding	467	231	237	6.2580	2.0312	1.9331
ENSG00000004700.16	RECQL	protein_coding	1107	1024	1007	29.1779	9.4707	9.0129
ENSG00000004766.17	VPS50	protein_coding	902	454	448	9.3989	3.0507	2.9033
ENSG00000004776.13	HSPB6	protein_coding	2	5	3	0.1156	0.0375	0.0357
ENSG00000004777.18	ARHGAP33	protein_coding	1191	679	690	22.5532	7.3204	6.9666
ENSG00000004779.10	NDUFAB1	protein_coding	822	424	398	52.8912	17.1676	16.3379
ENSG00000004799.8	PDK4	protein_coding	129	52	77	2.8277	0.9178	0.8735
ENSG00000004809.14	SLC22A16	protein_coding	1586	814	773	40.4336	13.1241	12.4898
ENSG00000004838.14	ZMYND10	protein_coding	90	53	54	3.1030	1.0072	0.9585
ENSG00000004846.16	ABCB5	protein_coding	1	0	1	0.0108	0.0035	0.0033
ENSG00000004848.8	ARX	protein_coding	0	0	1	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	809	419	390	21.7199	7.0499	6.7092
ENSG00000004866.22	ST7	protein_coding	526	310	305	8.0283	2.6058	2.4799
ENSG00000004897.12	CDC27	protein_coding	2085	1170	1104	30.4333	9.8782	9.4008
ENSG00000004939.15	SLC4A1	protein_coding	113	58	55	2.1962	0.7128	0.6784
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	478	265	213	20.3207	6.5958	6.2770
ENSG00000004975.12	DVL2	protein_coding	1194	604	591	22.3508	7.2547	6.9041
ENSG00000005001.10	PRSS22	protein_coding	1	0	2	0.0418	0.0136	0.0129
ENSG00000005007.13	UPF1	protein_coding	3489	1757	1735	40.5369	13.1576	12.5217
ENSG00000005020.13	SKAP2	protein_coding	3950	1987	1964	73.3895	23.8210	22.6698
ENSG00000005022.6	SLC25A5	protein_coding	7210	4166	4175	461.8356	149.9044	142.6596
ENSG00000005059.16	MCUB	protein_coding	356	185	195	9.9745	3.2376	3.0811
ENSG00000005073.6	HOXA11	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000005075.15	POLR2J	protein_coding	466	243	236	34.2554	11.1188	10.5814
ENSG00000005100.13	DHX33	protein_coding	1390	690	701	23.9163	7.7628	7.3877
ENSG00000005102.14	MEOX1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000005108.16	THSD7A	protein_coding	189	88	107	1.7238	0.5595	0.5325
ENSG00000005156.12	LIG3	protein_coding	2167	1659	1681	16.7309	5.4306	5.1681
ENSG00000005175.10	RPAP3	protein_coding	1329	667	662	24.7431	8.0312	7.6431
ENSG00000005187.12	ACSM3	protein_coding	1562	893	931	20.7168	6.7244	6.3994
ENSG00000005189.20	REXO5	protein_coding	827	422	444	20.0374	6.5038	6.1895
ENSG00000005194.15	CIAPIN1	protein_coding	1100	520	580	32.3872	10.5124	10.0043
ENSG00000005206.17	SPPL2B	protein_coding	2860	1431	1430	38.3975	12.4632	11.8609
ENSG00000005238.20	FAM214B	protein_coding	1318	660	658	20.5929	6.6841	6.3611
ENSG00000005243.10	COPZ2	protein_coding	8	4	4	0.4270	0.1386	0.1319
ENSG00000005249.13	PRKAR2B	protein_coding	474	240	234	11.0776	3.5956	3.4219
ENSG00000005302.19	MSL3	protein_coding	3011	1524	1487	30.6658	9.9536	9.4726
ENSG00000005339.15	CREBBP	protein_coding	8746	4251	4497	56.2794	18.2674	17.3845
ENSG00000005379.17	TSPOAP1	protein_coding	7679	3983	3859	67.1586	21.7986	20.7451
ENSG00000005381.8	MPO	protein_coding	463838	230908	233238	13099.1594	4251.7768	4046.2903
ENSG00000005421.9	PON1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000005436.14	GCFC2	protein_coding	802	532	533	14.6253	4.7471	4.5177
ENSG00000005448.17	WDR54	protein_coding	179	87	98	6.2515	2.0291	1.9311
ENSG00000005469.12	CROT	protein_coding	223	117	106	4.4468	1.4434	1.3736
