# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			10236549	10236549	10236549			
N_multimapping			5746732	5746732	5746732			
N_noFeature			21623292	39034421	38759404			
N_ambiguous			3084937	788568	797335			
ENSG00000000003.15	TSPAN6	protein_coding	2	1	1	0.0480	0.0142	0.0131
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	660	333	327	59.5743	17.6301	16.2716
ENSG00000000457.14	SCYL3	protein_coding	855	640	657	13.5335	4.0050	3.6964
ENSG00000000460.17	C1orf112	protein_coding	1237	828	869	22.5745	6.6806	6.1658
ENSG00000000938.13	FGR	protein_coding	1645	825	821	52.9925	15.6824	14.4739
ENSG00000000971.16	CFH	protein_coding	146	70	76	1.9933	0.5899	0.5444
ENSG00000001036.14	FUCA2	protein_coding	833	680	659	32.1596	9.5171	8.7838
ENSG00000001084.13	GCLC	protein_coding	1561	945	892	19.7342	5.8400	5.3900
ENSG00000001167.14	NFYA	protein_coding	3267	1843	1794	93.3969	27.6394	25.5096
ENSG00000001460.18	STPG1	protein_coding	243	163	162	3.1106	0.9205	0.8496
ENSG00000001461.17	NIPAL3	protein_coding	2436	1202	1315	28.2460	8.3590	7.7149
ENSG00000001497.18	LAS1L	protein_coding	2894	1441	1459	25.1133	7.4319	6.8592
ENSG00000001561.7	ENPP4	protein_coding	935	458	477	21.9352	6.4914	5.9912
ENSG00000001617.12	SEMA3F	protein_coding	38	17	23	0.8579	0.2539	0.2343
ENSG00000001626.16	CFTR	protein_coding	2	1	1	0.0219	0.0065	0.0060
ENSG00000001629.10	ANKIB1	protein_coding	2833	1421	1432	41.7718	12.3617	11.4092
ENSG00000001630.17	CYP51A1	protein_coding	65	44	22	2.0067	0.5939	0.5481
ENSG00000001631.16	KRIT1	protein_coding	483	247	256	8.4820	2.5101	2.3167
ENSG00000002016.18	RAD52	protein_coding	1172	623	549	28.3562	8.3916	7.7450
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	28	17	16	0.4837	0.1431	0.1321
