# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			8357661	8357661	8357661			
N_multimapping			6114512	6114512	6114512			
N_noFeature			21633252	38253020	38068178			
N_ambiguous			3153995	819462	826446			
ENSG00000000003.15	TSPAN6	protein_coding	52	24	28	1.1498	0.4009	0.3623
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	931	489	442	77.3615	26.9773	24.3781
ENSG00000000457.14	SCYL3	protein_coding	883	692	649	12.8666	4.4868	4.0545
ENSG00000000460.17	C1orf112	protein_coding	762	604	644	12.8016	4.4641	4.0340
ENSG00000000938.13	FGR	protein_coding	7526	3705	3821	223.1892	77.8300	70.3311
ENSG00000000971.16	CFH	protein_coding	237	117	120	2.9787	1.0387	0.9386
ENSG00000001036.14	FUCA2	protein_coding	858	615	646	30.4939	10.6338	9.6092
ENSG00000001084.13	GCLC	protein_coding	1729	976	985	20.1220	7.0169	6.3408
ENSG00000001167.14	NFYA	protein_coding	2513	1421	1381	66.1357	23.0627	20.8406
ENSG00000001460.18	STPG1	protein_coding	117	92	78	1.3788	0.4808	0.4345
ENSG00000001461.17	NIPAL3	protein_coding	1800	918	935	19.2137	6.7002	6.0546
ENSG00000001497.18	LAS1L	protein_coding	2077	1069	1030	16.5921	5.7860	5.2285
ENSG00000001561.7	ENPP4	protein_coding	567	286	281	12.2454	4.2702	3.8588
ENSG00000001617.12	SEMA3F	protein_coding	58	33	25	1.2054	0.4203	0.3798
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1850	901	953	25.1113	8.7567	7.9130
ENSG00000001630.17	CYP51A1	protein_coding	35	25	11	0.9947	0.3469	0.3135
ENSG00000001631.16	KRIT1	protein_coding	370	183	191	5.9815	2.0859	1.8849
ENSG00000002016.18	RAD52	protein_coding	1548	788	761	34.4787	12.0234	10.8649
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	7	3	4	0.1113	0.0388	0.0351
ENSG00000002330.14	BAD	protein_coding	137	221	208	8.0448	2.8054	2.5351
ENSG00000002549.12	LAP3	protein_coding	2126	1114	1014	56.3352	19.6451	17.7523
ENSG00000002586.20	CD99	protein_coding	4307	2129	2178	88.9201	31.0080	28.0204
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	48	24	24	0.6475	0.2258	0.2040
ENSG00000002726.21	AOC1	protein_coding	89	45	44	2.3577	0.8222	0.7430
ENSG00000002745.13	WNT16	protein_coding	35	26	9	1.0755	0.3750	0.3389
ENSG00000002746.15	HECW1	protein_coding	20	10	13	0.1439	0.0502	0.0454
ENSG00000002822.15	MAD1L1	protein_coding	131	67	64	1.8173	0.6337	0.5727
ENSG00000002834.18	LASP1	protein_coding	4794	2864	2887	68.0949	23.7459	21.4580
ENSG00000002919.15	SNX11	protein_coding	822	411	415	19.9475	6.9561	6.2858
ENSG00000002933.9	TMEM176A	protein_coding	378	178	204	10.9036	3.8023	3.4359
ENSG00000003056.8	M6PR	protein_coding	3881	2346	2285	108.5768	37.8627	34.2146
ENSG00000003096.14	KLHL13	protein_coding	80	39	41	1.1490	0.4007	0.3621
ENSG00000003137.8	CYP26B1	protein_coding	3	1	2	0.0600	0.0209	0.0189
ENSG00000003147.19	ICA1	protein_coding	276	151	168	5.6690	1.9769	1.7864
ENSG00000003249.15	DBNDD1	protein_coding	52	20	35	1.1688	0.4076	0.3683
ENSG00000003393.15	ALS2	protein_coding	5345	2745	2603	51.3586	17.9096	16.1841
ENSG00000003400.15	CASP10	protein_coding	3311	1608	1703	43.8041	15.2753	13.8035
ENSG00000003402.20	CFLAR	protein_coding	11693	7054	6811	52.1713	18.1931	16.4402
ENSG00000003436.16	TFPI	protein_coding	1102	595	564	9.4354	3.2903	2.9733
ENSG00000003509.16	NDUFAF7	protein_coding	681	461	522	18.7076	6.5237	5.8951
ENSG00000003756.17	RBM5	protein_coding	9169	5784	5903	88.7913	30.9631	27.9798
ENSG00000003987.14	MTMR7	protein_coding	512	490	489	7.4122	2.5848	2.3357
ENSG00000003989.18	SLC7A2	protein_coding	491	263	228	6.2296	2.1724	1.9631
ENSG00000004059.11	ARF5	protein_coding	981	534	542	53.9124	18.8002	16.9888
ENSG00000004139.14	SARM1	protein_coding	397	772	824	3.5855	1.2503	1.1299
ENSG00000004142.12	POLDIP2	protein_coding	1398	716	763	52.5144	18.3127	16.5483
ENSG00000004399.13	PLXND1	protein_coding	10869	5294	5578	114.0645	39.7763	35.9439
ENSG00000004455.17	AK2	protein_coding	5033	2557	2507	52.4456	18.2887	16.5266
ENSG00000004468.13	CD38	protein_coding	5715	2857	2859	83.5920	29.1500	26.3414
ENSG00000004478.8	FKBP4	protein_coding	2878	1919	1756	55.9076	19.4960	17.6176
ENSG00000004487.17	KDM1A	protein_coding	3343	1710	1634	61.6339	21.4929	19.4220
ENSG00000004534.15	RBM6	protein_coding	6861	3555	3306	94.2772	32.8761	29.7085
ENSG00000004660.15	CAMKK1	protein_coding	413	201	212	5.5727	1.9433	1.7561
ENSG00000004700.16	RECQL	protein_coding	815	896	814	21.6303	7.5429	6.8161
ENSG00000004766.17	VPS50	protein_coding	704	351	353	7.3866	2.5758	2.3276
ENSG00000004776.13	HSPB6	protein_coding	15	39	36	0.8726	0.3043	0.2750
ENSG00000004777.18	ARHGAP33	protein_coding	2040	1162	1218	38.8980	13.5644	12.2575
ENSG00000004779.10	NDUFAB1	protein_coding	789	413	376	51.1197	17.8264	16.1088
ENSG00000004799.8	PDK4	protein_coding	645	327	318	14.2365	4.9645	4.4862
ENSG00000004809.14	SLC22A16	protein_coding	1206	618	592	30.9590	10.7959	9.7558
ENSG00000004838.14	ZMYND10	protein_coding	66	41	32	2.2913	0.7990	0.7220
ENSG00000004846.16	ABCB5	protein_coding	1	1	0	0.0108	0.0038	0.0034
ENSG00000004848.8	ARX	protein_coding	1	1	0	0.0322	0.0112	0.0101
ENSG00000004864.14	SLC25A13	protein_coding	442	223	219	11.9490	4.1668	3.7654
ENSG00000004866.22	ST7	protein_coding	706	399	404	10.8503	3.7837	3.4191
ENSG00000004897.12	CDC27	protein_coding	1983	1097	1026	29.1451	10.1634	9.1842
ENSG00000004939.15	SLC4A1	protein_coding	883	408	475	17.2802	6.0259	5.4453
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	488	242	246	20.8896	7.2846	6.5827
ENSG00000004975.12	DVL2	protein_coding	835	415	422	15.7389	5.4885	4.9596
ENSG00000005001.10	PRSS22	protein_coding	1	0	1	0.0421	0.0147	0.0133
ENSG00000005007.13	UPF1	protein_coding	4011	2040	1974	46.9248	16.3635	14.7869
ENSG00000005020.13	SKAP2	protein_coding	1849	856	993	34.5918	12.0628	10.9005
ENSG00000005022.6	SLC25A5	protein_coding	4003	2283	2278	258.1890	90.0351	81.3602
ENSG00000005059.16	MCUB	protein_coding	755	394	384	21.3005	7.4279	6.7122
ENSG00000005073.6	HOXA11	protein_coding	1	0	1	0.0376	0.0131	0.0118
ENSG00000005075.15	POLR2J	protein_coding	409	197	227	30.2738	10.5570	9.5398
ENSG00000005100.13	DHX33	protein_coding	975	487	488	16.8921	5.8906	5.3230
ENSG00000005102.14	MEOX1	protein_coding	9	4	5	0.3376	0.1177	0.1064
ENSG00000005108.16	THSD7A	protein_coding	31	23	13	0.2847	0.0993	0.0897
ENSG00000005156.12	LIG3	protein_coding	1489	1112	1052	11.5759	4.0367	3.6478
ENSG00000005175.10	RPAP3	protein_coding	1205	613	592	22.5900	7.8775	7.1185
ENSG00000005187.12	ACSM3	protein_coding	1609	1068	1076	21.4881	7.4933	6.7713
ENSG00000005189.20	REXO5	protein_coding	1041	548	550	25.3972	8.8565	8.0031
ENSG00000005194.15	CIAPIN1	protein_coding	1171	579	592	34.7166	12.1063	10.9399
ENSG00000005206.17	SPPL2B	protein_coding	2434	1246	1191	32.9047	11.4745	10.3689
ENSG00000005238.20	FAM214B	protein_coding	1617	798	819	25.4397	8.8713	8.0165
ENSG00000005243.10	COPZ2	protein_coding	81	42	39	4.3537	1.5182	1.3719
ENSG00000005249.13	PRKAR2B	protein_coding	740	363	377	17.4141	6.0726	5.4875
ENSG00000005302.19	MSL3	protein_coding	4234	2059	2175	43.4205	15.1415	13.6826
ENSG00000005339.15	CREBBP	protein_coding	8636	4214	4425	55.9567	19.5131	17.6330
ENSG00000005379.17	TSPOAP1	protein_coding	4301	2154	2251	37.8762	13.2081	11.9355
ENSG00000005381.8	MPO	protein_coding	78972	39555	39436	2245.6919	783.1129	707.6602
ENSG00000005421.9	PON1	protein_coding	1	0	1	0.0377	0.0132	0.0119
ENSG00000005436.14	GCFC2	protein_coding	728	482	461	13.3679	4.6616	4.2125
ENSG00000005448.17	WDR54	protein_coding	455	222	236	16.0009	5.5798	5.0422
ENSG00000005469.12	CROT	protein_coding	252	120	132	5.0600	1.7645	1.5945
ENSG00000005471.19	ABCB4	protein_coding	21	13	8	0.2725	0.0950	0.0859
ENSG00000005483.21	KMT2E	protein_coding	4299	2351	2450	43.3382	15.1128	13.6567
ENSG00000005486.17	RHBDD2	protein_coding	1193	562	631	50.0639	17.4582	15.7761
ENSG00000005513.10	SOX8	protein_coding	47	23	24	1.0546	0.3677	0.3323
ENSG00000005700.15	IBTK	protein_coding	2305	1210	1095	26.5147	9.2461	8.3553
ENSG00000005801.18	ZNF195	protein_coding	2240	1092	1148	19.1839	6.6898	6.0452
ENSG00000005810.18	MYCBP2	protein_coding	9069	5822	5782	56.8951	19.8403	17.9287
ENSG00000005812.11	FBXL3	protein_coding	1309	1056	1105	18.5539	6.4701	5.8467
ENSG00000005844.19	ITGAL	protein_coding	11876	7107	7199	120.7535	42.1089	38.0517
ENSG00000005882.12	PDK2	protein_coding	462	355	414	8.4695	2.9535	2.6689
ENSG00000005884.18	ITGA3	protein_coding	367	172	195	3.7552	1.3095	1.1833
ENSG00000005889.16	ZFX	protein_coding	2422	1212	1212	26.8802	9.3736	8.4705
ENSG00000005893.16	LAMP2	protein_coding	6750	3348	3402	71.9902	25.1043	22.6855
ENSG00000005961.19	ITGA2B	protein_coding	834	424	410	14.6877	5.1219	4.6284
ENSG00000005981.13	ASB4	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006007.12	GDE1	protein_coding	1439	903	922	32.8760	11.4644	10.3598
ENSG00000006015.18	REX1BD	protein_coding	799	419	382	23.7723	8.2898	7.4911
ENSG00000006016.11	CRLF1	protein_coding	49	140	112	1.6564	0.5776	0.5220
ENSG00000006025.12	OSBPL7	protein_coding	1324	690	634	20.2057	7.0461	6.3672
ENSG00000006042.12	TMEM98	protein_coding	27	7	21	0.5221	0.1821	0.1645
ENSG00000006047.13	YBX2	protein_coding	25	12	15	0.5414	0.1888	0.1706
ENSG00000006059.4	KRT33A	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006062.17	MAP3K14	protein_coding	837	556	531	14.8108	5.1648	4.6672
ENSG00000006071.15	ABCC8	protein_coding	13	5	8	0.1036	0.0361	0.0326
ENSG00000006116.4	CACNG3	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006118.15	TMEM132A	protein_coding	147	85	89	2.0269	0.7068	0.6387
ENSG00000006125.18	AP2B1	protein_coding	4798	2393	2422	63.3934	22.1064	19.9765
ENSG00000006128.12	TAC1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006194.10	ZNF263	protein_coding	1048	729	769	16.4157	5.7245	5.1729
ENSG00000006210.7	CX3CL1	protein_coding	5	0	5	0.0841	0.0293	0.0265
ENSG00000006282.21	SPATA20	protein_coding	1155	607	548	21.7054	7.5691	6.8398
ENSG00000006283.18	CACNA1G	protein_coding	1	1	1	0.0100	0.0035	0.0031
ENSG00000006327.14	TNFRSF12A	protein_coding	82	46	36	4.5665	1.5924	1.4390
ENSG00000006377.11	DLX6	protein_coding	3	0	3	0.0873	0.0305	0.0275
ENSG00000006432.15	MAP3K9	protein_coding	234	115	119	1.8948	0.6608	0.5971
ENSG00000006451.8	RALA	protein_coding	885	447	440	24.8007	8.6484	7.8152
ENSG00000006453.14	BAIAP2L1	protein_coding	188	169	208	3.9111	1.3639	1.2325
ENSG00000006459.11	KDM7A	protein_coding	1605	807	798	17.1651	5.9858	5.4091
ENSG00000006468.14	ETV1	protein_coding	9	4	5	0.0939	0.0327	0.0296
ENSG00000006530.18	AGK	protein_coding	1148	649	699	10.7637	3.7535	3.3919
ENSG00000006534.16	ALDH3B1	protein_coding	1576	779	802	23.8554	8.3188	7.5173
ENSG00000006555.11	TTC22	protein_coding	171	88	83	2.8065	0.9787	0.8844
ENSG00000006576.16	PHTF2	protein_coding	1780	864	916	20.6484	7.2005	6.5067
ENSG00000006606.9	CCL26	protein_coding	2	1	1	0.2853	0.0995	0.0899
ENSG00000006607.14	FARP2	protein_coding	1062	592	605	7.4117	2.5846	2.3356
ENSG00000006611.17	USH1C	protein_coding	1	1	0	0.0205	0.0071	0.0064
ENSG00000006625.18	GGCT	protein_coding	186	98	88	11.7033	4.0811	3.6879
ENSG00000006634.8	DBF4	protein_coding	680	361	352	14.8425	5.1758	4.6771
ENSG00000006638.13	TBXA2R	protein_coding	506	240	268	17.9518	6.2601	5.6569
ENSG00000006652.15	IFRD1	protein_coding	611	316	295	7.7551	2.7043	2.4438
ENSG00000006659.13	LGALS14	protein_coding	1	1	0	0.1109	0.0387	0.0350
ENSG00000006695.12	COX10	protein_coding	559	307	254	8.2986	2.8939	2.6150
ENSG00000006704.11	GTF2IRD1	protein_coding	26	9	17	0.4012	0.1399	0.1264
ENSG00000006712.15	PAF1	protein_coding	1286	680	634	45.2563	15.7817	14.2611
ENSG00000006715.16	VPS41	protein_coding	1665	839	826	21.5418	7.5120	6.7882
ENSG00000006740.17	ARHGAP44	protein_coding	83	51	57	0.8930	0.3114	0.2814
ENSG00000006744.19	ELAC2	protein_coding	2048	1014	1041	29.3353	10.2297	9.2441
ENSG00000006747.15	SCIN	protein_coding	41	22	23	0.3537	0.1233	0.1115
ENSG00000006756.16	ARSD	protein_coding	632	434	406	9.0218	3.1460	2.8429
ENSG00000006757.12	PNPLA4	protein_coding	220	106	114	6.4688	2.2558	2.0384
ENSG00000006788.14	MYH13	protein_coding	58	38	43	0.9505	0.3315	0.2995
ENSG00000006831.10	ADIPOR2	protein_coding	2514	1286	1229	43.2419	15.0792	13.6263
ENSG00000006837.12	CDKL3	protein_coding	23	7	16	0.7326	0.2555	0.2308
ENSG00000007001.13	UPP2	protein_coding	21	8	13	0.7123	0.2484	0.2245
