# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			40843116	40843116	40843116			
N_multimapping			6459188	6459188	6459188			
N_noFeature			9481583	26569367	26810382			
N_ambiguous			4154048	988665	972536			
ENSG00000000003.15	TSPAN6	protein_coding	11	6	5	0.1939	0.0790	0.0870
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	604	317	287	40.0178	16.3119	17.9566
ENSG00000000457.14	SCYL3	protein_coding	380	364	390	4.4150	1.7996	1.9811
ENSG00000000460.17	C1orf112	protein_coding	116	246	253	1.5538	0.6334	0.6972
ENSG00000000938.13	FGR	protein_coding	15931	8046	7889	376.6973	153.5478	169.0301
ENSG00000000971.16	CFH	protein_coding	12	6	6	0.1203	0.0490	0.0540
ENSG00000001036.14	FUCA2	protein_coding	904	609	583	25.6174	10.4420	11.4949
ENSG00000001084.13	GCLC	protein_coding	557	315	286	5.1686	2.1068	2.3192
ENSG00000001167.14	NFYA	protein_coding	676	369	389	14.1850	5.7821	6.3651
ENSG00000001460.18	STPG1	protein_coding	153	72	94	1.4376	0.5860	0.6451
ENSG00000001461.17	NIPAL3	protein_coding	1251	647	617	10.6472	4.3400	4.7776
ENSG00000001497.18	LAS1L	protein_coding	1503	777	728	9.5734	3.9023	4.2957
ENSG00000001561.7	ENPP4	protein_coding	276	153	123	4.7527	1.9373	2.1326
ENSG00000001617.12	SEMA3F	protein_coding	2	1	2	0.0331	0.0135	0.0149
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	888	437	452	9.6106	3.9174	4.3124
ENSG00000001630.17	CYP51A1	protein_coding	5	5	3	0.1133	0.0462	0.0508
ENSG00000001631.16	KRIT1	protein_coding	440	203	238	5.6716	2.3118	2.5449
ENSG00000002016.18	RAD52	protein_coding	780	378	402	13.8521	5.6463	6.2157
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	15	10	12	0.1902	0.0775	0.0853
ENSG00000002330.14	BAD	protein_coding	284	455	487	13.2970	5.4201	5.9666
ENSG00000002549.12	LAP3	protein_coding	1485	749	736	31.3750	12.7889	14.0785
ENSG00000002586.20	CD99	protein_coding	21979	11174	10806	361.8041	147.4771	162.3473
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	15	11	4	0.1613	0.0658	0.0724
ENSG00000002726.21	AOC1	protein_coding	76	37	39	1.6053	0.6543	0.7203
ENSG00000002745.13	WNT16	protein_coding	68	33	35	1.6660	0.6791	0.7476
ENSG00000002746.15	HECW1	protein_coding	3	2	1	0.0172	0.0070	0.0077
ENSG00000002822.15	MAD1L1	protein_coding	107	55	52	1.1835	0.4824	0.5311
ENSG00000002834.18	LASP1	protein_coding	8155	5102	5047	92.3593	37.6471	41.4431
ENSG00000002919.15	SNX11	protein_coding	990	496	498	19.1555	7.8081	8.5954
ENSG00000002933.9	TMEM176A	protein_coding	541	305	243	12.4427	5.0719	5.5833
