# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			10721617	10721617	10721617			
N_multimapping			5448337	5448337	5448337			
N_noFeature			23111350	37767773	37571403			
N_ambiguous			2602562	670533	679230			
ENSG00000000003.15	TSPAN6	protein_coding	21	11	10	0.5629	0.1803	0.1618
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	506	258	248	50.9730	16.3256	14.6480
ENSG00000000457.14	SCYL3	protein_coding	929	693	607	16.4110	5.2561	4.7160
ENSG00000000460.17	C1orf112	protein_coding	593	480	524	12.0775	3.8682	3.4707
ENSG00000000938.13	FGR	protein_coding	1927	907	1020	69.2795	22.1888	19.9088
ENSG00000000971.16	CFH	protein_coding	217	107	110	3.3064	1.0590	0.9502
ENSG00000001036.14	FUCA2	protein_coding	471	394	344	20.2937	6.4996	5.8318
ENSG00000001084.13	GCLC	protein_coding	1682	944	985	23.7310	7.6005	6.8195
ENSG00000001167.14	NFYA	protein_coding	1890	1057	1051	60.3003	19.3129	17.3284
ENSG00000001460.18	STPG1	protein_coding	237	145	150	3.3858	1.0844	0.9730
ENSG00000001461.17	NIPAL3	protein_coding	1865	969	954	24.1342	7.7297	6.9354
ENSG00000001497.18	LAS1L	protein_coding	2687	1359	1349	26.0224	8.3344	7.4780
ENSG00000001561.7	ENPP4	protein_coding	869	431	438	22.7522	7.2871	6.5383
ENSG00000001617.12	SEMA3F	protein_coding	55	28	27	1.3857	0.4438	0.3982
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2344	1148	1209	38.5717	12.3537	11.0843
ENSG00000001630.17	CYP51A1	protein_coding	19	11	9	0.6546	0.2097	0.1881
ENSG00000001631.16	KRIT1	protein_coding	485	262	236	9.5053	3.0444	2.7315
ENSG00000002016.18	RAD52	protein_coding	1250	637	613	33.7524	10.8102	9.6994
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	54	35	29	1.0410	0.3334	0.2992
ENSG00000002330.14	BAD	protein_coding	187	179	206	13.3122	4.2636	3.8255
ENSG00000002549.12	LAP3	protein_coding	1188	605	586	38.1634	12.2229	10.9670
ENSG00000002586.20	CD99	protein_coding	3978	1968	2010	99.5643	31.8884	28.6117
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	30	16	15	0.4906	0.1571	0.1410
ENSG00000002726.21	AOC1	protein_coding	17	13	5	0.5460	0.1749	0.1569
ENSG00000002745.13	WNT16	protein_coding	59	36	23	2.1979	0.7039	0.6316
ENSG00000002746.15	HECW1	protein_coding	6	5	1	0.0524	0.0168	0.0150
ENSG00000002822.15	MAD1L1	protein_coding	177	78	99	2.9767	0.9534	0.8554
ENSG00000002834.18	LASP1	protein_coding	4694	2809	2744	80.8302	25.8882	23.2281
ENSG00000002919.15	SNX11	protein_coding	800	403	400	23.5354	7.5379	6.7633
ENSG00000002933.9	TMEM176A	protein_coding	3	1	2	0.1049	0.0336	0.0301
ENSG00000003056.8	M6PR	protein_coding	3191	1989	1865	108.2266	34.6627	31.1010
ENSG00000003096.14	KLHL13	protein_coding	225	113	112	3.9178	1.2548	1.1258
ENSG00000003137.8	CYP26B1	protein_coding	3	1	2	0.0727	0.0233	0.0209
ENSG00000003147.19	ICA1	protein_coding	892	455	501	22.2113	7.1138	6.3828
ENSG00000003249.15	DBNDD1	protein_coding	55	31	25	1.4988	0.4800	0.4307
ENSG00000003393.15	ALS2	protein_coding	1768	910	860	20.5950	6.5961	5.9184
ENSG00000003400.15	CASP10	protein_coding	1742	856	886	27.9395	8.9484	8.0289
ENSG00000003402.20	CFLAR	protein_coding	8098	4724	4749	43.8023	14.0290	12.5874
ENSG00000003436.16	TFPI	protein_coding	1792	950	934	18.6007	5.9574	5.3453
ENSG00000003509.16	NDUFAF7	protein_coding	718	431	431	23.9116	7.6584	6.8715
ENSG00000003756.17	RBM5	protein_coding	8776	5584	5603	103.0289	32.9980	29.6073
ENSG00000003987.14	MTMR7	protein_coding	305	282	290	5.3529	1.7144	1.5383
