# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13050835	13050835	13050835			
N_multimapping			5101045	5101045	5101045			
N_noFeature			18884496	33533454	33339507			
N_ambiguous			2912212	681657	687065			
ENSG00000000003.15	TSPAN6	protein_coding	1	1	0	0.0264	0.0085	0.0081
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	520	272	249	51.6429	16.5334	15.9102
ENSG00000000457.14	SCYL3	protein_coding	476	340	397	8.2898	2.6540	2.5539
ENSG00000000460.17	C1orf112	protein_coding	549	420	398	11.0233	3.5291	3.3961
ENSG00000000938.13	FGR	protein_coding	14402	7163	7242	510.4623	163.4240	157.2636
ENSG00000000971.16	CFH	protein_coding	60	26	34	0.9013	0.2885	0.2777
ENSG00000001036.14	FUCA2	protein_coding	1409	1066	1117	59.8506	19.1611	18.4388
ENSG00000001084.13	GCLC	protein_coding	3832	2329	2191	53.3008	17.0642	16.4209
ENSG00000001167.14	NFYA	protein_coding	1078	622	584	33.9074	10.8554	10.4462
ENSG00000001460.18	STPG1	protein_coding	180	121	104	2.5352	0.8116	0.7810
ENSG00000001461.17	NIPAL3	protein_coding	1179	586	639	15.0413	4.8155	4.6339
ENSG00000001497.18	LAS1L	protein_coding	1842	920	924	17.5868	5.6304	5.4182
ENSG00000001561.7	ENPP4	protein_coding	330	192	138	8.5180	2.7270	2.6242
ENSG00000001617.12	SEMA3F	protein_coding	16	8	10	0.3974	0.1272	0.1224
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0121	0.0039	0.0037
ENSG00000001629.10	ANKIB1	protein_coding	1551	764	793	25.1617	8.0555	7.7518
ENSG00000001630.17	CYP51A1	protein_coding	24	10	18	0.8152	0.2610	0.2512
ENSG00000001631.16	KRIT1	protein_coding	307	158	153	5.9317	1.8990	1.8275
ENSG00000002016.18	RAD52	protein_coding	1647	788	860	43.8436	14.0365	13.5074
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	21	8	15	0.3991	0.1278	0.1230
ENSG00000002330.14	BAD	protein_coding	118	209	234	8.2815	2.6513	2.5514
ENSG00000002549.12	LAP3	protein_coding	1553	723	834	49.1836	15.7461	15.1525
ENSG00000002586.20	CD99	protein_coding	13240	6427	6814	326.6969	104.5917	100.6490
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
