# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			17774518	17774518	17774518			
N_multimapping			6710223	6710223	6710223			
N_noFeature			31392915	49320046	49148093			
N_ambiguous			3252980	815405	827706			
ENSG00000000003.15	TSPAN6	protein_coding	10	3	7	0.2024	0.0706	0.0653
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	905	468	437	68.8205	24.0259	22.2049
ENSG00000000457.14	SCYL3	protein_coding	1171	843	881	15.6155	5.4515	5.0383
ENSG00000000460.17	C1orf112	protein_coding	877	707	753	13.4835	4.7072	4.3504
ENSG00000000938.13	FGR	protein_coding	4307	2120	2188	116.8901	40.8075	37.7146
ENSG00000000971.16	CFH	protein_coding	388	195	193	4.4628	1.5580	1.4399
ENSG00000001036.14	FUCA2	protein_coding	917	711	659	29.8256	10.4124	9.6232
ENSG00000001084.13	GCLC	protein_coding	2802	1626	1575	29.8427	10.4184	9.6287
ENSG00000001167.14	NFYA	protein_coding	2619	1443	1443	63.0773	22.0209	20.3519
ENSG00000001460.18	STPG1	protein_coding	50	55	54	0.5392	0.1882	0.1740
ENSG00000001461.17	NIPAL3	protein_coding	1869	950	978	18.2576	6.3739	5.8908
ENSG00000001497.18	LAS1L	protein_coding	2133	1127	1017	15.5937	5.4439	5.0313
ENSG00000001561.7	ENPP4	protein_coding	105	60	45	2.0753	0.7245	0.6696
ENSG00000001617.12	SEMA3F	protein_coding	15	5	12	0.2853	0.0996	0.0920
ENSG00000001626.16	CFTR	protein_coding	3	0	3	0.0277	0.0097	0.0089
ENSG00000001629.10	ANKIB1	protein_coding	3323	1682	1652	41.2782	14.4106	13.3184
ENSG00000001630.17	CYP51A1	protein_coding	40	20	24	1.0404	0.3632	0.3357
ENSG00000001631.16	KRIT1	protein_coding	746	388	367	11.0368	3.8531	3.5610
ENSG00000002016.18	RAD52	protein_coding	2368	1214	1154	48.2676	16.8507	15.5736
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	26	13	14	0.3784	0.1321	0.1221
ENSG00000002330.14	BAD	protein_coding	147	163	182	7.8996	2.7578	2.5488
ENSG00000002549.12	LAP3	protein_coding	2414	1181	1233	58.5393	20.4367	18.8877
ENSG00000002586.20	CD99	protein_coding	6729	3388	3341	127.1362	44.3845	41.0205
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	707	370	337	8.7280	3.0470	2.8161
ENSG00000002726.21	AOC1	protein_coding	5	3	2	0.1212	0.0423	0.0391
ENSG00000002745.13	WNT16	protein_coding	34	15	19	0.9561	0.3338	0.3085
