# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			8336090	8336090	8336090			
N_multimapping			4409050	4409050	4409050			
N_noFeature			26432076	40171578	39934433			
N_ambiguous			2511166	575466	585048			
ENSG00000000003.15	TSPAN6	protein_coding	2	2	0	0.0600	0.0180	0.0169
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	471	237	234	53.1067	15.9291	14.9575
ENSG00000000457.14	SCYL3	protein_coding	696	495	514	13.7616	4.1277	3.8759
ENSG00000000460.17	C1orf112	protein_coding	521	430	417	11.8768	3.5624	3.3451
ENSG00000000938.13	FGR	protein_coding	1076	543	534	43.2987	12.9873	12.1951
ENSG00000000971.16	CFH	protein_coding	1646	813	833	28.0713	8.4199	7.9063
ENSG00000001036.14	FUCA2	protein_coding	785	551	581	37.8572	11.3551	10.6625
ENSG00000001084.13	GCLC	protein_coding	573	324	316	9.0487	2.7141	2.5486
ENSG00000001167.14	NFYA	protein_coding	1206	636	715	43.0670	12.9178	12.1298
ENSG00000001460.18	STPG1	protein_coding	296	172	190	4.7331	1.4197	1.3331
ENSG00000001461.17	NIPAL3	protein_coding	1553	840	780	22.4939	6.7469	6.3354
ENSG00000001497.18	LAS1L	protein_coding	1728	859	873	18.7311	5.6183	5.2756
ENSG00000001561.7	ENPP4	protein_coding	122	59	63	3.5752	1.0724	1.0070
ENSG00000001617.12	SEMA3F	protein_coding	9	5	4	0.2538	0.0761	0.0715
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2017	1015	1017	37.1498	11.1429	10.4633
ENSG00000001630.17	CYP51A1	protein_coding	32	19	16	1.2341	0.3701	0.3476
ENSG00000001631.16	KRIT1	protein_coding	419	224	210	9.1913	2.7569	2.5887
ENSG00000002016.18	RAD52	protein_coding	1389	699	691	41.9794	12.5915	11.8235
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	7	3	5	0.1510	0.0453	0.0425
ENSG00000002330.14	BAD	protein_coding	140	195	201	11.1552	3.3459	3.1419
ENSG00000002549.12	LAP3	protein_coding	703	343	360	25.2770	7.5817	7.1193
ENSG00000002586.20	CD99	protein_coding	14010	7006	7004	392.4792	117.7225	110.5420
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	9	4	5	0.1647	0.0494	0.0464
ENSG00000002726.21	AOC1	protein_coding	104	54	50	3.7384	1.1213	1.0529
ENSG00000002745.13	WNT16	protein_coding	13	11	3	0.5420	0.1626	0.1527
