# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			22985310	22985310	22985310			
N_multimapping			8050204	8050204	8050204			
N_noFeature			28146120	48594916	48275771			
N_ambiguous			3744439	928267	961868			
ENSG00000000003.15	TSPAN6	protein_coding	1	1	0	0.0162	0.0061	0.0065
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	972	516	456	59.3174	22.3170	23.7318
ENSG00000000457.14	SCYL3	protein_coding	927	725	746	9.9203	3.7323	3.9689
ENSG00000000460.17	C1orf112	protein_coding	929	704	786	11.4621	4.3124	4.5858
ENSG00000000938.13	FGR	protein_coding	8997	4421	4578	195.9510	73.7227	78.3964
ENSG00000000971.16	CFH	protein_coding	118	45	73	1.0892	0.4098	0.4358
ENSG00000001036.14	FUCA2	protein_coding	1648	1383	1285	43.0154	16.1837	17.2096
ENSG00000001084.13	GCLC	protein_coding	3031	1815	1675	25.9061	9.7467	10.3646
ENSG00000001167.14	NFYA	protein_coding	2237	1238	1220	43.2365	16.2669	17.2981
ENSG00000001460.18	STPG1	protein_coding	319	221	166	2.7608	1.0387	1.1045
ENSG00000001461.17	NIPAL3	protein_coding	3024	1535	1554	23.7062	8.9190	9.4844
ENSG00000001497.18	LAS1L	protein_coding	1655	885	779	9.7097	3.6531	3.8847
ENSG00000001561.7	ENPP4	protein_coding	613	304	309	9.7228	3.6580	3.8899
ENSG00000001617.12	SEMA3F	protein_coding	127	62	67	1.9384	0.7293	0.7755
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	3140	1586	1560	31.3017	11.7766	12.5232
ENSG00000001630.17	CYP51A1	protein_coding	35	20	16	0.7305	0.2748	0.2923
ENSG00000001631.16	KRIT1	protein_coding	628	324	310	7.4561	2.8052	2.9830
ENSG00000002016.18	RAD52	protein_coding	2185	1131	1055	35.7415	13.4470	14.2995
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	18	11	9	0.2102	0.0791	0.0841
ENSG00000002330.14	BAD	protein_coding	118	142	161	5.0888	1.9146	2.0359
ENSG00000002549.12	LAP3	protein_coding	2646	1338	1312	51.4929	19.3732	20.6014
ENSG00000002586.20	CD99	protein_coding	4127	2049	2080	62.5749	23.5426	25.0351
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	4	3	1	0.0396	0.0149	0.0159
ENSG00000002726.21	AOC1	protein_coding	92	36	57	1.7899	0.6734	0.7161
ENSG00000002745.13	WNT16	protein_coding	51	20	31	1.1509	0.4330	0.4605
ENSG00000002746.15	HECW1	protein_coding	9	5	4	0.0476	0.0179	0.0190
ENSG00000002822.15	MAD1L1	protein_coding	90	48	42	0.9169	0.3450	0.3668
ENSG00000002834.18	LASP1	protein_coding	9575	5573	5913	99.8840	37.5794	39.9617
ENSG00000002919.15	SNX11	protein_coding	1261	641	620	22.4736	8.4553	8.9913
ENSG00000002933.9	TMEM176A	protein_coding	171	89	82	3.6226	1.3629	1.4493
ENSG00000003056.8	M6PR	protein_coding	3675	2468	2446	75.5077	28.4083	30.2093
ENSG00000003096.14	KLHL13	protein_coding	22	13	9	0.2321	0.0873	0.0928
ENSG00000003137.8	CYP26B1	protein_coding	2	1	1	0.0294	0.0111	0.0118
ENSG00000003147.19	ICA1	protein_coding	436	230	221	6.5769	2.4744	2.6313
ENSG00000003249.15	DBNDD1	protein_coding	13	3	11	0.2146	0.0807	0.0859
ENSG00000003393.15	ALS2	protein_coding	1521	773	749	10.7333	4.0382	4.2942
ENSG00000003400.15	CASP10	protein_coding	1888	967	922	18.3442	6.9016	7.3392
ENSG00000003402.20	CFLAR	protein_coding	14978	8394	8338	49.0795	18.4652	19.6358
ENSG00000003436.16	TFPI	protein_coding	180	91	95	1.1319	0.4258	0.4528
ENSG00000003509.16	NDUFAF7	protein_coding	753	455	502	15.1917	5.7156	6.0779
ENSG00000003756.17	RBM5	protein_coding	7964	4799	4905	56.6397	21.3096	22.6605
ENSG00000003987.14	MTMR7	protein_coding	328	354	355	3.4873	1.3120	1.3952
ENSG00000003989.18	SLC7A2	protein_coding	47	18	29	0.4379	0.1648	0.1752
ENSG00000004059.11	ARF5	protein_coding	1468	779	738	59.2497	22.2916	23.7047
ENSG00000004139.14	SARM1	protein_coding	435	748	829	2.8853	1.0855	1.1544
ENSG00000004142.12	POLDIP2	protein_coding	2202	1178	1192	60.7476	22.8551	24.3040
ENSG00000004399.13	PLXND1	protein_coding	14627	7129	7500	112.7345	42.4142	45.1030
ENSG00000004455.17	AK2	protein_coding	22825	11490	11431	174.6760	65.7184	69.8847
ENSG00000004468.13	CD38	protein_coding	8369	4035	4336	89.9006	33.8233	35.9676
ENSG00000004478.8	FKBP4	protein_coding	794	517	486	11.3277	4.2618	4.5320
ENSG00000004487.17	KDM1A	protein_coding	3646	1875	1772	49.3675	18.5735	19.7510
ENSG00000004534.15	RBM6	protein_coding	5698	3094	2606	57.5019	21.6340	23.0055
ENSG00000004660.15	CAMKK1	protein_coding	666	342	325	6.5998	2.4831	2.6405
ENSG00000004700.16	RECQL	protein_coding	1438	1475	1390	28.0289	10.5453	11.2138
ENSG00000004766.17	VPS50	protein_coding	921	475	447	7.0969	2.6701	2.8394
ENSG00000004776.13	HSPB6	protein_coding	6	16	17	0.2564	0.0964	0.1026
ENSG00000004777.18	ARHGAP33	protein_coding	698	390	439	9.7745	3.6775	3.9106
ENSG00000004779.10	NDUFAB1	protein_coding	790	418	372	37.5906	14.1427	15.0393
ENSG00000004799.8	PDK4	protein_coding	733	342	391	11.8820	4.4704	4.7538
ENSG00000004809.14	SLC22A16	protein_coding	1345	655	692	25.3573	9.5402	10.1450
ENSG00000004838.14	ZMYND10	protein_coding	98	48	63	2.4986	0.9401	0.9997
ENSG00000004846.16	ABCB5	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004848.8	ARX	protein_coding	5	4	2	0.1183	0.0445	0.0473
ENSG00000004864.14	SLC25A13	protein_coding	1138	569	569	22.5939	8.5005	9.0394
ENSG00000004866.22	ST7	protein_coding	969	573	559	10.9370	4.1148	4.3757
ENSG00000004897.12	CDC27	protein_coding	4585	2462	2474	49.4907	18.6199	19.8003
ENSG00000004939.15	SLC4A1	protein_coding	153	92	63	2.1990	0.8273	0.8798
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	543	292	251	17.0707	6.4225	6.8297
ENSG00000004975.12	DVL2	protein_coding	714	364	354	9.8839	3.7186	3.9544
ENSG00000005001.10	PRSS22	protein_coding	1	0	3	0.0309	0.0116	0.0124
ENSG00000005007.13	UPF1	protein_coding	2533	1287	1249	21.7633	8.1880	8.7071
ENSG00000005020.13	SKAP2	protein_coding	6432	3283	3150	88.3738	33.2489	35.3567
ENSG00000005022.6	SLC25A5	protein_coding	7237	4019	3976	342.8084	128.9749	137.1513
ENSG00000005059.16	MCUB	protein_coding	164	110	94	3.3980	1.2784	1.3595
ENSG00000005073.6	HOXA11	protein_coding	139	100	88	3.8361	1.4433	1.5348
ENSG00000005075.15	POLR2J	protein_coding	447	242	225	24.2992	9.1421	9.7217
ENSG00000005100.13	DHX33	protein_coding	1204	618	587	15.3196	5.7637	6.1291
ENSG00000005102.14	MEOX1	protein_coding	3	1	2	0.0826	0.0311	0.0331
ENSG00000005108.16	THSD7A	protein_coding	6	3	3	0.0405	0.0152	0.0162
ENSG00000005156.12	LIG3	protein_coding	2608	2260	2246	14.8904	5.6022	5.9574
ENSG00000005175.10	RPAP3	protein_coding	1965	1017	949	27.0540	10.1786	10.8238
ENSG00000005187.12	ACSM3	protein_coding	388	548	507	3.8055	1.4318	1.5225
ENSG00000005189.20	REXO5	protein_coding	1149	627	561	20.5871	7.7455	8.2365
ENSG00000005194.15	CIAPIN1	protein_coding	911	444	467	19.8353	7.4627	7.9358
ENSG00000005206.17	SPPL2B	protein_coding	1338	663	678	13.2842	4.9979	5.3147
ENSG00000005238.20	FAM214B	protein_coding	1216	582	634	14.0500	5.2860	5.6212
ENSG00000005243.10	COPZ2	protein_coding	53	27	26	2.0921	0.7871	0.8370
ENSG00000005249.13	PRKAR2B	protein_coding	5054	2569	2485	87.3464	32.8624	34.9457
ENSG00000005302.19	MSL3	protein_coding	2022	1037	986	15.2288	5.7295	6.0928
ENSG00000005339.15	CREBBP	protein_coding	11182	5629	5557	53.2108	20.0195	21.2887
ENSG00000005379.17	TSPOAP1	protein_coding	6163	3238	3027	39.8593	14.9963	15.9470
ENSG00000005381.8	MPO	protein_coding	1882	890	993	39.3041	14.7874	15.7248
ENSG00000005421.9	PON1	protein_coding	71	34	38	1.9683	0.7405	0.7875
