# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13306085	13306085	13306085			
N_multimapping			5815798	5815798	5815798			
N_noFeature			17676898	36838371	36699745			
N_ambiguous			3963658	948167	957575			
ENSG00000000003.15	TSPAN6	protein_coding	4	2	2	0.0847	0.0255	0.0253
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	886	463	424	70.5414	21.2234	21.0910
ENSG00000000457.14	SCYL3	protein_coding	422	358	342	5.8919	1.7726	1.7616
ENSG00000000460.17	C1orf112	protein_coding	556	427	421	8.9499	2.6927	2.6759
ENSG00000000938.13	FGR	protein_coding	19883	9842	10044	564.9703	169.9793	168.9191
ENSG00000000971.16	CFH	protein_coding	85	38	47	1.0236	0.3080	0.3060
ENSG00000001036.14	FUCA2	protein_coding	1810	1483	1424	61.6366	18.5442	18.4286
ENSG00000001084.13	GCLC	protein_coding	1627	945	983	18.1426	5.4584	5.4244
ENSG00000001167.14	NFYA	protein_coding	1862	1047	1016	46.9524	14.1263	14.0382
ENSG00000001460.18	STPG1	protein_coding	178	138	115	2.0098	0.6047	0.6009
ENSG00000001461.17	NIPAL3	protein_coding	1987	1010	1054	20.3223	6.1142	6.0761
ENSG00000001497.18	LAS1L	protein_coding	2130	1047	1085	16.3035	4.9051	4.8745
ENSG00000001561.7	ENPP4	protein_coding	445	208	237	9.2084	2.7705	2.7532
ENSG00000001617.12	SEMA3F	protein_coding	66	33	33	1.3142	0.3954	0.3929
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0097	0.0029	0.0029
ENSG00000001629.10	ANKIB1	protein_coding	1491	777	719	19.3914	5.8342	5.7978
ENSG00000001630.17	CYP51A1	protein_coding	25	13	12	0.6808	0.2048	0.2035
ENSG00000001631.16	KRIT1	protein_coding	297	158	144	4.6005	1.3841	1.3755
ENSG00000002016.18	RAD52	protein_coding	1210	613	598	25.8226	7.7691	7.7206
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	6	8	2	0.0914	0.0275	0.0273
ENSG00000002330.14	BAD	protein_coding	188	341	378	10.5776	3.1824	3.1626
ENSG00000002549.12	LAP3	protein_coding	1968	1004	966	49.9662	15.0330	14.9393
ENSG00000002586.20	CD99	protein_coding	8048	4011	4038	159.2017	47.8981	47.5993
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	6	3	3	0.0776	0.0233	0.0232
ENSG00000002726.21	AOC1	protein_coding	66	30	36	1.6753	0.5040	0.5009
ENSG00000002745.13	WNT16	protein_coding	21	11	10	0.6183	0.1860	0.1849
ENSG00000002746.15	HECW1	protein_coding	2	0	2	0.0138	0.0041	0.0041
ENSG00000002822.15	MAD1L1	protein_coding	117	63	54	1.5551	0.4679	0.4650
ENSG00000002834.18	LASP1	protein_coding	9835	5790	5989	133.8522	40.2713	40.0201
ENSG00000002919.15	SNX11	protein_coding	1600	832	768	37.2025	11.1929	11.1231
ENSG00000002933.9	TMEM176A	protein_coding	542	282	274	14.9800	4.5069	4.4788
ENSG00000003056.8	M6PR	protein_coding	5199	3132	3173	139.3632	41.9294	41.6678
ENSG00000003096.14	KLHL13	protein_coding	125	53	72	1.7202	0.5176	0.5143
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0192	0.0058	0.0057
ENSG00000003147.19	ICA1	protein_coding	257	138	142	5.0578	1.5217	1.5122
ENSG00000003249.15	DBNDD1	protein_coding	11	2	9	0.2369	0.0713	0.0708
ENSG00000003393.15	ALS2	protein_coding	652	334	318	6.0027	1.8060	1.7947
ENSG00000003400.15	CASP10	protein_coding	1599	786	813	20.2693	6.0983	6.0603
ENSG00000003402.20	CFLAR	protein_coding	11545	6993	6971	49.3554	14.8493	14.7566
ENSG00000003436.16	TFPI	protein_coding	176	96	87	1.4439	0.4344	0.4317
ENSG00000003509.16	NDUFAF7	protein_coding	451	286	223	11.8709	3.5715	3.5492
ENSG00000003756.17	RBM5	protein_coding	6025	3877	3927	55.9037	16.8194	16.7145
ENSG00000003987.14	MTMR7	protein_coding	202	205	214	2.8020	0.8430	0.8377
ENSG00000003989.18	SLC7A2	protein_coding	46	19	27	0.5592	0.1682	0.1672
ENSG00000004059.11	ARF5	protein_coding	2151	1107	1192	113.2648	34.0773	33.8647
ENSG00000004139.14	SARM1	protein_coding	300	796	768	2.5961	0.7811	0.7762
ENSG00000004142.12	POLDIP2	protein_coding	2490	1270	1337	89.6201	26.9635	26.7953
