# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			11750206	11750206	11750206			
N_multimapping			6371040	6371040	6371040			
N_noFeature			23300339	40491413	40240339			
N_ambiguous			3114055	771811	786529			
ENSG00000000003.15	TSPAN6	protein_coding	20	10	10	0.4455	0.1440	0.1553
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	675	324	351	56.5054	18.2671	19.6975
ENSG00000000457.14	SCYL3	protein_coding	544	396	425	7.9857	2.5816	2.7838
ENSG00000000460.17	C1orf112	protein_coding	395	353	343	6.6852	2.1612	2.3304
ENSG00000000938.13	FGR	protein_coding	77	41	36	2.3004	0.7437	0.8019
ENSG00000000971.16	CFH	protein_coding	254	132	122	3.2161	1.0397	1.1211
ENSG00000001036.14	FUCA2	protein_coding	731	585	528	26.1730	8.4612	9.1238
ENSG00000001084.13	GCLC	protein_coding	806	485	441	9.4498	3.0549	3.2942
ENSG00000001167.14	NFYA	protein_coding	4065	2239	2299	107.7743	34.8413	37.5696
ENSG00000001460.18	STPG1	protein_coding	296	170	180	3.5140	1.1360	1.2250
ENSG00000001461.17	NIPAL3	protein_coding	2052	1008	1097	22.0662	7.1336	7.6922
ENSG00000001497.18	LAS1L	protein_coding	1862	940	928	14.9850	4.8443	5.2237
ENSG00000001561.7	ENPP4	protein_coding	73	34	39	1.5883	0.5135	0.5537
ENSG00000001617.12	SEMA3F	protein_coding	57	34	23	1.1934	0.3858	0.4160
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0102	0.0033	0.0035
ENSG00000001629.10	ANKIB1	protein_coding	1899	932	980	25.9677	8.3948	9.0522
ENSG00000001630.17	CYP51A1	protein_coding	22	17	6	0.6299	0.2036	0.2196
ENSG00000001631.16	KRIT1	protein_coding	356	174	194	5.7979	1.8743	2.0211
ENSG00000002016.18	RAD52	protein_coding	1100	530	571	24.6822	7.9793	8.6041
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	25	15	11	0.4005	0.1295	0.1396
ENSG00000002330.14	BAD	protein_coding	159	252	256	9.4060	3.0408	3.2789
ENSG00000002549.12	LAP3	protein_coding	1071	561	511	28.5902	9.2426	9.9664
ENSG00000002586.20	CD99	protein_coding	19090	9359	9733	397.0472	128.3573	138.4088
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	270	125	145	3.6692	1.1862	1.2791
ENSG00000002726.21	AOC1	protein_coding	106	49	57	2.8289	0.9145	0.9861
ENSG00000002745.13	WNT16	protein_coding	22	10	12	0.6810	0.2202	0.2374
ENSG00000002746.15	HECW1	protein_coding	5	2	3	0.0363	0.0117	0.0126
ENSG00000002822.15	MAD1L1	protein_coding	132	55	77	1.8447	0.5964	0.6431
ENSG00000002834.18	LASP1	protein_coding	6685	4086	4105	95.6597	30.9248	33.3465
ENSG00000002919.15	SNX11	protein_coding	639	312	327	15.6217	5.0502	5.4457
ENSG00000002933.9	TMEM176A	protein_coding	148	79	70	4.3008	1.3904	1.4992
ENSG00000003056.8	M6PR	protein_coding	3037	1808	1945	85.5952	27.6712	29.8381
ENSG00000003096.14	KLHL13	protein_coding	121	60	61	1.7508	0.5660	0.6103
ENSG00000003137.8	CYP26B1	protein_coding	6	1	5	0.1209	0.0391	0.0421
ENSG00000003147.19	ICA1	protein_coding	443	233	248	9.1667	2.9634	3.1955
ENSG00000003249.15	DBNDD1	protein_coding	363	161	203	8.2200	2.6574	2.8654
ENSG00000003393.15	ALS2	protein_coding	4573	2290	2284	44.2667	14.3105	15.4312
ENSG00000003400.15	CASP10	protein_coding	1351	671	680	18.0062	5.8210	6.2769
ENSG00000003402.20	CFLAR	protein_coding	6809	4154	4127	30.6055	9.8942	10.6689
ENSG00000003436.16	TFPI	protein_coding	1031	525	562	8.8930	2.8749	3.1000
ENSG00000003509.16	NDUFAF7	protein_coding	401	271	259	11.0975	3.5876	3.8685
ENSG00000003756.17	RBM5	protein_coding	7487	4873	4838	73.0411	23.6127	25.4618
ENSG00000003987.14	MTMR7	protein_coding	531	534	535	7.7443	2.5036	2.6996
ENSG00000003989.18	SLC7A2	protein_coding	113	47	66	1.4443	0.4669	0.5035
ENSG00000004059.11	ARF5	protein_coding	1320	684	715	73.0810	23.6256	25.4757
ENSG00000004139.14	SARM1	protein_coding	248	499	497	2.2565	0.7295	0.7866
ENSG00000004142.12	POLDIP2	protein_coding	1616	882	857	61.1538	19.7698	21.3179
ENSG00000004399.13	PLXND1	protein_coding	13322	6490	6833	140.8450	45.5324	49.0979
ENSG00000004455.17	AK2	protein_coding	4274	2082	2227	44.8670	14.5046	15.6404
ENSG00000004468.13	CD38	protein_coding	2026	1020	1006	29.8538	9.6511	10.4069
