# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			8860787	8860787	8860787			
N_multimapping			7019081	7019081	7019081			
N_noFeature			22151554	41596601	41463722			
N_ambiguous			3448983	932522	945083			
ENSG00000000003.15	TSPAN6	protein_coding	36	18	18	0.6311	0.2340	0.2216
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	923	442	481	60.8127	22.5492	21.3530
ENSG00000000457.14	SCYL3	protein_coding	1804	1226	1304	20.8429	7.7285	7.3185
ENSG00000000460.17	C1orf112	protein_coding	1240	1009	997	16.5176	6.1247	5.7998
ENSG00000000938.13	FGR	protein_coding	3363	1642	1722	79.0776	29.3218	27.7663
ENSG00000000971.16	CFH	protein_coding	374	182	192	3.7271	1.3820	1.3087
ENSG00000001036.14	FUCA2	protein_coding	589	511	479	16.5981	6.1545	5.8280
ENSG00000001084.13	GCLC	protein_coding	2452	1439	1450	22.6263	8.3898	7.9447
ENSG00000001167.14	NFYA	protein_coding	4294	2390	2420	89.6031	33.2247	31.4621
ENSG00000001460.18	STPG1	protein_coding	136	117	122	1.2707	0.4712	0.4462
ENSG00000001461.17	NIPAL3	protein_coding	3038	1564	1577	25.7125	9.5342	9.0284
ENSG00000001497.18	LAS1L	protein_coding	2885	1463	1436	18.2738	6.7759	6.4164
ENSG00000001561.7	ENPP4	protein_coding	481	230	251	8.2367	3.0542	2.8921
ENSG00000001617.12	SEMA3F	protein_coding	13	7	6	0.2142	0.0794	0.0752
ENSG00000001626.16	CFTR	protein_coding	0	0	1	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2638	1361	1279	28.3916	10.5275	9.9690
ENSG00000001630.17	CYP51A1	protein_coding	29	17	14	0.6535	0.2423	0.2295
ENSG00000001631.16	KRIT1	protein_coding	495	239	258	6.3450	2.3527	2.2279
ENSG00000002016.18	RAD52	protein_coding	1605	803	803	28.3448	10.5102	9.9526
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	30	18	20	0.3783	0.1403	0.1328
ENSG00000002330.14	BAD	protein_coding	265	328	300	12.3384	4.5750	4.3323
ENSG00000002549.12	LAP3	protein_coding	1687	886	803	35.4445	13.1428	12.4455
ENSG00000002586.20	CD99	protein_coding	4028	2089	1939	65.9374	24.4495	23.1524
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	48	26	23	0.5134	0.1904	0.1803
ENSG00000002726.21	AOC1	protein_coding	14	10	4	0.2941	0.1090	0.1033
ENSG00000002745.13	WNT16	protein_coding	66	41	25	1.6080	0.5963	0.5646
ENSG00000002746.15	HECW1	protein_coding	1	0	1	0.0057	0.0021	0.0020
ENSG00000002822.15	MAD1L1	protein_coding	215	119	96	2.3648	0.8769	0.8304
ENSG00000002834.18	LASP1	protein_coding	4879	2917	2910	54.9496	20.3752	19.2943
ENSG00000002919.15	SNX11	protein_coding	1165	590	590	22.4161	8.3119	7.8709
ENSG00000002933.9	TMEM176A	protein_coding	82	38	45	1.8755	0.6954	0.6585
ENSG00000003056.8	M6PR	protein_coding	3669	2241	2204	81.3877	30.1784	28.5774
ENSG00000003096.14	KLHL13	protein_coding	19	10	9	0.2164	0.0802	0.0760
ENSG00000003137.8	CYP26B1	protein_coding	3	1	2	0.0476	0.0176	0.0167
ENSG00000003147.19	ICA1	protein_coding	630	332	340	10.2602	3.8044	3.6026
ENSG00000003249.15	DBNDD1	protein_coding	81	47	35	1.4436	0.5353	0.5069
ENSG00000003393.15	ALS2	protein_coding	3081	1595	1486	23.4733	8.7039	8.2421
ENSG00000003400.15	CASP10	protein_coding	2845	1450	1396	29.8439	11.0661	10.4790
ENSG00000003402.20	CFLAR	protein_coding	9031	5290	5228	31.9491	11.8467	11.2182
ENSG00000003436.16	TFPI	protein_coding	890	484	489	6.0421	2.2404	2.1215
ENSG00000003509.16	NDUFAF7	protein_coding	814	600	590	17.7302	6.5743	6.2255
ENSG00000003756.17	RBM5	protein_coding	8847	5789	5533	67.9301	25.1883	23.8521
