# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			10640499	10640499	10640499			
N_multimapping			4864205	4864205	4864205			
N_noFeature			21111550	36804516	36633178			
N_ambiguous			3082377	711188	704481			
ENSG00000000003.15	TSPAN6	protein_coding	1	1	0	0.0264	0.0078	0.0073
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	724	376	348	71.7208	21.2169	19.7507
ENSG00000000457.14	SCYL3	protein_coding	454	337	348	7.8866	2.3331	2.1718
ENSG00000000460.17	C1orf112	protein_coding	303	277	271	6.0685	1.7952	1.6712
ENSG00000000938.13	FGR	protein_coding	18420	9168	9255	651.2229	192.6491	179.3359
ENSG00000000971.16	CFH	protein_coding	69	30	39	1.0339	0.3058	0.2847
ENSG00000001036.14	FUCA2	protein_coding	1040	797	788	44.0646	13.0355	12.1347
ENSG00000001084.13	GCLC	protein_coding	1503	863	830	20.8529	6.1688	5.7425
ENSG00000001167.14	NFYA	protein_coding	1676	938	914	52.5834	15.5556	14.4806
ENSG00000001460.18	STPG1	protein_coding	218	122	132	3.0626	0.9060	0.8434
ENSG00000001461.17	NIPAL3	protein_coding	1331	671	696	16.9375	5.0106	4.6643
ENSG00000001497.18	LAS1L	protein_coding	1850	942	912	17.6185	5.2120	4.8518
ENSG00000001561.7	ENPP4	protein_coding	630	306	324	16.2204	4.7984	4.4668
ENSG00000001617.12	SEMA3F	protein_coding	14	4	10	0.3469	0.1026	0.0955
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0120	0.0036	0.0033
ENSG00000001629.10	ANKIB1	protein_coding	1874	944	939	30.3248	8.9709	8.3509
ENSG00000001630.17	CYP51A1	protein_coding	75	40	38	2.5411	0.7517	0.6998
ENSG00000001631.16	KRIT1	protein_coding	463	239	233	8.9232	2.6397	2.4573
ENSG00000002016.18	RAD52	protein_coding	1454	722	733	38.6079	11.4212	10.6320
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	16	7	10	0.3033	0.0897	0.0835
ENSG00000002330.14	BAD	protein_coding	182	239	217	12.7408	3.7691	3.5086
ENSG00000002549.12	LAP3	protein_coding	1708	799	910	53.9555	15.9615	14.8584
ENSG00000002586.20	CD99	protein_coding	13562	6802	6762	333.7950	98.7455	91.9216
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	1	0	1	0.0161	0.0048	0.0044
ENSG00000002726.21	AOC1	protein_coding	71	37	34	2.2423	0.6633	0.6175
ENSG00000002745.13	WNT16	protein_coding	35	15	20	1.2821	0.3793	0.3531
ENSG00000002746.15	HECW1	protein_coding	2	2	0	0.0172	0.0051	0.0047
ENSG00000002822.15	MAD1L1	protein_coding	242	131	112	4.0021	1.1839	1.1021
ENSG00000002834.18	LASP1	protein_coding	7511	4412	4523	127.1877	37.6255	35.0254
ENSG00000002919.15	SNX11	protein_coding	1391	709	685	40.2416	11.9045	11.0819
ENSG00000002933.9	TMEM176A	protein_coding	286	140	150	9.8350	2.9095	2.7084
ENSG00000003056.8	M6PR	protein_coding	3544	2103	2107	118.2002	34.9668	32.5504
ENSG00000003096.14	KLHL13	protein_coding	323	158	165	5.5306	1.6361	1.5230
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0238	0.0071	0.0066
ENSG00000003147.19	ICA1	protein_coding	673	359	382	16.4794	4.8751	4.5382
ENSG00000003249.15	DBNDD1	protein_coding	21	10	12	0.5627	0.1665	0.1550
ENSG00000003393.15	ALS2	protein_coding	704	371	333	8.0643	2.3856	2.2208
ENSG00000003400.15	CASP10	protein_coding	2310	1119	1191	36.4334	10.7780	10.0331
ENSG00000003402.20	CFLAR	protein_coding	8204	4928	4810	43.6377	12.9092	12.0171
ENSG00000003436.16	TFPI	protein_coding	13	6	7	0.1327	0.0393	0.0365
ENSG00000003509.16	NDUFAF7	protein_coding	427	299	289	13.9839	4.1368	3.8509
ENSG00000003756.17	RBM5	protein_coding	7132	4604	4426	82.3362	24.3573	22.6740
ENSG00000003987.14	MTMR7	protein_coding	218	204	199	3.7624	1.1130	1.0361
ENSG00000003989.18	SLC7A2	protein_coding	19	10	9	0.2874	0.0850	0.0791
ENSG00000004059.11	ARF5	protein_coding	1830	987	935	119.8952	35.4682	33.0171
ENSG00000004139.14	SARM1	protein_coding	611	1084	1127	6.5786	1.9461	1.8116
ENSG00000004142.12	POLDIP2	protein_coding	1980	1051	1005	88.6681	26.2304	24.4177
ENSG00000004399.13	PLXND1	protein_coding	15790	7768	8024	197.5487	58.4402	54.4016
ENSG00000004455.17	AK2	protein_coding	5946	2968	3001	73.8648	21.8512	20.3411
ENSG00000004468.13	CD38	protein_coding	1061	505	556	18.5010	5.4731	5.0949
ENSG00000004478.8	FKBP4	protein_coding	1258	773	794	29.1335	8.6185	8.0229
ENSG00000004487.17	KDM1A	protein_coding	2992	1544	1448	65.7622	19.4542	18.1098
ENSG00000004534.15	RBM6	protein_coding	4682	2409	2274	76.6976	22.6892	21.1212
ENSG00000004660.15	CAMKK1	protein_coding	505	261	244	8.1235	2.4031	2.2371
ENSG00000004700.16	RECQL	protein_coding	945	985	891	29.8998	8.8452	8.2339
ENSG00000004766.17	VPS50	protein_coding	653	317	337	8.1680	2.4163	2.2493
ENSG00000004776.13	HSPB6	protein_coding	5	9	7	0.3468	0.1026	0.0955
ENSG00000004777.18	ARHGAP33	protein_coding	2499	1428	1473	56.8060	16.8047	15.6434
ENSG00000004779.10	NDUFAB1	protein_coding	683	350	334	52.7550	15.6063	14.5278
ENSG00000004799.8	PDK4	protein_coding	1477	709	768	38.8647	11.4972	10.7027
ENSG00000004809.14	SLC22A16	protein_coding	58	30	31	1.7750	0.5251	0.4888
ENSG00000004838.14	ZMYND10	protein_coding	155	90	82	6.4150	1.8977	1.7666
ENSG00000004846.16	ABCB5	protein_coding	1	1	0	0.0129	0.0038	0.0036
ENSG00000004848.8	ARX	protein_coding	3	2	1	0.1152	0.0341	0.0317
ENSG00000004864.14	SLC25A13	protein_coding	834	416	418	26.8785	7.9514	7.4019
ENSG00000004866.22	ST7	protein_coding	400	233	235	7.3287	2.1680	2.0182
ENSG00000004897.12	CDC27	protein_coding	1625	860	864	28.4727	8.4230	7.8409
ENSG00000004939.15	SLC4A1	protein_coding	130	68	62	3.0329	0.8972	0.8352
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	432	225	207	22.0458	6.5217	6.0710
ENSG00000004975.12	DVL2	protein_coding	1008	507	504	22.6507	6.7007	6.2376
ENSG00000005001.10	PRSS22	protein_coding	2	3	1	0.1003	0.0297	0.0276
ENSG00000005007.13	UPF1	protein_coding	4938	2488	2452	68.8703	20.3737	18.9657
ENSG00000005020.13	SKAP2	protein_coding	2973	1514	1459	66.3075	19.6155	18.2600
ENSG00000005022.6	SLC25A5	protein_coding	5114	2910	2889	393.2276	116.3272	108.2883
ENSG00000005059.16	MCUB	protein_coding	1127	524	625	37.9051	11.2134	10.4384
ENSG00000005073.6	HOXA11	protein_coding	229	155	155	10.2589	3.0349	2.8251
ENSG00000005075.15	POLR2J	protein_coding	487	251	245	42.9738	12.7128	11.8343
ENSG00000005100.13	DHX33	protein_coding	969	474	495	20.0140	5.9207	5.5115
ENSG00000005102.14	MEOX1	protein_coding	6	4	2	0.2683	0.0794	0.0739
ENSG00000005108.16	THSD7A	protein_coding	419	224	209	4.5874	1.3571	1.2633
ENSG00000005156.12	LIG3	protein_coding	1953	1436	1396	18.1006	5.3546	4.9846
ENSG00000005175.10	RPAP3	protein_coding	801	409	392	17.9016	5.2958	4.9298
ENSG00000005187.12	ACSM3	protein_coding	54	61	77	0.8597	0.2543	0.2368
ENSG00000005189.20	REXO5	protein_coding	217	112	123	6.3114	1.8671	1.7381
ENSG00000005194.15	CIAPIN1	protein_coding	920	455	465	32.5162	9.6192	8.9544
ENSG00000005206.17	SPPL2B	protein_coding	2622	1243	1380	42.2572	12.5008	11.6369
ENSG00000005238.20	FAM214B	protein_coding	1733	843	891	32.5036	9.6154	8.9510
ENSG00000005243.10	COPZ2	protein_coding	21	8	13	1.3456	0.3981	0.3706
ENSG00000005249.13	PRKAR2B	protein_coding	1772	876	896	49.7123	14.7062	13.6899
ENSG00000005302.19	MSL3	protein_coding	3226	1522	1704	39.4402	11.6675	10.8612
ENSG00000005339.15	CREBBP	protein_coding	8355	4069	4290	64.5383	19.0921	17.7728
ENSG00000005379.17	TSPOAP1	protein_coding	1722	905	878	18.0785	5.3481	4.9785
ENSG00000005381.8	MPO	protein_coding	18405	9232	9178	623.9417	184.5786	171.8231
ENSG00000005421.9	PON1	protein_coding	5	2	3	0.2250	0.0666	0.0620
ENSG00000005436.14	GCFC2	protein_coding	271	182	200	5.9324	1.7550	1.6337
ENSG00000005448.17	WDR54	protein_coding	321	171	156	13.4576	3.9811	3.7060
ENSG00000005469.12	CROT	protein_coding	170	79	91	4.0694	1.2038	1.1206
ENSG00000005471.19	ABCB4	protein_coding	18	6	12	0.2785	0.0824	0.0767
ENSG00000005483.21	KMT2E	protein_coding	7410	4031	4120	89.0538	26.3445	24.5239
ENSG00000005486.17	RHBDD2	protein_coding	1673	823	850	83.6973	24.7599	23.0488
ENSG00000005513.10	SOX8	protein_coding	7	2	5	0.1872	0.0554	0.0516
ENSG00000005700.15	IBTK	protein_coding	2512	1316	1196	34.4482	10.1907	9.4865
ENSG00000005801.18	ZNF195	protein_coding	1718	834	884	17.5405	5.1890	4.8304
ENSG00000005810.18	MYCBP2	protein_coding	7251	4490	4637	54.2306	16.0429	14.9342
ENSG00000005812.11	FBXL3	protein_coding	1215	915	849	20.5306	6.0735	5.6538
ENSG00000005844.19	ITGAL	protein_coding	17083	10115	10604	207.0736	61.2579	57.0246
ENSG00000005882.12	PDK2	protein_coding	552	425	495	12.0639	3.5688	3.3222
ENSG00000005884.18	ITGA3	protein_coding	56	34	22	0.6831	0.2021	0.1881
ENSG00000005889.16	ZFX	protein_coding	1317	687	631	17.4251	5.1548	4.7986
ENSG00000005893.16	LAMP2	protein_coding	5683	2889	2794	72.2568	21.3755	19.8983
ENSG00000005961.19	ITGA2B	protein_coding	187	94	96	3.9261	1.1614	1.0812
ENSG00000005981.13	ASB4	protein_coding	1	0	1	0.0260	0.0077	0.0071
ENSG00000006007.12	GDE1	protein_coding	992	617	612	27.0185	7.9928	7.4404
