# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			11513342	11513342	11513342			
N_multimapping			5323799	5323799	5323799			
N_noFeature			25786442	45147054	44800984			
N_ambiguous			3447287	886182	901416			
ENSG00000000003.15	TSPAN6	protein_coding	54	28	26	1.0980	0.3522	0.3344
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	775	415	360	59.2200	18.9955	18.0345
ENSG00000000457.14	SCYL3	protein_coding	1038	735	737	13.9089	4.4614	4.2357
ENSG00000000460.17	C1orf112	protein_coding	548	532	481	8.4660	2.7156	2.5782
ENSG00000000938.13	FGR	protein_coding	5504	2747	2760	150.0993	48.1460	45.7104
ENSG00000000971.16	CFH	protein_coding	975	528	447	11.2687	3.6146	3.4317
ENSG00000001036.14	FUCA2	protein_coding	580	454	419	18.9559	6.0803	5.7727
ENSG00000001084.13	GCLC	protein_coding	1683	991	1015	18.0116	5.7774	5.4851
ENSG00000001167.14	NFYA	protein_coding	3348	1930	1847	81.0253	25.9897	24.6750
ENSG00000001460.18	STPG1	protein_coding	192	142	148	2.0806	0.6674	0.6336
ENSG00000001461.17	NIPAL3	protein_coding	3872	1952	2017	38.0072	12.1912	11.5745
ENSG00000001497.18	LAS1L	protein_coding	4036	2010	2034	29.6489	9.5102	9.0291
ENSG00000001561.7	ENPP4	protein_coding	883	453	430	17.5365	5.6250	5.3405
ENSG00000001617.12	SEMA3F	protein_coding	116	60	59	2.2169	0.7111	0.6751
ENSG00000001626.16	CFTR	protein_coding	7	5	3	0.0649	0.0208	0.0198
ENSG00000001629.10	ANKIB1	protein_coding	1969	978	996	24.5773	7.8834	7.4846
ENSG00000001630.17	CYP51A1	protein_coding	33	17	16	0.8625	0.2766	0.2626
ENSG00000001631.16	KRIT1	protein_coding	434	199	240	6.4520	2.0695	1.9648
ENSG00000002016.18	RAD52	protein_coding	2167	1085	1082	44.3845	14.2368	13.5166
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	7	5	4	0.1024	0.0328	0.0312
ENSG00000002330.14	BAD	protein_coding	174	226	187	9.3958	3.0138	2.8614
ENSG00000002549.12	LAP3	protein_coding	2188	1111	1079	53.3157	17.1016	16.2365
ENSG00000002586.20	CD99	protein_coding	3320	1641	1680	63.0310	20.2179	19.1951
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	532	267	265	6.5994	2.1168	2.0097
ENSG00000002726.21	AOC1	protein_coding	96	55	42	2.3386	0.7501	0.7122
ENSG00000002745.13	WNT16	protein_coding	19	7	12	0.5369	0.1722	0.1635
ENSG00000002746.15	HECW1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002822.15	MAD1L1	protein_coding	162	78	84	2.0666	0.6629	0.6293
ENSG00000002834.18	LASP1	protein_coding	10545	6210	6217	137.7382	44.1810	41.9460
