# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			13753105	13753105	13753105			
N_multimapping			5147326	5147326	5147326			
N_noFeature			22958379	39609900	39347917			
N_ambiguous			2943666	685511	696503			
ENSG00000000003.15	TSPAN6	protein_coding	2	1	1	0.0516	0.0147	0.0136
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	683	355	328	66.2617	18.8504	17.4411
ENSG00000000457.14	SCYL3	protein_coding	703	564	538	11.9599	3.4024	3.1480
ENSG00000000460.17	C1orf112	protein_coding	825	608	624	16.1819	4.6035	4.2593
ENSG00000000938.13	FGR	protein_coding	93	52	41	3.2200	0.9160	0.8476
ENSG00000000971.16	CFH	protein_coding	4041	2018	2023	59.2973	16.8691	15.6079
ENSG00000001036.14	FUCA2	protein_coding	982	804	745	40.7477	11.5921	10.7254
ENSG00000001084.13	GCLC	protein_coding	1394	817	799	18.9411	5.3884	4.9856
ENSG00000001167.14	NFYA	protein_coding	2237	1281	1189	68.7347	19.5539	18.0920
ENSG00000001460.18	STPG1	protein_coding	458	266	259	6.3014	1.7926	1.6586
ENSG00000001461.17	NIPAL3	protein_coding	2361	1261	1166	29.4240	8.3707	7.7448
ENSG00000001497.18	LAS1L	protein_coding	1967	989	980	18.3458	5.2191	4.8289
ENSG00000001561.7	ENPP4	protein_coding	370	182	188	9.3295	2.6541	2.4557
ENSG00000001617.12	SEMA3F	protein_coding	13	7	10	0.3154	0.0897	0.0830
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	1912	953	963	30.3006	8.6200	7.9756
ENSG00000001630.17	CYP51A1	protein_coding	18	14	5	0.5973	0.1699	0.1572
ENSG00000001631.16	KRIT1	protein_coding	368	167	205	6.9458	1.9760	1.8283
ENSG00000002016.18	RAD52	protein_coding	1448	743	705	37.6544	10.7121	9.9112
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	37	18	23	0.6870	0.1954	0.1808
ENSG00000002330.14	BAD	protein_coding	132	181	175	9.0497	2.5745	2.3820
ENSG00000002549.12	LAP3	protein_coding	1215	641	574	37.5889	10.6934	9.8940
ENSG00000002586.20	CD99	protein_coding	15083	7350	7734	363.5627	103.4278	95.6951
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	12	4	8	0.1890	0.0538	0.0497
ENSG00000002726.21	AOC1	protein_coding	243	130	113	7.5158	2.1381	1.9783
ENSG00000002745.13	WNT16	protein_coding	26	10	16	0.9328	0.2654	0.2455
ENSG00000002746.15	HECW1	protein_coding	5	4	2	0.0420	0.0120	0.0111
ENSG00000002822.15	MAD1L1	protein_coding	135	74	61	2.1865	0.6220	0.5755
