# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			17234708	17234708	17234708			
N_multimapping			7827650	7827650	7827650			
N_noFeature			33056311	49951650	49804505			
N_ambiguous			3204537	875321	890954			
ENSG00000000003.15	TSPAN6	protein_coding	42	19	23	0.8029	0.3265	0.3034
ENSG00000000005.6	TNMD	protein_coding	1	1	0	0.0587	0.0239	0.0222
ENSG00000000419.13	DPM1	protein_coding	919	485	434	66.0229	26.8486	24.9453
ENSG00000000457.14	SCYL3	protein_coding	972	782	749	12.2454	4.9797	4.6267
ENSG00000000460.17	C1orf112	protein_coding	864	753	739	12.5495	5.1033	4.7415
ENSG00000000938.13	FGR	protein_coding	2241	1133	1109	57.4585	23.3658	21.7094
ENSG00000000971.16	CFH	protein_coding	1173	571	602	12.7462	5.1833	4.8159
ENSG00000001036.14	FUCA2	protein_coding	1104	885	775	33.9233	13.7951	12.8172
ENSG00000001084.13	GCLC	protein_coding	1874	1110	1013	18.8560	7.6679	7.1243
ENSG00000001167.14	NFYA	protein_coding	2023	1138	1078	46.0302	18.7185	17.3915
ENSG00000001460.18	STPG1	protein_coding	224	161	137	2.2822	0.9281	0.8623
ENSG00000001461.17	NIPAL3	protein_coding	2255	1233	1096	20.8108	8.4628	7.8629
ENSG00000001497.18	LAS1L	protein_coding	2246	1140	1107	15.5124	6.3082	5.8610
ENSG00000001561.7	ENPP4	protein_coding	2316	1143	1173	43.2447	17.5857	16.3390
ENSG00000001617.12	SEMA3F	protein_coding	104	64	40	1.8687	0.7599	0.7060
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2102	1072	1035	24.6680	10.0314	9.3202
ENSG00000001630.17	CYP51A1	protein_coding	13	5	8	0.3194	0.1299	0.1207
ENSG00000001631.16	KRIT1	protein_coding	623	306	322	8.7077	3.5410	3.2900
ENSG00000002016.18	RAD52	protein_coding	1565	782	783	30.1369	12.2553	11.3865
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	50	32	22	0.6874	0.2796	0.2597
ENSG00000002330.14	BAD	protein_coding	166	192	212	8.4276	3.4272	3.1842
ENSG00000002549.12	LAP3	protein_coding	1642	835	809	37.6178	15.2975	14.2130
ENSG00000002586.20	CD99	protein_coding	6563	3334	3230	117.1469	47.6385	44.2613
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	3	1	2	0.0350	0.0142	0.0132
ENSG00000002726.21	AOC1	protein_coding	24	12	12	0.5497	0.2235	0.2077
ENSG00000002745.13	WNT16	protein_coding	40	24	16	1.0627	0.4321	0.4015
ENSG00000002746.15	HECW1	protein_coding	7	3	7	0.0436	0.0177	0.0165
ENSG00000002822.15	MAD1L1	protein_coding	214	127	87	2.5666	1.0437	0.9697
ENSG00000002834.18	LASP1	protein_coding	4721	2788	2830	57.9767	23.5766	21.9052
ENSG00000002919.15	SNX11	protein_coding	726	387	339	15.2320	6.1942	5.7551
ENSG00000002933.9	TMEM176A	protein_coding	26	12	15	0.6484	0.2637	0.2450
ENSG00000003056.8	M6PR	protein_coding	2317	1562	1612	56.0432	22.7903	21.1747
ENSG00000003096.14	KLHL13	protein_coding	114	69	45	1.4156	0.5757	0.5349
ENSG00000003137.8	CYP26B1	protein_coding	1	1	0	0.0173	0.0070	0.0065
ENSG00000003147.19	ICA1	protein_coding	71	42	36	1.2608	0.5127	0.4764
ENSG00000003249.15	DBNDD1	protein_coding	10	6	5	0.1943	0.0790	0.0734
ENSG00000003393.15	ALS2	protein_coding	3406	1735	1671	28.2952	11.5064	10.6907
ENSG00000003400.15	CASP10	protein_coding	3389	1714	1676	38.7642	15.7637	14.6462
ENSG00000003402.20	CFLAR	protein_coding	9209	5226	5182	35.5240	14.4460	13.4219
ENSG00000003436.16	TFPI	protein_coding	2158	1195	1144	15.9747	6.4962	6.0357
ENSG00000003509.16	NDUFAF7	protein_coding	723	410	384	17.1717	6.9830	6.4879
ENSG00000003756.17	RBM5	protein_coding	9483	6018	5792	79.3959	32.2868	29.9979
ENSG00000003987.14	MTMR7	protein_coding	615	546	591	7.6976	3.1303	2.9084
ENSG00000003989.18	SLC7A2	protein_coding	25	11	14	0.2742	0.1115	0.1036
ENSG00000004059.11	ARF5	protein_coding	777	455	427	36.9185	15.0131	13.9488
ENSG00000004139.14	SARM1	protein_coding	498	874	909	3.8886	1.5813	1.4692
ENSG00000004142.12	POLDIP2	protein_coding	1898	966	1081	61.6412	25.0667	23.2897
ENSG00000004399.13	PLXND1	protein_coding	8063	3941	4126	73.1579	29.7501	27.6411
ENSG00000004455.17	AK2	protein_coding	9672	4853	4865	87.1368	35.4347	32.9227
ENSG00000004468.13	CD38	protein_coding	21764	10712	11052	275.2267	111.9225	103.9882
ENSG00000004478.8	FKBP4	protein_coding	3021	1922	1798	50.7382	20.6330	19.1703
ENSG00000004487.17	KDM1A	protein_coding	3615	1856	1760	57.6229	23.4327	21.7715
ENSG00000004534.15	RBM6	protein_coding	5866	3079	2787	69.6891	28.3395	26.3305
ENSG00000004660.15	CAMKK1	protein_coding	749	386	364	8.7378	3.5533	3.3014
