# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			12044590	12044590	12044590			
N_multimapping			6050141	6050141	6050141			
N_noFeature			19505777	35740444	35600134			
N_ambiguous			2987304	743044	748871			
ENSG00000000003.15	TSPAN6	protein_coding	6	2	4	0.1539	0.0456	0.0423
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	632	360	272	60.9171	18.0569	16.7376
ENSG00000000457.14	SCYL3	protein_coding	850	661	684	14.3671	4.2587	3.9475
ENSG00000000460.17	C1orf112	protein_coding	934	713	739	18.2013	5.3952	5.0010
ENSG00000000938.13	FGR	protein_coding	2516	1202	1314	86.5499	25.6550	23.7804
ENSG00000000971.16	CFH	protein_coding	88	46	42	1.2829	0.3803	0.3525
ENSG00000001036.14	FUCA2	protein_coding	787	604	639	32.4449	9.6173	8.9146
ENSG00000001084.13	GCLC	protein_coding	1647	1022	895	22.2339	6.5905	6.1090
ENSG00000001167.14	NFYA	protein_coding	2445	1374	1367	74.6396	22.1245	20.5079
ENSG00000001460.18	STPG1	protein_coding	200	142	139	2.7339	0.8104	0.7512
ENSG00000001461.17	NIPAL3	protein_coding	2626	1384	1323	32.5148	9.6380	8.9338
ENSG00000001497.18	LAS1L	protein_coding	2307	1158	1152	21.3777	6.3367	5.8737
ENSG00000001561.7	ENPP4	protein_coding	564	289	275	14.1292	4.1881	3.8821
ENSG00000001617.12	SEMA3F	protein_coding	14	5	9	0.3375	0.1000	0.0927
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000001629.10	ANKIB1	protein_coding	2380	1187	1201	37.4732	11.1077	10.2961
ENSG00000001630.17	CYP51A1	protein_coding	50	25	27	1.6483	0.4886	0.4529
ENSG00000001631.16	KRIT1	protein_coding	441	234	216	8.2698	2.4513	2.2722
ENSG00000002016.18	RAD52	protein_coding	1767	887	883	45.6524	13.5322	12.5434
