"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Apoptosis",1,1,1,0.358199466368672,0.929106823106993,1,0.0436594459153487,1,0.498876604070962,0.929469498654131,0.699075600671349,0.9090971493194,1,1,1
"Hemostasis",1,1,1,0.762186098961506,0.979524443425897,1,0.915595642362072,1,0.00172922459968772,0.929469498654131,1,0.668060563314031,1,1,1
"PI3K Cascade",0.921251407091753,1,1,1,0.852791930724751,1,0.919089588687991,0.632265766837572,1,1,0.80824047284598,1,0.726591343041619,1,1
"Apoptotic cleavage of cellular proteins",1,1,0.752959696374978,0.464218246905225,0.919053102052282,1,0.0981451221592435,1,1,0.970561652366961,0.869225116577172,1,0.96760519764708,1,1
"Opioid Signalling",0.973385125703499,1,0.638566224691739,1,0.141290915194713,0.528636019956353,1,0.623418153323383,1,0.509284016698543,1,1,0.897698798953138,1,1
"G-protein mediated events",0.921251407091753,0.838616187500603,0.765841648644933,1,0.00489691075342344,0.0927724905382552,1,0.966813171481019,0.690805874243145,0.343370803116762,1,0.942964541216242,0.765391567880823,1,1
"PLC beta mediated events",0.921251407091753,0.838616187500603,0.765841648644933,1,0.00489691075342344,0.0927724905382552,1,0.966813171481019,0.690805874243145,0.343370803116762,1,0.942964541216242,0.765391567880823,1,1
"Neurotransmitter Release Cycle",1,0.833324504284319,1,1,1,0.948401879880456,0.877877699409339,1,0.712249131272169,0.985205423606217,1,0.927751432806354,1,0.44078017728597,0.636292343348971
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell",0.973385125703499,1,0.830041469265514,0.917931111276945,0.838226471305104,0.743850095325499,1,0.645886938241375,1,0.220246466998626,1,0.981272239070455,0.899062203938796,1,1
"Transmission across Chemical Synapses",0.973385125703499,0.838616187500603,0.875398546420905,1,0.768099150307028,0.834548185187571,1,0.893239179502612,1,0.509284016698543,1,0.921163461149592,0.994088277809021,0.956645453154011,0.807399016894532
"Neuronal System",0.973385125703499,0.838616187500603,0.752959696374978,1,0.733032839940415,0.884698710906838,1,0.515065107074317,1,0.726160774246008,1,1,0.928224049539804,0.987401080721962,0.799776896170416
"IRS-mediated signalling",0.9357637228035,0.876535352100912,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.699075600671349,1,0.764292392698973,0.966631533783508,1
"RAF-independent MAPK1/3 activation",0.995948269535741,0.838616187500603,0.887275806781224,1,1,1,1.56061634127484e-06,0.871820977525699,1,1,0.699075600671349,0.433563869050323,0.935464648288307,0.92258318159625,1
"SOS-mediated signalling",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.767455918976054,1,0.848670067684616,0.937899282618852,1
"GPVI-mediated activation cascade",1,0.491239618238215,0.752959696374978,1,1,1,0.963527372318109,1,0.526887127971355,0.929469498654131,0.781216593375754,1,1,0.947588681065154,1
