"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Apoptosis",0.280126004915591,0.482304539269732,1,0.10889090271377,0.17821205242925,0.715912522604352,1,0.893791978516752,0.285910637594401,1,0.78162916325881,1,0.954493579752265,1,0.380826093138224
"Hemostasis",0.950412296712533,0.313493829146156,0.909741487500433,6.15832361641434e-06,0.942294011771378,0.603359691081916,0.964447089517148,0.980125550005823,0.824494520184627,0.868510033018608,0.844043273483812,1,1,1,1
"PI3K Cascade",1,1,1,1,1,1,0.902961097585112,0.365134435533927,0.824494520184627,0.792099193235908,0.844043273483812,0.138702432773949,1,0.908920563501567,1
"Apoptotic cleavage of cellular proteins",0.940932010344607,0.49087227266106,1,0.959810325870837,1,0.438824466889272,1,0.830175646658744,0.824494520184627,0.91668422086124,0.437957100893629,1,1,1,0.152436980891953
"Opioid Signalling",0.892848697518085,1,1,0.153683514923211,1,0.32058723658566,1,0.905259637069578,0.824494520184627,1,1,0.978123134767949,1,1,1
"G-protein mediated events",0.997830753731865,1,1,0.136551622533724,1,0.555784227122832,1,0.893791978516752,1,1,0.78457408861181,1,1,1,1
"PLC beta mediated events",0.997830753731865,1,1,0.136551622533724,1,0.555784227122832,1,0.893791978516752,1,1,0.78457408861181,1,1,1,1
"Neurotransmitter Release Cycle",1,0.569579852208792,0.963193503222277,1,0.932832910042298,1,1,1,1,1,1,1,1,0.839956048151439,1
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell",0.997830753731865,1,0.882738466194612,1,0.451168515488244,0.725172585092545,1,0.911416956619709,0.96366764728359,1,1,1,1,1,1
"Transmission across Chemical Synapses",1,1,0.909741487500433,1,0.465701997870592,0.930625125158283,1,1,1,1,1,1,1,1,1
"Neuronal System",0.940932010344607,1,0.909741487500433,1,0.96296012874245,0.555784227122832,1,1,1,1,1,0.907876771995574,1,1,1
"IRS-mediated signalling",1,1,0.773214861140704,0.376965122581572,0.899670733693382,0.661038956919227,1,0.893791978516752,1,1,1,0.695906440689927,1,1,1
"RAF-independent MAPK1/3 activation",1,0.692175183413244,0.983322603575612,1,0.261943576565592,0.622788496906004,1,1,1,1,0.968770049745446,1,0.985666389978113,0.998595229168485,0.516522091778719
"SOS-mediated signalling",0.997830753731865,1,0.743432963039314,0.39898864390683,0.847727839151324,0.603359691081916,1,0.893791978516752,1,1,1,0.878393140067727,1,1,1
"GPVI-mediated activation cascade",0.940932010344607,0.99298208862727,0.964408892706557,0.45117377305113,1,1,1,1,1,1,1,0.685667693450126,1,1,0.843411922195324
"Platelet degranulation ",1,0.475722868681463,1,0.000941131351356215,1,0.725172585092545,1,1,1,1,0.844043273483812,0.878393140067727,0.954493579752265,1,1
"Downstream signaling events of B Cell Receptor (BCR)",0.765433927228872,0.91881812962914,1,0.189906977097001,0.932249357276235,0.622788496906004,1,0.893791978516752,0.824494520184627,0.856818396571706,0.844043273483812,0.306415363856817,1,1,0.997993985032256
"ISG15 antiviral mechanism",1,0.524864267125331,1,1,0.74029836849407,1,1,0.893791978516752,1,1,0.844043273483812,1,1,0.595672102871355,0.00492260784985131
"Antiviral mechanism by IFN-stimulated genes",1,0.524864267125331,1,1,0.74029836849407,1,1,0.893791978516752,1,1,0.844043273483812,1,1,0.595672102871355,0.00492260784985131
"Meiotic synapsis",1,0.203297258860732,0.922872861785826,1,1.83205924337139e-15,1,1,0.893791978516752,0.828769388003795,1,1,1,0.954493579752265,1,1
"Signaling by FGFR in disease",0.980185103568674,1,0.909741487500433,1,1,1,1,0.397674219209996,0.824494520184627,0.741609784111952,0.69311952964078,0.517938938378522,1,0.998595229168485,1
"Signaling by ERBB2",1,0.719900777364617,0.972007342884268,0.064165624701868,0.905621884857447,1,1,0.893791978516752,0.336934532470809,1,0.906425421908412,0.865237514521472,0.94568246267377,1,1
"Antigen processing-Cross presentation",0.940932010344607,0.737461336930806,1,0.0258948951233053,0.879557942116272,0.487711548793652,1,0.397674219209996,0.962387022491523,1,1,1,1,1,0.968567358537829
"Erythrocytes take up carbon dioxide and release oxygen",0.975241489048828,1,0.922872861785826,1.54843565567094e-05,2.60950033351782e-08,1,3.81675230297773e-08,1,1,1,0.526316140728027,1,1,0.991230810375526,1
"PIP3 activates AKT signaling",0.940932010344607,0.928709542279788,1,0.123395020752065,0.96296012874245,0.902163379484436,1,0.893791978516752,0.796871949106463,0.792099193235908,0.602152289055244,0.144854305324663,1,1,0.916538774917934
"Developmental Biology",0.940932010344607,1,0.909741487500433,0.286786933993134,0.0123382413436463,0.603359691081916,1,0.942052310398637,0.824494520184627,1,0.717217671721323,0.695906440689927,1,1,1
"Cytokine Signaling in Immune system",0.940932010344607,0.678023922352008,0.909741487500433,2.00134090895928e-10,1.85472753903278e-17,0.910301657275739,1,0.893791978516752,0.824494520184627,1,1,1,0.954493579752265,0.908920563501567,1.33614167331375e-07
"Adaptive Immune System",0.337730113947075,0.789400409690797,1,5.07384019566528e-15,1,0.205759716265113,1,0.824712756849455,3.75943854314213e-09,0.963502618612755,1,1,0.954493579752265,0.991230810375526,0.00307229036267802
"Inwardly rectifying K+ channels",0.772828264999374,1,1,1,0.687508790612959,0.555784227122832,1,0.893791978516752,1,0.862425575566954,1,0.596421486506522,0.908149678790934,1,0.968567358537829
"Potassium Channels",0.940932010344607,1,0.961218840334921,1,1,0.555784227122832,0.893585564329975,1,1,1,1,0.351462225847502,0.954745368451432,1,1
"Voltage gated Potassium channels",0.997830753731865,1,0.914486302966417,1,1,0.661038956919227,0.449459469067437,1,1,1,0.90559357258684,0.351653932532286,1,1,1
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.940932010344607,1,1,1,0.158145656224025,1,1,0.893791978516752,0.824494520184627,0.684006057386982,1,0.695906440689927,1,1,0.362754363537793
"Intrinsic Pathway of Fibrin Clot Formation",1,0.507044257125415,1,1,1,0.893429885315271,0.702007891656478,0.397674219209996,1,1,0.868318363521567,1,1,1,1
"Common Pathway of Fibrin Clot Formation",1,0.719900777364617,1,0.10889090271377,1,0.555784227122832,1,1,0.824494520184627,1,0.892109157929167,1,1,0.998595229168485,1
"Formation of Fibrin Clot (Clotting Cascade)",1,0.482304539269732,1,0.115269543255115,1,0.668383205310386,1,0.893791978516752,0.828769388003795,1,1,1,1,1,1
"Metabolism",1,1,0.882738466194612,0.719431477879077,1,1,0.449459469067437,0.893791978516752,1,1,0.119404665885352,1,0.97070563703497,1,0.101092497887113
"Signaling by SCF-KIT",0.940932010344607,1,0.839839538536474,0.0649783676444115,0.548114113282868,0.603359691081916,1,0.893791978516752,0.824494520184627,1,0.844505669367197,0.609534033819601,1,0.929862712132447,0.992614404440843
"Regulation of KIT signaling",0.940932010344607,0.305799393641962,1,0.402686918657092,1,1,1,0.893791978516752,0.824494520184627,1,0.59829442087065,0.733241666906747,0.869496200813118,0.595672102871355,1
"Collagen degradation",0.940932010344607,1,1,0.576693605381649,0.96296012874245,1,1,1,0.828769388003795,0.868510033018608,1,0.472739300035385,1,0.687027207535637,1
"Translocation of GLUT4 to the plasma membrane",1,0.702432304614647,1,1,1,1,1,1,1,0.942035344306735,0.485272259999085,1,0.883090848639165,1,0.776360772056255
"Degradation of the extracellular matrix",0.975241489048828,0.718606807057944,1,0.564470311251344,1,0.955943848701626,1,0.942052310398637,0.848385792904824,1,1,0.310419811771191,1,1,0.968567358537829
"Extracellular matrix organization",1,1,0.963193503222277,0.268476252614952,1,0.927603649141594,1,0.365134435533927,0.989137652962009,0.792099193235908,0.602152289055244,0.138702432773949,1,1,1
"Collagen formation",0.950412296712533,0.374370151729629,1,0.402686918657092,1,1,1,1,0.824494520184627,0.909781772857663,0.844043273483812,0.406564931186379,1,0.364843544881217,1
"O2/CO2 exchange in erythrocytes",0.975241489048828,1,0.922872861785826,1.54843565567094e-05,2.60950033351782e-08,1,3.81675230297773e-08,1,1,1,0.526316140728027,1,1,0.991230810375526,1
"Acyl chain remodelling of PE",1,1,1,0.920108507273078,1,1,1,0.942052310398637,1,1,0.844043273483812,1,0.954493579752265,1,0.448582165921452
