"feature","factor","value","view"
"gain2p25.3","Factor1",-0.000374463825871388,"Mutations"
"gain3q26","Factor1",-1.590738317481e-05,"Mutations"
"del6p21.2","Factor1",-0.000182091179019797,"Mutations"
"del6q21","Factor1",-0.000336959093003415,"Mutations"
"del8p12","Factor1",-0.000411134172589253,"Mutations"
"gain8q24","Factor1",-0.000386721899853205,"Mutations"
"del9p21.3","Factor1",-0.000358272181864528,"Mutations"
"del11q22.3","Factor1",-0.544999910149078,"Mutations"
"trisomy12","Factor1",-0.00119262822683465,"Mutations"
"del13q14_any","Factor1",0.00107374672683769,"Mutations"
"del14q24.3","Factor1",2.85808469491643e-05,"Mutations"
"del15q15.1","Factor1",-5.78674667269733e-05,"Mutations"
"del17p13","Factor1",-0.0034114446720833,"Mutations"
"del18p11.3","Factor1",-0.000291348616520374,"Mutations"
"trisomy19","Factor1",-6.22488456700015e-05,"Mutations"
"Chromothripsis","Factor1",-0.000105610496934539,"Mutations"
"BRAF","Factor1",-0.00160857705242051,"Mutations"
"KRAS","Factor1",7.23535938952717e-06,"Mutations"
"MYD88","Factor1",9.68361411483019e-05,"Mutations"
"NOTCH1","Factor1",-0.00122698771589439,"Mutations"
"NRAS","Factor1",-0.000215340023014178,"Mutations"
"SF3B1","Factor1",-0.000499447546734613,"Mutations"
"TP53","Factor1",-0.0744455606761279,"Mutations"
"gain14q32","Factor1",-0.000248895328324186,"Mutations"
"ABI3BP","Factor1",1.32176251762667e-05,"Mutations"
"ACTN2","Factor1",0.000526596946793303,"Mutations"
"ANK2","Factor1",1.12978606661071e-05,"Mutations"
"ATM","Factor1",-0.0021517340925691,"Mutations"
"BIRC3","Factor1",-0.000287341664423872,"Mutations"
"CADPS2","Factor1",0.000312255803095817,"Mutations"
"COL6A5","Factor1",0.000142521631799125,"Mutations"
"CPS1","Factor1",0.00029980073741035,"Mutations"
"CREBBP","Factor1",-1.59130021324419e-05,"Mutations"
"DCC","Factor1",5.50183298543058e-05,"Mutations"
"DNAH17","Factor1",8.65231376048109e-05,"Mutations"
"DOCK11","Factor1",0.000287788152582804,"Mutations"
"DSCAM","Factor1",-0.000292841184827215,"Mutations"
"EGR2","Factor1",5.86094028142235e-05,"Mutations"
"FAM47A","Factor1",-0.000151168985096106,"Mutations"
"FAT4","Factor1",-8.43813191458176e-05,"Mutations"
"FBXW7","Factor1",2.49409287348978e-05,"Mutations"
"FLRT2","Factor1",-0.000131235612315956,"Mutations"
"FOXC1","Factor1",0.000353529316134207,"Mutations"
"HMCN1","Factor1",-0.000129967236221621,"Mutations"
"IRF2BP2","Factor1",-0.000453681758604274,"Mutations"
"KANK4","Factor1",0.000341380178339575,"Mutations"
"KDM6B","Factor1",0.000323751693183935,"Mutations"
"KLHL6","Factor1",0.00104427599881225,"Mutations"
"LAMA1","Factor1",-0.000575263645876363,"Mutations"
"LRP1","Factor1",-3.03301617462184e-05,"Mutations"
"MED12","Factor1",-0.00183388549639716,"Mutations"
"MGA","Factor1",-0.000560077341696357,"Mutations"
"MUC16","Factor1",4.83149714364768e-05,"Mutations"
"NFKBIE","Factor1",-0.000490371697357959,"Mutations"
"PCLO","Factor1",-0.000336614957312438,"Mutations"
"POT1","Factor1",-0.000105140425861753,"Mutations"
"PRKD1","Factor1",1.88998661188837e-05,"Mutations"
"PRPF8","Factor1",0.000160579227500455,"Mutations"
"PRSS50","Factor1",3.53841693497623e-05,"Mutations"
"RASGRF2","Factor1",0.000139473095363963,"Mutations"
"RP11.766F14.2","Factor1",-6.80042073232247e-05,"Mutations"
"RYR2","Factor1",-0.000165050597411308,"Mutations"
"SEMA4D","Factor1",-0.000475772932109862,"Mutations"
"TRDN","Factor1",0.000241526638738415,"Mutations"
"UMODL1","Factor1",-0.000318285487487816,"Mutations"
"VWF","Factor1",-0.000233935034296082,"Mutations"
"XPO1","Factor1",-0.000637037344152437,"Mutations"
"ZC3H18","Factor1",-0.000321903613443815,"Mutations"
"IGHV","Factor1",2.97426070102861,"Mutations"
