Term	Count	Type
GO:0006955~immune response	20	BP
GO:0042742~defense response to bacterium	11	BP
GO:0060326~cell chemotaxis	8	BP
GO:0007155~cell adhesion	17	BP
GO:0006956~complement activation	8	BP
GO:0019221~cytokine-mediated signaling pathway	8	MF
GO:0006911~phagocytosis, engulfment	5	MF
GO:0046426~negative regulation of JAK-STAT cascade	5	MF
GO:0019373~epoxygenase P450 pathway	4	MF
GO:0070098~chemokine-mediated signaling pathway	6	MF
GO:2000107~negative regulation of leukocyte apoptotic process	3	MF
GO:0050853~B cell receptor signaling pathway	5	MF
GO:0071356~cellular response to tumor necrosis factor	6	CC
GO:0050921~positive regulation of chemotaxis	3	CC
GO:0045766~positive regulation of angiogenesis	6	CC
GO:0030199~collagen fibril organization	4	CC
GO:0034112~positive regulation of homotypic cell-cell adhesion	20	KEGG
GO:0060491~regulation of cell projection assembly	14	KEGG
GO:0060523~prostate epithelial cord elongation	10	KEGG
GO:0030573~bile acid catabolic process	8	KEGG
GO:0035690~cellular response to drug	7	KEGG
GO:0030203~glycosaminoglycan metabolic process	4	KEGG
