group	value
G1	5.1
G1	4.9
G1	4.7
G1	4.6
G1	5
G1	5.4
G1	4.6
G1	5
G1	4.4
G1	4.9
G1	5.4
G1	4.8
G1	4.8
G1	4.3
G1	5.8
G1	5.7
G1	5.4
G1	5.1
G1	5.7
G1	5.1
G1	5.4
G1	5.1
G1	4.6
G1	5.1
G1	4.8
G1	5
G1	5
G1	5.2
G1	5.2
G1	4.7
G1	4.8
G1	5.4
G1	5.2
G1	5.5
G1	4.9
G1	5
G1	5.5
G1	4.9
G1	4.4
G1	5.1
G1	5
G1	4.5
G1	4.4
G1	5
G1	5.1
G1	4.8
G1	5.1
G1	4.6
G1	5.3
G1	5
G2	7
G2	6.4
G2	6.9
G2	5.5
G2	6.5
G2	5.7
G2	6.3
G2	4.9
G2	6.6
G2	5.2
G2	5
G2	5.9
G2	6
G2	6.1
G2	5.6
G2	6.7
G2	5.6
G2	5.8
G2	6.2
G2	5.6
G2	5.9
G2	6.1
G2	6.3
G2	6.1
G2	6.4
G2	6.6
G2	6.8
G2	6.7
G2	6
G2	5.7
G2	5.5
G2	5.5
G2	5.8
G2	6
G2	5.4
G2	6
G2	6.7
G2	6.3
G2	5.6
G2	5.5
G2	5.5
G2	6.1
G2	5.8
G2	5
G2	5.6
G2	5.7
G2	5.7
G2	6.2
G2	5.1
G2	5.7
G3	6.3
G3	5.8
G3	7.1
G3	6.3
G3	6.5
G3	7.6
G3	4.9
G3	7.3
G3	6.7
G3	7.2
G3	6.5
G3	6.4
G3	6.8
G3	5.7
G3	5.8
G3	6.4
G3	6.5
G3	7.7
G3	7.7
G3	6
G3	6.9
G3	5.6
G3	7.7
G3	6.3
G3	6.7
G3	7.2
G3	6.2
G3	6.1
G3	6.4
G3	7.2
G3	7.4
G3	7.9
G3	6.4
G3	6.3
G3	6.1
G3	7.7
G3	6.3
G3	6.4
G3	6
G3	6.9
G3	6.7
G3	6.9
G3	5.8
G3	6.8
G3	6.7
G3	6.7
G3	6.3
G3	6.5
G3	6.2
G3	5.9
