Term	Count	Ratio	PValue
GO:0006955~immune response	20	10.47120419	9.61E-08
GO:0042742~defense response to bacterium	11	5.759162304	3.02E-06
GO:0060326~cell chemotaxis	8	4.188481675	5.14E-06
GO:0007155~cell adhesion	17	8.90052356	2.73E-05
GO:0006956~complement activation	8	4.188481675	3.56E-05
GO:0030198~extracellular matrix organization	11	5.759162304	4.23E-05
"GO:0006958~complement activation, classical pathway"	8	4.188481675	8.16E-05
GO:0030324~lung development	7	3.664921466	1.45E-04
GO:0050871~positive regulation of B cell activation	5	2.617801047	1.46E-04
GO:0055114~oxidation-reduction process	18	9.42408377	1.67E-04
GO:0006954~inflammatory response	14	7.329842932	1.85E-04
"GO:0006910~phagocytosis, recognition"	5	2.617801047	1.96E-04
GO:0042738~exogenous drug catabolic process	4	2.094240838	2.32E-04
"GO:0006957~complement activation, alternative pathway"	4	2.094240838	3.00E-04
GO:0010560~positive regulation of glycoprotein biosynthetic process	3	1.570680628	3.25E-04
GO:0019221~cytokine-mediated signaling pathway	8	4.188481675	4.62E-04
"GO:0006911~phagocytosis, engulfment"	5	2.617801047	4.74E-04
GO:0046426~negative regulation of JAK-STAT cascade	5	2.617801047	7.94E-04
GO:0019373~epoxygenase P450 pathway	4	2.094240838	8.23E-04
GO:0070098~chemokine-mediated signaling pathway	6	3.141361257	8.90E-04
GO:2000107~negative regulation of leukocyte apoptotic process	3	1.570680628	0.001593802
GO:0050853~B cell receptor signaling pathway	5	2.617801047	0.002452192
GO:0040014~regulation of multicellular organism growth	4	2.094240838	0.002464663
GO:0017144~drug metabolic process	4	2.094240838	0.002751555
GO:0030449~regulation of complement activation	4	2.094240838	0.003732442
GO:0060670~branching involved in labyrinthine layer morphogenesis	3	1.570680628	0.003746713
GO:0002544~chronic inflammatory response	3	1.570680628	0.003746713
GO:2000406~positive regulation of T cell migration	3	1.570680628	0.004651222
GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling	5	2.617801047	0.004802875
GO:0045087~innate immune response	12	6.282722513	0.005741514
GO:0071356~cellular response to tumor necrosis factor	6	3.141361257	0.006035394
GO:0050921~positive regulation of chemotaxis	3	1.570680628	0.006728517
GO:0045766~positive regulation of angiogenesis	6	3.141361257	0.007259757
GO:0030199~collagen fibril organization	4	2.094240838	0.007843337
GO:2000147~positive regulation of cell motility	3	1.570680628	0.009150562
GO:0008202~steroid metabolic process	4	2.094240838	0.010273626
GO:0030214~hyaluronan catabolic process	3	1.570680628	0.010486124
GO:0007405~neuroblast proliferation	3	1.570680628	0.011902241
GO:0050830~defense response to Gram-positive bacterium	5	2.617801047	0.012229194
GO:0002407~dendritic cell chemotaxis	3	1.570680628	0.0133971
GO:0006898~receptor-mediated endocytosis	7	3.664921466	0.013738177
GO:0006508~proteolysis	12	6.282722513	0.016467098
GO:0045926~negative regulation of growth	3	1.570680628	0.01661592
GO:0048146~positive regulation of fibroblast proliferation	4	2.094240838	0.018995878
GO:0006469~negative regulation of protein kinase activity	5	2.617801047	0.02032845
GO:0060045~positive regulation of cardiac muscle cell proliferation	3	1.570680628	0.021990955
GO:0002576~platelet degranulation	5	2.617801047	0.023126906
GO:0009612~response to mechanical stimulus	4	2.094240838	0.023974023
GO:0050679~positive regulation of epithelial cell proliferation	4	2.094240838	0.025046243
GO:0048661~positive regulation of smooth muscle cell proliferation	4	2.094240838	0.025046243
GO:0007166~cell surface receptor signaling pathway	8	4.188481675	0.025622604
GO:0001523~retinoid metabolic process	4	2.094240838	0.026143967
GO:0002040~sprouting angiogenesis	3	1.570680628	0.0279821
