word	freq
oil	85
said	73
prices	48
opec	42
mln	31
the	26
last	24
bpd	23
dlrs	23
crude	21
market	20
reuter	20
saudi	18
will	18
one	17
barrel	15
kuwait	14
new	14
official	14
pct	14
price	13
barrels	11
government	11
production	11
sheikh	11
industry	10
meeting	10
minister	10
world	10
also	9
billion	9
futures	9
month	9
output	9
petroleum	9
quota	9
sources	9
accord	8
analysts	8
but	8
group	8
gulf	8
january	8
markets	8
report	8
today	8
december	7
demand	7
economic	7
economy	7
energy	7
help	7
international	7
may	7
nazer	7
nymex	7
posted	7
present	7
they	7
traders	7
158	6
ability	6
agreement	6
ali	6
april	6
arabia	6
budget	6
emergency	6
exchange	6
hold	6
imports	6
members	6
recent	6
riyals	6
says	6
sell	6
years	6
abdulaziz	5
agency	5
arab	5
ceiling	5
company	5
contract	5
daily	5
emirates	5
expected	5
expenditure	5
exports	5
growth	5
now	5
opecs	5
plans	5
qatar	5
quoted	5
research	5
reserve	5
reserves	5
states	5
study	5
united	5
way	5
week	5
west	5
year	5
150	4
according	4
added	4
among	4
asked	4
brings	4
buyers	4
can	4
change	4
corp	4
cut	4
day	4
development	4
effective	4
exploration	4
fall	4
february	4
fell	4
free	4
higher	4
increase	4
levels	4
meet	4
must	4
never	4
per	4
policy	4
power	4
problem	4
producing	4
protect	4
pumping	4
reduced	4
revenue	4
revenues	4
rise	4
saying	4
set	4
since	4
spa	4
strategic	4
texas	4
this	4
total	4
transaction	4
weak	4
yesterday	4
13nation	3
1985	3
198586	3
1986	3
1987	3
198788	3
address	3
agreed	3
alkhalifa	3
alqabas	3
alsabah	3
announced	3
appears	3
arabian	3
arabias	3
around	3
average	3
back	3
bank	3
bbl	3
boost	3
called	3
commitment	3
companies	3
compared	3
countrys	3
current	3
decrease	3
denied	3
dollars	3
domestic	3
due	3
efp	3
estimate	3
estimates	3
export	3
fixed	3
foreign	3
four	3
future	3
grade	3
guard	3
high	3
hisham	3
however	3
inc	3
indonesia	3
indonesias	3
intermediate	3
kingdoms	3
kuwaits	3
local	3
low	3
lower	3
lowered	3
made	3
main	3
march	3
mckiernan	3
measures	3
mizrahi	3
moves	3
much	3
named	3
next	3
officials	3
plant	3
position	3
president	3
pressure	3
producer	3
projected	3
published	3
real	3
refinery	3
reiterated	3
remain	3
rule	3
say	3
sector	3
several	3
sharp	3
ship	3
six	3
slightly	3
smaller	3
spokeswoman	3
state	3
sweet	3
texaco	3
three	3
trading	3
two	3
weeks	3
york	3
1518	2
198687	2
20s	2
285000	2
500	2
725	2
750	2
948000	2
activity	2
adhering	2
agriculture	2
along	2
apparently	2
appeared	2
approved	2
architect	2
areas	2
aspen	2
bankers	2
based	2
benchmark	2
benefits	2
canada	2
canadian	2
cash	2
changed	2
changes	2
circumstance	2
clearly	2
closed	2
coast	2
come	2
committee	2
commodity	2
consumption	2
countries	2
country	2
crossroads	2
crucial	2
cubic	2
currently	2
customers	2
deal	2
decembers	2
decline	2
deficit	2
deposits	2
deputy	2
diamond	2
differentials	2
difficulties	2
direction	2
discounted	2
dlr	2
early	2
ecuador	2
effect	2
embargo	2
embassy	2
entering	2
even	2
falling	2
feb	2
first	2
fiscal	2
fiscales	2
forced	2
fully	2
gcc	2
general	2
given	2
grades	2
halt	2
hit	2
hope	2
humanistic	2
impact	2
import	2
increased	2
increasing	2
instead	2
institute	2
interview	2
investment	2
jersey	2
june	2
keep	2
late	2
light	2
limit	2
limits	2
line	2
lost	2
louisiana	2
lowest	2
major	2
marketing	2
member	2
mid	2
million	2
ministers	2
mitigate	2
months	2
nearing	2
net	2
neutral	2
none	2
nuclear	2
organisation	2
organization	2
outlook	2
overseas	2
pact	2
pay	2
petroliferos	2
planned	2
port	2
positive	2
postings	2
predicted	2
press	2
pricing	2
private	2
probably	2
problems	2
pronounced	2
protected	2
public	2
put	2
quotes	2
raise	2
rate	2
reduction	2
referring	2
remarks	2
reports	2
return	2
review	2
risks	2
riyal	2
selfimposed	2
selling	2
share	2
shortfall	2
spot	2
steady	2
stick	2
strongly	2
studies	2
support	2
take	2
taken	2
techniques	2
throughput	2
trade	2
trust	2
trying	2
uncertainty	2
union	2
value	2
wam	2
wanted	2
weakness	2
winter	2
yacimientos	2
yanbu	2
zero	2
zone	2
100000	1
108	1
111	1
115	1
12217	1
1232	1
1381	1
13member	1
156	1
1600	1
1635	1
1650	1
1667	1
168	1
1685	1
1752	1
180000	1
200000	1
200foot	1
2226	1
24hour	1
2766	1
300	1
3749598	1
3750003	1
4133	1
534	1
5472	1
614	1
658	1
6745	1
678	1
718	1
738	1
able	1
abroad	1
accept	1
across	1
add	1
addressed	1
adherence	1
