Name	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
GBP4	6.59934411	5.226266025	3.693287538	3.938500953	4.527193089	9.308119032	8.987864851	7.658312365	8.666037977	7.419708102
BCAT1	5.760380377	4.892783021	5.448923917	3.485413386	3.855669172	8.66208104	8.793319848	8.765914637	8.097206243	8.262942399
CMPK2	9.561905115	4.549168157	3.998654922	5.614383981	3.904792873	9.790770004	7.133187551	7.37959102	7.938062515	6.154117903
STOX2	8.396409316	8.71705522	8.03906411	7.643059557	9.27464909	4.417013007	4.725269731	3.542216879	4.305187046	6.964710085
PADI2	8.419765891	8.268429802	8.451180844	9.200732284	8.598207202	4.590033013	5.368268426	4.13666741	4.910986115	4.080363054
SCARNA5	7.65307431	5.78039263	10.63355047	5.913684363	8.80560475	5.890120477	5.527944644	3.822596067	4.041077693	7.956588636
ALOX12P2	9.001421152	7.753542291	4.920959582	7.636354371	9.888624789	6.211943544	3.732014422	3.700850128	5.374031843	7.804891919
SNORA74B	5.538708715	7.169053394	11.44164644	5.982565686	8.394402525	4.751559253	5.181294957	4.587195378	5.147439897	7.830767801
HIST1H2BL	6.181270497	4.44841889	5.60496103	6.485168374	2.599574387	7.630176606	6.758258983	10.13755803	9.046604492	7.132642752
MNDA	8.70263525	7.322351956	9.27182142	9.13451544	8.339113844	4.571902285	5.478379269	3.924830558	4.639578237	4.639505783
OLFM4	9.345308305	6.438606637	8.716761264	9.685545169	7.688261843	5.969803866	3.856391968	4.473526871	5.644920973	4.205507146
FLT3	5.164306321	4.419355443	5.063551363	5.412783536	3.337863418	8.585164393	8.876302371	8.928921998	8.989781325	7.246603872
CHD7	8.373474964	8.728032243	8.408817608	8.716475513	8.373770667	4.613199018	6.636260441	3.68137998	4.193768322	4.299455286
NFIL3	8.055416475	8.365099881	9.239193677	8.536825077	8.452350819	4.478527128	6.506270309	3.895992698	4.410952384	4.084005593
HSPA1B	5.008199	9.194650277	6.598849918	7.129509251	3.885269717	5.712178725	11.13389561	6.398105547	6.460589648	4.503386345
AP5B1	8.236820474	8.972638837	8.204216569	8.432428284	9.224006543	4.424203695	4.863040984	4.248885842	3.854847066	5.563545748
IPCEF1	8.263067194	9.287855565	8.602232842	8.491155775	8.447699466	4.483935857	5.459967455	3.668956493	4.359219512	4.960543882
LRG1	8.553083338	9.0533217	9.074509404	8.736700301	7.656333241	4.529944483	5.487662323	4.30479407	3.924208512	4.704076669
THBS4	8.881039212	8.896204675	7.844801171	8.739369317	8.627063196	4.699310312	5.283224559	3.220680329	4.737319419	5.09562185
RGL4	8.454808497	8.019388907	8.990836345	9.718631131	7.908074587	4.147050991	4.985083787	4.57671087	4.930349329	4.293699598
MPP7	8.690519642	8.630346238	7.080872703	9.838475522	8.271824038	5.179199994	5.20086806	3.266992739	5.56522634	4.300308766
UGCG	8.648365501	8.600555354	9.431045688	7.923020562	8.309213794	4.902510144	5.750804266	4.492856299	4.659987011	3.306275424
CYSTM1	8.628883627	9.238677081	8.487243058	8.958537351	7.35710866	4.541604775	6.370532949	4.246650665	4.745768992	3.449626882
ANXA2	4.983768886	6.748021531	6.22079149	4.719403432	3.284345911	8.089849804	10.63747203	7.214911674	9.002710348	5.12335893
