Gene	Value
A1BG	-0.265187696
A1BG-AS1	-0.139791677
A1CF	-0.00478291
A2M	0.119416534
A2M-AS1	-0.022351132
A2ML1	0.213621549
A4GALT	-0.025934925
A4GNT	0.032415337
AAAS	-0.334200826
AACS	-0.073197888
AACSP1	-0.055221202
AADAC	0.120203034
AADACL2	0.0169959
AADACL3	-0.002757066
AADACL4	0.051187143
AADACP1	0.070993373
AADAT	0.072094455
AAGAB	-0.032780926
AAK1	0.292996425
AAMDC	-0.210924192
AAMP	-0.247499105
AANAT	-0.149373311
AAR2	-0.020947825
AARD	0.040269554
AARS2	-0.172522331
AARSD1	-0.300122656
AASDH	0.223319508
AASDHPPT	0.242786761
AASS	-0.019254701
AATBC	0.005899186
AATF	-0.17469664
AATK	-0.265446499
ABAT	-0.030347088
ABCA1	0.297792949
ABCA10	0.018589645
ABCA11P	0.05269464
ABCA12	0.218075897
ABCA13	0.054731802
ABCA17P	-0.124735695
ABCA2	-0.156203155
ABCA3	-0.203533782
ABCA4	0.0921305
ABCA5	-0.078992576
ABCA6	0.214146592
ABCA7	-0.166373673
ABCA8	0.106183612
ABCA9	0.174380299
ABCB1	0.136810698
ABCB10	0.150974811
ABCB11	0.147005176
ABCB4	0.036079292
ABCB5	0.094507399
ABCB6	-0.123129767
ABCB7	0.129434325
ABCB8	-0.275203656
ABCB9	-0.100472594
ABCC1	0.132744579
ABCC10	-0.092308819
ABCC11	0.149144198
ABCC12	0.086991521
ABCC13	-0.01790731
ABCC2	0.19149435
ABCC3	0.057910209
ABCC4	0.266321463
ABCC5	-0.024743011
ABCC6	0.115790319
ABCC6P1	0.189042002
ABCC6P2	0.155363804
ABCC8	-0.03641928
ABCC9	0.254086677
ABCD1	-0.133838406
ABCD2	0.189757033
ABCD3	0.049679978
ABCD4	-0.120795409
ABCE1	0.22218269
ABCF1	-0.034926529
ABCF2	-0.089446685
ABCF3	-0.27388572
ABCG1	-0.029682782
ABCG2	0.12460575
ABCG4	0.023733122
ABCG5	-0.034045275
ABCG8	-0.009291634
ABHD1	-0.183234337
ABHD10	-0.126266295
ABHD11	-0.078976555
ABHD11-AS1	-0.100478405
ABHD12	-0.190043823
ABHD12B	0.019988099
ABHD13	0.222848028
ABHD14A	-0.309635075
ABHD14B	-0.086784459
ABHD15	-0.005723906
ABHD16A	-0.214948009
ABHD16B	-0.30211761
ABHD17A	-0.305019381
ABHD17B	0.282791377
ABHD17C	-0.069499982
ABHD18	0.167953091
ABHD2	0.016589035
ABHD3	0.107910175
ABHD4	0.077429951
ABHD5	0.207677401
ABHD6	0.12401344
ABHD8	-0.368244548
ABI1	0.338203564
ABI2	-0.011341957
ABI3	-0.061277523
ABI3BP	0.169397667
ABITRAM	0.040852037
ABL1	0.128322165
ABL2	0.262890023
ABLIM1	0.322368663
ABLIM2	-0.104713655
ABLIM3	-0.062208989
ABO	0.132358948
ABR	-0.106741134
ABRA	0.004659989
ABRACL	0.106113257
ABRAXAS1	0.19419955
ABRAXAS2	0.256593147
ABT1	-0.144052915
ABTB1	-0.310903686
ABTB2	0.173441878
ACAA1	-0.127970207
ACAA2	-0.046914927
ACACA	0.128960158
ACACB	-0.071426218
ACAD10	-0.051143087
ACAD11	-0.001737477
ACAD8	0.094023125
ACAD9	-0.092993793
ACADL	0.073619021
ACADM	0.09444895
ACADS	-0.201870442
ACADSB	0.010587038
ACADVL	-0.20526475
ACAN	0.057230464
ACAP1	0.019376924
ACAP2	0.34422628
ACAP3	-0.26472176
ACAT1	0.029663727
ACAT2	-0.009970854
ACBD3	0.257121364
ACBD4	-0.268886215
ACBD5	0.140990199
ACBD6	-0.191278982
ACBD7	-0.044411663
ACCS	-0.176563836
ACCSL	0.012599123
ACD	-0.336131782
ACE	0.034500669
ACE2	0.165050657
ACER1	0.048563668
ACER2	0.15018713
ACER3	0.143050216
ACHE	0.023222291
ACIN1	-0.195830659
ACKR1	-0.010687799
ACKR2	0.15895709
ACKR3	0.091688244
ACKR4	0.278488801
ACLY	0.103528756
ACMSD	-0.05700045
ACO1	0.0868014
ACO2	-0.121732951
ACOT1	-0.103623683
ACOT11	-0.08493676
ACOT12	-0.042337317
ACOT13	-0.102403636
ACOT2	-0.035753502
ACOT4	-0.034763244
ACOT6	0.052769411
ACOT7	-0.198089032
ACOT8	-0.151621658
ACOT9	0.111496248
ACOX1	0.046575131
ACOX2	0.061003164
ACOX3	0.082184344
ACOXL	-0.021862529
ACP1	-0.114672699
ACP2	-0.124069094
ACP4	-0.024845307
ACP5	-0.07558845
ACP6	-0.132422958
ACP7	0.046611157
ACR	-0.074210938
ACRBP	0.008754584
ACRV1	-0.041922163
ACSBG1	-0.050035564
ACSBG2	0.02773937
ACSF2	-0.058691291
ACSF3	-0.247312821
ACSL1	0.194501904
ACSL3	0.133578494
ACSL4	0.304274397
ACSL5	0.288136034
ACSL6	0.007142449
ACSM1	-0.066934227
ACSM2A	-0.029196727
ACSM2B	-0.075363657
ACSM3	0.117724339
ACSM4	0.065300153
ACSM5	0.089976293
ACSM6	0.083374449
ACSS1	-0.099519301
ACSS2	-0.024192308
ACSS3	0.070067017
ACTA1	0.069157097
ACTA2	0.105846281
ACTB	0.083967631
ACTBL2	0.133460177
ACTC1	-0.016604674
ACTG1	-0.091665254
ACTG1P4	0.004523288
ACTG2	0.037737335
ACTL10	-0.217269142
ACTL6A	0.072865214
ACTL6B	-0.103993858
ACTL7A	-0.018692088
ACTL7B	-0.049832956
ACTL8	0.015016431
ACTL9	-0.000832412
ACTN1	0.132512751
ACTN2	0.02401845
ACTN3	0.018873513
ACTN4	-0.096010484
ACTR10	0.111356955
ACTR1A	-0.090681812
ACTR1B	-0.217768634
ACTR2	0.356312075
ACTR3	0.332495517
ACTR3B	-0.094458651
ACTR3BP2	0.005033562
ACTR3C	0.061689509
ACTR5	-0.034018834
ACTR6	0.134992412
ACTR8	0.05231412
ACTRT1	-0.021827735
ACTRT2	-0.020801326
ACTRT3	0.056440145
ACVR1	0.258522994
ACVR1B	0.017913635
ACVR1C	0.074379135
ACVR2A	0.181616053
ACVR2B	0.107608317
ACVR2B-AS1	0.050683728
ACVRL1	0.03192902
ACY1	-0.155295744
ACY3	0.108015307
ACYP1	-0.196758979
ACYP2	-0.143413768
ADA	-0.033157136
ADA2	0.149562254
ADAD1	-0.027322434
ADAD2	-0.127202401
ADAL	-0.020539333
ADAM10	0.307813192
ADAM11	-0.192072431
ADAM12	0.296248212
ADAM15	-0.01251162
ADAM17	0.341941833
ADAM18	-0.049315919
ADAM19	0.207599667
ADAM2	-0.014368378
ADAM20	0.003844567
ADAM21	0.092167296
ADAM21P1	0.11927109
ADAM22	0.108342628
ADAM23	0.166789464
ADAM28	0.125297504
ADAM29	-0.052878662
ADAM30	0.027422135
ADAM32	-0.083989841
ADAM33	0.083752664
ADAM3A	-0.020772001
ADAM5	-0.005582123
ADAM6	0.07241099
ADAM7	0.013232996
ADAM8	-0.01188917
ADAM9	0.23226699
ADAMDEC1	0.119857549
ADAMTS1	0.133601908
ADAMTS10	-0.059348578
ADAMTS12	0.290700655
ADAMTS13	-0.158698279
ADAMTS14	0.075557093
ADAMTS15	0.032812113
ADAMTS16	0.156240313
ADAMTS17	0.108730454
ADAMTS18	0.103054325
ADAMTS19	-0.004170739
ADAMTS2	0.268781
ADAMTS20	0.090771179
ADAMTS3	0.209641302
ADAMTS4	0.119819838
ADAMTS5	0.288555511
ADAMTS6	0.193366163
ADAMTS7	0.0292693
ADAMTS8	0.015140841
ADAMTS9	0.177184005
ADAMTSL1	0.20811129
ADAMTSL2	-0.024809534
ADAMTSL3	0.218000412
ADAMTSL4	0.122777177
ADAMTSL5	-0.03194463
ADAP1	-0.237718817
ADAP2	0.123105136
ADAR	0.102386889
ADARB1	0.115122938
ADARB2	-0.01451246
ADAT1	0.191236927
ADAT2	0.054480126
ADAT3	-0.209075015
ADCK1	-0.141464276
ADCK2	-0.20962353
ADCK5	-0.149372427
ADCY1	-0.111267207
ADCY10	0.025238013
ADCY10P1	0.002985501
ADCY2	0.230485933
ADCY3	-0.092894917
ADCY4	-0.064823337
ADCY5	0.122347725
ADCY6	-0.033141665
ADCY7	0.264965385
ADCY8	-0.078846395
ADCY9	0.087747093
ADCYAP1	0.064536151
ADCYAP1R1	0.180057308
ADD1	-0.078111531
ADD2	0.061159728
ADD3	0.271385841
ADGB	-0.000951645
ADGRA1	0.077077596
ADGRA2	0.110644545
ADGRA3	0.14303983
ADGRB1	-0.093940915
ADGRB2	-0.187471674
ADGRB3	0.026236873
ADGRD1	0.136598774
ADGRD2	-0.043750996
ADGRE1	0.06282386
ADGRE2	0.19662431
ADGRE3	0.090747129
ADGRE4P	0.130075248
ADGRE5	0.023208281
ADGRF1	0.218628572
ADGRF2	0.074776521
ADGRF3	0.018626105
ADGRF4	0.058869402
ADGRF5	0.205348331
ADGRG1	0.009775374
ADGRG2	0.07098565
ADGRG3	0.108209995
ADGRG4	0.082932138
ADGRG5	0.038619303
ADGRG6	0.293668625
ADGRG7	0.00393043
ADGRL1	-0.212606646
ADGRL2	0.16092437
ADGRL3	0.133493385
ADGRL4	0.188342103
ADGRV1	0.127069914
ADH1A	0.059853962
ADH1B	0.029837505
ADH1C	0.061701631
ADH4	0.058087633
ADH5	0.113332133
ADH6	0.052733622
ADH7	0.022913443
ADHFE1	-0.005876534
ADI1	-0.028389202
ADIG	-0.008047049
ADIPOQ	0.037358687
ADIPOR1	-0.059948236
ADIPOR2	-0.032671708
ADIRF	-0.086659284
ADK	0.064572757
ADM	0.100750673
ADM2	-0.04919199
ADM5	-0.109839107
ADNP	0.217625698
ADNP2	0.194229839
ADO	0.08423768
ADORA1	-0.196421739
ADORA2A	0.04244335
ADORA2A-AS1	0.076022476
ADORA2B	0.146794264
ADORA3	0.08972979
ADPGK	-0.112186199
ADPRH	0.107896444
ADPRHL1	-0.130793815
ADPRM	-0.02248109
ADRA1A	0.003847257
