Term	Gene
GO_ADAPTIVE_IMMUNE_RESPONSE	ADAM17
GO_ADAPTIVE_IMMUNE_RESPONSE	AICDA
GO_ADAPTIVE_IMMUNE_RESPONSE	ALCAM
GO_ADAPTIVE_IMMUNE_RESPONSE	ANXA1
GO_ADAPTIVE_IMMUNE_RESPONSE	BATF
GO_ADAPTIVE_IMMUNE_RESPONSE	BCL10
GO_ADAPTIVE_IMMUNE_RESPONSE	BCL3
GO_ADAPTIVE_IMMUNE_RESPONSE	BCL6
GO_ADAPTIVE_IMMUNE_RESPONSE	BTK
GO_ADAPTIVE_IMMUNE_RESPONSE	BTLA
GO_ADAPTIVE_IMMUNE_RESPONSE	BTN3A1
GO_ADAPTIVE_IMMUNE_RESPONSE	BTN3A2
GO_ADAPTIVE_IMMUNE_RESPONSE	BTN3A3
GO_ADAPTIVE_IMMUNE_RESPONSE	BTNL8
GO_ADAPTIVE_IMMUNE_RESPONSE	C1QA
GO_ADAPTIVE_IMMUNE_RESPONSE	C1QB
GO_ADAPTIVE_IMMUNE_RESPONSE	C1QBP
GO_ADAPTIVE_IMMUNE_RESPONSE	C1QC
GO_ADAPTIVE_IMMUNE_RESPONSE	C1R
GO_ADAPTIVE_IMMUNE_RESPONSE	C1RL
GO_ADAPTIVE_IMMUNE_RESPONSE	C1S
GO_ADAPTIVE_IMMUNE_RESPONSE	C2
GO_ADAPTIVE_IMMUNE_RESPONSE	C3
GO_ADAPTIVE_IMMUNE_RESPONSE	C3AR1
GO_ADAPTIVE_IMMUNE_RESPONSE	C4A
GO_ADAPTIVE_IMMUNE_RESPONSE	C4B
GO_ADAPTIVE_IMMUNE_RESPONSE	C4BPA
GO_ADAPTIVE_IMMUNE_RESPONSE	C4BPB
GO_ADAPTIVE_IMMUNE_RESPONSE	C5
GO_ADAPTIVE_IMMUNE_RESPONSE	C6
GO_ADAPTIVE_IMMUNE_RESPONSE	C7
GO_ADAPTIVE_IMMUNE_RESPONSE	C8A
GO_ADAPTIVE_IMMUNE_RESPONSE	C8B
GO_ADAPTIVE_IMMUNE_RESPONSE	C8G
GO_ADAPTIVE_IMMUNE_RESPONSE	C9
GO_ADAPTIVE_IMMUNE_RESPONSE	CADM1
GO_ADAPTIVE_IMMUNE_RESPONSE	CAMK4
GO_ADAPTIVE_IMMUNE_RESPONSE	CD1A
GO_ADAPTIVE_IMMUNE_RESPONSE	CD1B
GO_ADAPTIVE_IMMUNE_RESPONSE	CD1C
GO_ADAPTIVE_IMMUNE_RESPONSE	CD1E
GO_ADAPTIVE_IMMUNE_RESPONSE	CD209
GO_ADAPTIVE_IMMUNE_RESPONSE	CD244
GO_ADAPTIVE_IMMUNE_RESPONSE	CD27
GO_ADAPTIVE_IMMUNE_RESPONSE	CD4
GO_ADAPTIVE_IMMUNE_RESPONSE	CD40LG
GO_ADAPTIVE_IMMUNE_RESPONSE	CD46
GO_ADAPTIVE_IMMUNE_RESPONSE	CD55
GO_ADAPTIVE_IMMUNE_RESPONSE	CD6
GO_ADAPTIVE_IMMUNE_RESPONSE	CD7
GO_ADAPTIVE_IMMUNE_RESPONSE	CD74
GO_ADAPTIVE_IMMUNE_RESPONSE	CD79A
GO_ADAPTIVE_IMMUNE_RESPONSE	CD79B
GO_ADAPTIVE_IMMUNE_RESPONSE	CD84
GO_ADAPTIVE_IMMUNE_RESPONSE	CD86
GO_ADAPTIVE_IMMUNE_RESPONSE	CD8A
GO_ADAPTIVE_IMMUNE_RESPONSE	CD8B
GO_ADAPTIVE_IMMUNE_RESPONSE	CD8BP
GO_ADAPTIVE_IMMUNE_RESPONSE	CFI
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC10A
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC4A
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC4C
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC4D
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC4M
GO_ADAPTIVE_IMMUNE_RESPONSE	CLEC6A
GO_ADAPTIVE_IMMUNE_RESPONSE	CLU
GO_ADAPTIVE_IMMUNE_RESPONSE	CR1
GO_ADAPTIVE_IMMUNE_RESPONSE	CR2
GO_ADAPTIVE_IMMUNE_RESPONSE	CRTAM
GO_ADAPTIVE_IMMUNE_RESPONSE	CSK
GO_ADAPTIVE_IMMUNE_RESPONSE	CTLA4
GO_ADAPTIVE_IMMUNE_RESPONSE	CTSC
GO_ADAPTIVE_IMMUNE_RESPONSE	CTSH
GO_ADAPTIVE_IMMUNE_RESPONSE	CTSL1
GO_ADAPTIVE_IMMUNE_RESPONSE	CTSS
GO_ADAPTIVE_IMMUNE_RESPONSE	CXCL13
GO_ADAPTIVE_IMMUNE_RESPONSE	DBNL
GO_ADAPTIVE_IMMUNE_RESPONSE	DCLRE1C
GO_ADAPTIVE_IMMUNE_RESPONSE	DENND1B
GO_ADAPTIVE_IMMUNE_RESPONSE	DLG1
GO_ADAPTIVE_IMMUNE_RESPONSE	EBI3
GO_ADAPTIVE_IMMUNE_RESPONSE	EFCAB4B
GO_ADAPTIVE_IMMUNE_RESPONSE	EIF2AK4
GO_ADAPTIVE_IMMUNE_RESPONSE	EMP2
GO_ADAPTIVE_IMMUNE_RESPONSE	EMR1
GO_ADAPTIVE_IMMUNE_RESPONSE	EOMES
GO_ADAPTIVE_IMMUNE_RESPONSE	ERAP1
GO_ADAPTIVE_IMMUNE_RESPONSE	ERAP2
GO_ADAPTIVE_IMMUNE_RESPONSE	ERCC1
GO_ADAPTIVE_IMMUNE_RESPONSE	EXO1
GO_ADAPTIVE_IMMUNE_RESPONSE	EXOSC3
GO_ADAPTIVE_IMMUNE_RESPONSE	EXOSC6
GO_ADAPTIVE_IMMUNE_RESPONSE	FAS
GO_ADAPTIVE_IMMUNE_RESPONSE	FCAMR
GO_ADAPTIVE_IMMUNE_RESPONSE	FCER1G
GO_ADAPTIVE_IMMUNE_RESPONSE	FCGR1B
GO_ADAPTIVE_IMMUNE_RESPONSE	FCGR1C
GO_ADAPTIVE_IMMUNE_RESPONSE	FCRL4
GO_ADAPTIVE_IMMUNE_RESPONSE	FGA
GO_ADAPTIVE_IMMUNE_RESPONSE	FGB
GO_ADAPTIVE_IMMUNE_RESPONSE	FOXP3
GO_ADAPTIVE_IMMUNE_RESPONSE	FYN
GO_ADAPTIVE_IMMUNE_RESPONSE	GAPT
GO_ADAPTIVE_IMMUNE_RESPONSE	GATA3
GO_ADAPTIVE_IMMUNE_RESPONSE	GCNT3
GO_ADAPTIVE_IMMUNE_RESPONSE	GNL1
GO_ADAPTIVE_IMMUNE_RESPONSE	GPR183
GO_ADAPTIVE_IMMUNE_RESPONSE	HAVCR2
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-DQB1
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-DRB1
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-DRB3
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-DRB4
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-DRB5
GO_ADAPTIVE_IMMUNE_RESPONSE	HLA-E
GO_ADAPTIVE_IMMUNE_RESPONSE	HMGB1
GO_ADAPTIVE_IMMUNE_RESPONSE	HMHB1
GO_ADAPTIVE_IMMUNE_RESPONSE	HRAS
GO_ADAPTIVE_IMMUNE_RESPONSE	HSPD1
GO_ADAPTIVE_IMMUNE_RESPONSE	ICAM1
GO_ADAPTIVE_IMMUNE_RESPONSE	ICOSLG
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA1
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA10
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA13
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA14
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA16
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA17
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA21
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA4
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA5
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA6
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA7
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNA8
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNB1
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNE
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNG
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNK
GO_ADAPTIVE_IMMUNE_RESPONSE	IFNW1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHA1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHA2
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHD
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHE
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHG1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHG2
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHG3
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHG4
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHM
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHV1OR21-1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHV2-70
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHV3-23
GO_ADAPTIVE_IMMUNE_RESPONSE	IGHV4OR15-8
GO_ADAPTIVE_IMMUNE_RESPONSE	IGJ
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKC
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV1-5
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV1D-33
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV2-40
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV3-20
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV3D-11
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV3D-20
GO_ADAPTIVE_IMMUNE_RESPONSE	IGKV4-1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLC1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLC2
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLC3
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLC6
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLC7
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLL1
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLL5
GO_ADAPTIVE_IMMUNE_RESPONSE	IGLV7-43
GO_ADAPTIVE_IMMUNE_RESPONSE	IL12B
GO_ADAPTIVE_IMMUNE_RESPONSE	IL13RA2
GO_ADAPTIVE_IMMUNE_RESPONSE	IL18
GO_ADAPTIVE_IMMUNE_RESPONSE	IL18BP
GO_ADAPTIVE_IMMUNE_RESPONSE	IL18R1
GO_ADAPTIVE_IMMUNE_RESPONSE	IL2
GO_ADAPTIVE_IMMUNE_RESPONSE	IL31RA
GO_ADAPTIVE_IMMUNE_RESPONSE	IL4
GO_ADAPTIVE_IMMUNE_RESPONSE	IL4R
GO_ADAPTIVE_IMMUNE_RESPONSE	IL6
