title	year	length	budget	rating	votes	mpaa	genre
Lord of the Rings: The Return of the King, The	2003	251	94	9	103631	PG-13	Action
Lord of the Rings: The Fellowship of the Ring, The	2001	208	93	8.8	157608	PG-13	Action
Lord of the Rings: The Two Towers, The	2002	223	94	8.8	114797	PG-13	Action
Star Wars	1977	125	11	8.8	134640	PG	Action
Star Wars: Episode V - The Empire Strikes Back	1980	129	18	8.8	103706	PG	Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	93	1.8	8.7	63471	PG	Comedy
Apocalypse Now	1979	202	31.5	8.5	64785	R	Action Drama
Matrix, The	1999	136	63	8.5	143853	R	Action
Taegukgi hwinalrimyeo	2004	140	12.8	8.5	1792	R	Action Drama
Aliens	1986	154	18.5	8.3	63961	R	Action
Braveheart	1995	177	53	8.3	92437	R	Action Drama
Kill Bill: Vol. 1	2003	111	55	8.3	65026	R	Action Drama
Kill Bill: Vol. 2	2004	136	30	8.3	44189	R	Action Drama
Saving Private Ryan	1998	170	70	8.3	100267	R	Action Drama
Sin City	2005	124	45.5	8.3	23473	R	Action
Adventures of Robin Hood, The	1938	102	1.9	8.2	7359	PG	Action
Terminator 2: Judgment Day	1991	154	100	8.2	77614	R	Action Drama
Wo hu cang long	2000	120	15	8.2	52198	PG-13	Action
Star Wars: Episode VI - Return of the Jedi	1983	135	32.5	8.1	82471	PG	Action
Ying xiong	2002	93	30	8.1	24128	PG-13	Action Drama
Big Lebowski, The	1998	117	15	8	50179	R	Comedy
Gladiator	2000	155	103	8	92495	R	Action Drama
Pirates of the Caribbean: The Curse of the Black Pearl	2003	143	125	8	60812	PG-13	Action Comedy
Gong fu	2004	99	20	7.9	5299	R	Action Comedy
Heat	1995	188	60	7.9	44588	R	Action Drama
Henry V	1989	137	9	7.9	8241	PG-13	Action Drama
Lashou shentan	1992	131	4.5	7.9	6568	R	Action Drama
Last Samurai, The	2003	154	100	7.9	31668	R	Action Drama
Shaun of the Dead	2004	99	4	7.9	18685	R	Comedy
Snatch.	2000	102	10	7.9	44785	R	Comedy
Spider-Man 2	2004	127	200	7.9	40256	PG-13	Action
X2	2003	133	110	7.9	38191	PG-13	Action
Minority Report	2002	145	102	7.8	51199	PG-13	Action Drama
O Brother, Where Art Thou?	2000	106	26	7.8	37961	PG-13	Comedy
Office Space	1999	89	10	7.7	26134	R	Comedy
Black Hawk Down	2001	142	90	7.6	32530	R	Action Drama
Equilibrium	2002	107	20	7.6	17579	R	Action
Samsara	2001	138	3	7.6	636	R	Action Drama
Star Trek: The Wrath of Khan	1982	116	11	7.6	16333	PG	Action
Waiting for Guffman	1996	84	4	7.6	7337	R	Comedy
Best in Show	2000	90	6	7.5	11790	PG-13	Comedy
Bubba Ho-tep	2002	92	1	7.5	7142	R	Comedy
Jui kuen II	1994	99	2	7.5	4628	R	Action Comedy
Master and Commander: The Far Side of the World	2003	138	150	7.5	21328	PG-13	Action Drama
Ocean's Eleven	2001	116	85	7.5	44662	PG-13	Comedy
Abyss, The	1989	171	69.5	7.4	21987	PG-13	Action Drama
Army of Darkness	1993	96	11	7.4	22118	R	Action Comedy
Count of Monte Cristo, The	2002	134	35	7.4	13907	PG-13	Action Drama
Dawn of the Dead	2004	109	28	7.4	16283	R	Action Drama
Election	1999	103	8.5	7.4	17521	R	Comedy
Enter the Dragon	1973	99	0.85	7.4	8078	R	Action
Go	1999	103	6.5	7.4	20663	R	Comedy
Man on Fire	2004	146	70	7.4	14358	R	Action Drama
School of Rock, The	2003	108	20	7.4	16452	PG-13	Comedy
Siunin Wong Fei-hung tsi titmalau	1993	90	2	7.4	3173	PG-13	Action Comedy
Spider-Man	2002	121	139	7.4	63228	PG-13	Action
Bourne Identity, The	2002	119	75	7.3	29871	PG-13	Action Drama
Bourne Supremacy, The	2004	108	75	7.3	19878	PG-13	Action Drama
Dogma	1999	130	10	7.3	43391	R	Comedy
Enemy at the Gates	2001	131	70	7.3	19169	R	Action Drama
In the Company of Men	1997	97	0.025	7.3	3618	R	Comedy
Menace II Society	1993	97	3.5	7.3	4704	R	Action Drama
Star Trek: First Contact	1996	106	45	7.3	25046	PG-13	Action
Team America: World Police	2004	98	30	7.3	13104	R	Action Comedy
Three Kings	1999	114	48	7.3	31503	R	Action Comedy
Waking Ned	1998	92	3	7.3	7232	PG	Comedy
X-Men	2000	104	75	7.3	45332	PG-13	Action
Bad Santa	2003	98	18	7.2	11189	R	Comedy
Comunidad, La	2000	110	2	7.2	1270	R	Comedy
Cypher	2002	95	7.5	7.2	3160	R	Action
Full Monty, The	1997	91	3.5	7.2	22115	R	Comedy
Galaxy Quest	1999	102	45	7.2	22341	PG	Comedy
My Cousin Vinny	1992	120	11	7.2	10877	R	Comedy
Napoleon Dynamite	2004	86	0.4	7.2	17524	PG	Comedy
Negotiator, The	1998	139	50	7.2	19100	R	Action Drama
Peter Pan	2003	113	100	7.2	5596	PG	Action
Thin Red Line, The	1998	170	52	7.2	25637	R	Action Drama
Bananas	1971	82	2	7.1	4252	PG-13	Comedy
Crimson Tide	1995	116	53	7.1	14033	R	Action Drama
Deconstructing Harry	1997	96	20	7.1	7342	R	Comedy
Enemy of the State	1998	131	90	7.1	23263	R	Action Drama
Face/Off	1997	133	80	7.1	37506	R	Action Drama
Fifth Element, The	1997	126	90	7.1	55398	PG-13	Action Drama
Harold & Kumar Go to White Castle	2004	90	9	7.1	8376	R	Comedy
Highlander	1986	116	16	7.1	18146	R	Action
