g1	g2	e1	e2
A	AA	N	-1.8060312568019488
A	AA	N	-0.5820759246893328
A	AA	N	-1.1088896244267814
A	AA	N	-1.0149620094920093
A	AA	P	-0.16230952355681924
A	AA	N	0.5630558189945174
A	AA	P	1.6478174728150614
A	AA	P	-0.7733534239436951
A	AA	P	1.6059096288572963
A	AA	N	-1.15780854769441
A	AA	N	0.6565884643328073
A	AA	N	2.5489910707178565
A	AA	N	-0.03476038980383759
A	AA	P	-0.6696335796619575
A	AA	N	-0.007604755710974629
A	AA	N	1.7770844481434263
A	AA	N	-1.1386077367509086
A	AA	P	1.3678271794232626
A	AA	N	1.3295647907823602
A	AA	N	0.33647279720381734
A	AA	N	0.006892838441957958
A	AA	N	-0.4554687381614281
A	AA	N	-0.3665239328739332
A	AA	N	0.6482865675031478
A	AA	N	2.0702708613309433
A	AA	N	-0.1533984124669701
A	AA	P	-1.390700946701491
A	AA	N	-0.7235817771101544
A	AA	N	0.25826176216785335
A	AA	N	-0.31705911496119904
A	AA	P	-0.17778995766429437
A	AA	N	-0.1699940768545406
A	AA	P	-1.3723018858766938
A	AA	P	-0.1737871704140332
A	AA	P	0.8502322571218842
A	AA	N	0.697608711668253
A	AA	P	0.5499973510911011
A	AA	N	-0.4027319754476228
A	AA	N	-0.19159377047847675
A	AA	P	-1.1945278796025132
A	AA	N	-0.053158818743323934
A	AA	P	0.2551960009958334
A	AA	N	1.7059640072400748
A	AA	N	1.0015132523634485
A	AA	N	-0.4955834430014601
A	AA	P	0.3555502969997491
A	AA	P	-1.134608043533848
A	AA	P	0.8782036269522915
A	AA	P	0.9729167533761225
A	AA	N	2.1211171053756757
B	VV	N	0.41452353437498546
B	VV	N	-0.47471847352936014
B	VV	N	0.06599349370446135
B	VV	N	-0.5024777823938661
B	VV	P	-0.8259985871293356
B	VV	N	0.16698927975298372
B	VV	P	-0.8962646262447586
B	VV	P	0.168185387655757
B	VV	N	0.35496826101485446
B	VV	P	-0.052105116871133596
B	VV	N	-0.1959346187162532
B	VV	N	-0.6490697516057603
B	VV	P	-1.1097672313987317
B	VV	N	0.8492742026550582
B	VV	P	0.02236252607602403
B	VV	P	0.8311406173068353
B	VV	N	-1.2442878513442277
B	VV	P	0.16902641376617525
B	VV	P	0.6731663069476793
B	VV	N	-0.0262763764485261
B	VV	N	-0.19139216855602378
B	VV	P	-0.7819066466998764
B	VV	P	2.0581619877634907
B	VV	P	0.7505014531558307
B	VV	N	1.8242083023782891
B	VV	N	0.08005964109198799
B	VV	N	-0.6314092989663658
B	VV	P	-1.5132881200337271
B	VV	N	-0.6360998310850513
B	VV	P	0.22630153249716084
B	VV	P	1.0136903474657484
B	VV	N	0.2527501350663418
B	VV	P	-1.1719483128411208
B	VV	N	0.6687143285250335
B	VV	P	-1.6501009348443607
B	VV	N	-0.3658522481919009
B	VV	P	-0.31611832883307983
B	VV	N	-1.948246047321369
B	VV	N	0.9200575223909052
B	VV	P	-0.6228715948788748
C	XX	P	-0.3340366499974584
C	XX	P	1.3951478925296228
C	XX	P	0.63667441103895
C	XX	N	-0.10843169699038264
C	XX	P	0.5137627784046735
C	XX	N	0.39927180727395833
C	XX	N	1.6628564474304048
C	XX	P	0.2758934035854829
C	XX	N	0.5062726232076872
C	XX	N	0.34755197502381147
