x	y	names	groups
1	2.2535729546620917	L1	A
2	2.231081556283635	L1	A
3	1.7403796889686194	L1	A
4	2.2557856721771588	L1	A
5	2.4295606826315823	L1	A
6	1.9515570552334813	L1	A
7	1.8358744013787205	L1	A
8	2.0644323852204227	L1	A
9	1.46691285387531	L1	A
10	2.3038060820454866	L1	A
1	4.527367327154343	L2	A
2	4.067087729017252	L2	A
3	3.8674868228152324	L2	A
4	3.8372993529551436	L2	A
5	3.328520948693171	L2	A
6	3.83467729435558	L2	A
7	4.387888849815396	L2	A
8	4.134022464368555	L2	A
9	3.94397114391564	L2	A
10	4.582819939407958	L2	A
1	6.658979800291	L3	B
2	6.939106555319832	L3	B
3	6.806303458707425	L3	B
4	6.992842185481263	L3	B
5	6.839578004008094	L3	B
6	7.129688228864472	L3	B
7	6.657271468818109	L3	B
8	6.936715402694488	L3	B
9	7.976041003831794	L3	B
10	6.19442305156382	L3	B
1	7.403615008999301	L4	B
2	8.141676025214254	L4	B
3	7.164695250442078	L4	B
4	8.9146743581381	L4	B
5	8.467605517709684	L4	B
6	8.459016224023484	L4	B
7	8.941014763752051	L4	B
8	8.334934389650055	L4	B
9	7.97054216761918	L4	B
10	8.209996924183663	L4	B
