Gene	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
GBP4	6.59934410950219	5.22626602480198	3.69328753811098	3.93850095280092	4.52719308866722	9.30811903244735	8.98786485076655	7.65831236457275	8.66603797694234	7.41970810237923
BCAT1	5.7603803773696	4.89278302092092	5.4489239172689	3.48541338578293	3.85566917175335	8.66208104047003	8.79331984841678	8.76591463653863	8.09720624308158	8.26294239938877
CMPK2	9.56190511541694	4.54916815653975	3.99865492244696	5.61438398058799	3.90479287264428	9.79077000447076	7.13318755148685	7.37959101963759	7.93806251518641	6.15411790257397
STOX2	8.39640931573611	8.71705522018908	8.03906411010794	7.64305955657731	9.27464909014892	4.41701300734515	4.7252697311358	3.54221687884127	4.30518704618541	6.9647100847245
PADI2	8.41976589052513	8.26842980236139	8.45118084362689	9.20073228449025	8.59820720172578	4.59003301277654	5.3682684258907	4.13666741045992	4.91098611479878	4.08036305433613
SCARNA5	7.65307430977837	5.78039262971739	10.6335504726533	5.91368436291761	8.80560475012981	5.89012047654207	5.52794464354386	3.82259606723006	4.04107769290465	7.9565886355744
ALOX12P2	9.00142115218082	7.75354229108506	4.92095958179653	7.63635437094677	9.88862478901644	6.21194354380297	3.73201442207366	3.70085012794602	5.37403184307771	7.80489191906552
SNORA74B	5.53870871520511	7.16905339382908	11.4416464369403	5.98256568575252	8.39440252461064	4.75155925320549	5.1812949566099	4.58719537757651	5.14743989674245	7.83076780051947
HIST1H2BL	6.18127049664725	4.44841889018637	5.60496102984375	6.48516837385035	2.59957438666689	7.63017660565678	6.7582589826989	10.1375580321457	9.0466044917583	7.13264275153722
MNDA	8.70263524951799	7.32235195639172	9.27182142017149	9.13451543974325	8.33911384365565	4.57190228487297	5.47837926919321	3.92483055805651	4.63957823676203	4.63950578262665
OLFM4	9.3453083049633	6.4386066367188	8.71676126406154	9.68554516855116	7.68826184326211	5.9698038656099	3.85639196824446	4.47352687053999	5.64492097261939	4.20550714642084
FLT3	5.16430632091849	4.41935544328289	5.06355136332481	5.41278353561259	3.33786341844924	8.5851643929583	8.87630237134457	8.9289219977983	8.98978132515918	7.24660387214314
CHD7	8.37347496380646	8.7280322425153	8.40881760839079	8.71647551270056	8.37377066730534	4.6131990181069	6.63626044076648	3.68137997972667	4.19376832161313	4.29945528605986
NFIL3	8.05541647537976	8.365099881364	9.23919367693868	8.53682507747494	8.45235081884242	4.4785271277271	6.50627030863252	3.8959926983669	4.41095238359256	4.08400559267262
HSPA1B	5.0081989999114	9.19465027714563	6.59884991799149	7.12950925125609	3.88526971724655	5.71217872524064	11.1338956120625	6.39810554739138	6.46058964785579	4.50338634489
AP5B1	8.23682047357699	8.97263883679405	8.20421656900127	8.43242828422906	9.22400654256986	4.42420369458669	4.86304098388495	4.2488858417092	3.85484706645842	5.56354574818102
IPCEF1	8.26306719415969	9.28785556535855	8.60223284186519	8.49115577522355	8.4476994660962	4.48393585674786	5.4599674548191	3.66895649281438	4.35921951199522	4.96054388191175
LRG1	8.55308333818146	9.05332170033288	9.07450940411854	8.73670030053071	7.65633324063663	4.52994448343282	5.48766232305694	4.30479407032271	3.92420851166188	4.70407666871694
THBS4	8.88103921226797	8.8962046751857	7.84480117149793	8.73936931675074	8.62706319627278	4.69931031212911	5.28322455941077	3.22068032857857	4.73731941895932	5.09562184993861
RGL4	8.45480849703071	8.01938890687672	8.99083634468092	9.71863113099265	7.90807458680074	4.14705099091832	4.98508378739981	4.57671086951137	4.93034932889645	4.2936995978838
MPP7	8.69051964227409	8.63034623763923	7.08087270300907	9.8384755216119	8.27182403778882	5.17919999372186	5.20086805964123	3.26699273882508	5.56522634026712	4.30030876621311
UGCG	8.64836550117938	8.60055535380447	9.43104568751548	7.9230205615877	8.3092137937507	4.90251014386811	5.75080426564036	4.49285629867141	4.65998701082659	3.30627542414731
CYSTM1	8.62888362670211	9.23867708133921	8.48724305781585	8.9585373511481	7.35710866024406	4.54160477533	6.37053294888104	4.24665066524454	4.74576899180294	3.44962688248365
ANXA2	4.98376888645621	6.74802153101448	6.22079149043324	4.71940343214139	3.28434591086228	8.08984980446167	10.637472034078	7.21491167389481	9.00271034808197	5.12335892956738
ENDOD1	5.55163971872426	5.4064649993561	4.66378474612958	3.55076540459354	4.10350671158573	8.39399071433712	9.538503098682	9.06992267005361	8.63966440241984	7.10639157510974
ARHGAP24	6.89007947916903	8.88394109857622	9.56065081648397	8.28567368456581	9.04375155722334	3.54400997780181	4.91918263653937	4.66479366571633	4.41046835866553	5.82208276625007
CST7	7.88306127465057	8.54658456777652	8.36455313109263	9.54011011955219	8.69747335007555	3.55767433775708	4.45388730772107	4.20340520858419	5.06508165045758	5.71280309332412
HIST1H2BM	6.18690843039134	4.44880329961322	5.42877081184887	6.74768148196589	2.57757949012244	7.8282327625163	6.51781948222203	10.2068683214703	9.34519021714569	6.73677974369545
EREG	8.59814505842903	4.92018356125751	9.22764453024163	5.22215712669009	4.68984964026574	8.70361683592888	8.65771352926794	7.82068826440211	2.94361803349097	5.24101746101759
EMP1	4.83747543388199	5.99957641741384	6.11516842490016	5.05632301458891	4.8089296544361	6.71316401442309	12.1893065350618	6.31085309821801	8.39113699139893	5.60270045666862
NFAM1	8.65629018989617	9.95728900660463	7.31990029350576	8.07351398352073	9.01665766686702	4.51762315199373	4.72270958438004	3.96195071532599	4.44051975710331	5.35817969179413
SLC40A1	9.52082184984132	4.6300860675265	5.11648649001911	9.34600283255293	9.81319155476508	6.10141574721022	4.18618228730233	4.19863910040465	7.19310786258295	5.91870024878643
CD52	4.23092718292703	5.93249570901771	5.01189781226921	5.10130839611687	4.3983270843923	6.3800935538825	8.98466272397821	10.2347180028922	9.80030456111072	5.94989901440479
HIST1H2BH	5.80517708727457	4.34319698777715	6.13937959034036	5.81753025438555	2.51328424691345	8.18845818393027	7.12653567067081	10.4042857366929	8.87345797255015	6.81332831045628
PFKFB3	7.42425672770331	9.67678486447417	8.93515559526994	8.04583294946198	8.89068984047688	4.27386393159326	6.23845022648375	4.09911077395125	4.18928357412355	4.2512055574534
SNORD116-20	8.37705794265498	5.35955283281031	8.69484128728057	8.044566874355	2.953568193207	7.26841856308343	6.68202099844039	8.31805239073958	7.83018011936655	2.4963748390537
STX11	8.33848786950036	8.56595435724288	8.76786820829843	9.40325703236495	7.8927019041759	4.20583487558089	6.56566629172552	3.93102359732804	5.05044318547588	3.30339671929864
SYNE2	9.11072611328461	9.67836134625684	8.40561173679154	6.94624220725133	8.15607283894003	5.79100701147425	6.83726740779878	3.72229368939695	3.64064574323032	3.73640594656685
TCN1	8.19317939308718	8.90728488343263	8.71384756012029	8.98092755959508	7.62755788426105	4.62660939758871	7.35405470412209	3.26529168007395	5.10839832356915	3.24748265514137
SNORA74A	5.4989036434177	5.06210341418121	12.5614991243383	5.83920176184402	7.58105067734548	5.49829568381575	5.02357896739217	5.50173428262313	5.4573021976407	8.00096428839304
CD74	5.01744308932942	5.38397759336954	3.40565075861287	3.26432655177697	5.60296552976606	8.55015684287963	8.4645233512142	8.13241016875959	8.5163423184491	9.68683783683414
EIF4E3	9.36688761928368	8.36018887001937	5.65505213371847	4.28772104579371	8.71376536348066	8.88080109689556	6.41739276540472	3.40585799587955	3.25180217037193	7.68516498014385
MYO7B	8.79611534432829	9.26583690983665	7.8656404761721	8.78531999135262	9.20970307578869	4.27220206662578	4.86618816582842	4.31029972560557	3.75857526199639	4.89475302345698
MX1	10.7399030893231	4.50404260897076	4.71430259549509	6.24479780351586	4.89150097148067	10.7278791187166	5.65352833761679	5.43046577412365	7.73404493141918	5.38416881032981
LDLR	3.3023953681893	10.5824300145645	6.20991327444613	3.80421415609279	4.63139094647011	5.53404635380304	9.43371508056491	7.63273933233868	7.48857857686732	7.40521093765471
S100P	8.35636294936595	7.91549084154158	9.48176980003573	9.64299277807315	8.36351939921641	3.69945055381311	5.68894296460362	4.35319019179119	4.53125428970718	3.99166027284357
PTPRCAP	5.02866699715586	4.72401054711007	4.12222935711548	4.18894761345505	3.80305085836535	8.52515867110778	9.16970132164356	8.84671238588808	9.08012596508563	8.53603032406465
KIT	5.88821169660724	2.53319368811524	5.07711091817713	4.744692934599	4.83905051253733	9.085158267425	6.46904009029344	8.93318564462529	9.05670746922666	9.39828281938518
OLR1	9.01868187619349	7.93695732170955	9.39089698487919	8.89799447847056	8.66892458672748	5.26159497530433	5.04252044319123	3.57871573392495	4.84845427537843	3.3798933652123
NKG7	7.31252298211301	10.372963701899	7.93774381957631	8.16124853471517	9.67105074612135	4.16407599495347	4.99276125377779	4.20468881354564	3.82412866616305	5.3834495281267
