x	y	value	group
cell1	gene1	1	groupC
cell1	gene2	5	groupC
cell1	gene3	10	groupC
cell1	gene4	15	groupC
cell1	gene5	20	groupC
cell1	gene6	25	groupC
cell1	gene7	30	groupC
cell1	gene8	35	groupC
cell1	gene9	40	groupC
cell1	gene10	45	groupC
cell2	gene1	3	groupC
cell2	gene2	7	groupC
cell2	gene3	11	groupC
cell2	gene4	15	groupC
cell2	gene5	19	groupC
cell2	gene6	23	groupC
cell2	gene7	27	groupC
cell2	gene8	31	groupC
cell2	gene9	35	groupC
cell2	gene10	39	groupC
cell3	gene1	100	groupC
cell3	gene2	90	groupC
cell3	gene3	80	groupC
cell3	gene4	70	groupC
cell3	gene5	60	groupC
cell3	gene6	50	groupC
cell3	gene7	40	groupC
cell3	gene8	30	groupC
cell3	gene9	20	groupC
cell3	gene10	10	groupC
cell4	gene1	90	groupC
cell4	gene2	85	groupC
cell4	gene3	80	groupC
cell4	gene4	75	groupC
cell4	gene5	70	groupC
cell4	gene6	65	groupC
cell4	gene7	60	groupC
cell4	gene8	55	groupC
cell4	gene9	50	groupC
cell4	gene10	45	groupC
cell5	gene1	6	groupC
cell5	gene2	12	groupC
cell5	gene3	18	groupC
cell5	gene4	24	groupC
cell5	gene5	30	groupC
cell5	gene6	36	groupC
cell5	gene7	42	groupC
cell5	gene8	48	groupC
cell5	gene9	54	groupC
cell5	gene10	60	groupC
cell1	gene1	1	groupD
cell1	gene2	5	groupD
cell1	gene3	10	groupD
cell1	gene4	15	groupD
cell1	gene5	20	groupD
cell1	gene6	25	groupD
cell1	gene7	30	groupD
cell1	gene8	35	groupD
cell1	gene9	40	groupD
cell1	gene10	45	groupD
cell2	gene1	3	groupD
cell2	gene2	7	groupD
cell2	gene3	11	groupD
cell2	gene4	15	groupD
cell2	gene5	19	groupD
cell2	gene6	23	groupD
cell2	gene7	27	groupD
cell2	gene8	31	groupD
cell2	gene9	35	groupD
cell2	gene10	39	groupD
cell3	gene1	100	groupD
cell3	gene2	90	groupD
cell3	gene3	80	groupD
cell3	gene4	70	groupD
cell3	gene5	60	groupD
cell3	gene6	50	groupD
cell3	gene7	40	groupD
cell3	gene8	30	groupD
cell3	gene9	20	groupD
cell3	gene10	10	groupD
cell4	gene1	90	groupD
cell4	gene2	85	groupD
cell4	gene3	80	groupD
cell4	gene4	75	groupD
cell4	gene5	70	groupD
cell4	gene6	65	groupD
cell4	gene7	60	groupD
cell4	gene8	55	groupD
cell4	gene9	50	groupD
cell4	gene10	45	groupD
cell5	gene1	6	groupD
cell5	gene2	12	groupD
cell5	gene3	18	groupD
cell5	gene4	24	groupD
cell5	gene5	30	groupD
cell5	gene6	36	groupD
cell5	gene7	42	groupD
cell5	gene8	48	groupD
cell5	gene9	54	groupD
cell5	gene10	60	groupD
