Name,Value1,Value2,Value3,Value4,Group
ATR,5.1,3.5,1.4,0.2,p53 pathway
CHEK1,4.9,3,1.4,0.2,p53 pathway
GORAB,4.7,3.2,1.3,0.2,p53 pathway
CDKN2A,4.6,3.1,1.5,0.2,p53 pathway
MDM2,5,3.6,1.4,0.2,p53 pathway
MDM4,5.4,3.9,1.7,0.4,p53 pathway
TP53,4.6,3.4,1.4,0.3,p53 pathway
CDKN1A,5,3.4,1.5,0.2,p53 pathway
CCND1,4.4,2.9,1.4,0.2,p53 pathway
CCND2,4.9,3.1,1.5,0.1,p53 pathway
CCND3,5.4,3.7,1.5,0.2,p53 pathway
CDK4,4.8,3.4,1.6,0.2,p53 pathway
CDK6,4.8,3,1.4,0.1,p53 pathway
CCNE1,4.3,3,1.1,0.1,p53 pathway
CCNE2,5.8,4,1.2,0.2,p53 pathway
CDK2,5.7,4.4,1.5,0.4,p53 pathway
SFN,5.4,3.9,1.3,0.4,p53 pathway
RPRM,5.1,3.5,1.4,0.3,p53 pathway
CCNB1,5.7,3.8,1.7,0.3,p53 pathway
CCNB2,5.1,3.8,1.5,0.3,p53 pathway
CDK1,5.4,3.4,1.7,0.2,p53 pathway
GADD45A,5.1,3.7,1.5,0.4,p53 pathway
GADD45B,4.6,3.6,1,0.2,p53 pathway
GADD45G,5.1,3.3,1.7,0.5,p53 pathway
GTSE1,4.8,3.4,1.9,0.2,p53 pathway
FAS,5,3,1.6,0.2,p53 pathway
PIDD1,5,3.4,1.6,0.4,p53 pathway
TNFRSF10A,5.2,3.5,1.5,0.2,p53 pathway
TNFRSF10B,5.2,3.4,1.4,0.2,p53 pathway
CASP8,4.7,3.2,1.6,0.2,p53 pathway
BID,4.8,3.1,1.6,0.2,p53 pathway
BAX,5.4,3.4,1.5,0.4,p53 pathway
PMAIP1,5.2,4.1,1.5,0.1,p53 pathway
BBC3,5.5,4.2,1.4,0.2,p53 pathway
TP53AIP1,4.9,3.1,1.5,0.2,p53 pathway
SIVA1,5,3.2,1.2,0.2,p53 pathway
BCL2L1,5.5,3.5,1.3,0.2,p53 pathway
BCL2,4.9,3.6,1.4,0.1,p53 pathway
TP53I3,4.4,3,1.3,0.2,p53 pathway
EI24,5.1,3.4,1.5,0.2,p53 pathway
SHISA5,5,3.5,1.3,0.3,p53 pathway
PERP,4.5,2.3,1.3,0.3,p53 pathway
ZMAT3,4.4,3.2,1.3,0.2,p53 pathway
SIAH1,5,3.5,1.6,0.6,p53 pathway
CYCS,5.1,3.8,1.9,0.4,p53 pathway
APAF1,4.8,3,1.4,0.3,p53 pathway
CASP9,5.1,3.8,1.6,0.2,p53 pathway
CASP3,4.6,3.2,1.4,0.2,p53 pathway
AIFM2,5.3,3.7,1.5,0.2,p53 pathway
IGFBP3,5,3.3,1.4,0.2,p53 pathway
PORCN,7,3.2,4.7,1.4,wnt pathway
WNT1,6.4,3.2,4.5,1.5,wnt pathway
WNT2,6.9,3.1,4.9,1.5,wnt pathway
WNT2B,5.5,2.3,4,1.3,wnt pathway
WNT3,6.5,2.8,4.6,1.5,wnt pathway
WNT3A,5.7,2.8,4.5,1.3,wnt pathway
WNT4,6.3,3.3,4.7,1.6,wnt pathway
WNT5A,4.9,2.4,3.3,1,wnt pathway
WNT5B,6.6,2.9,4.6,1.3,wnt pathway
WNT6,5.2,2.7,3.9,1.4,wnt pathway
WNT7A,5,2,3.5,1,wnt pathway
WNT7B,5.9,3,4.2,1.5,wnt pathway
WNT8A,6,2.2,4,1,wnt pathway
WNT8B,6.1,2.9,4.7,1.4,wnt pathway
WNT9A,5.6,2.9,3.6,1.3,wnt pathway
WNT9B,6.7,3.1,4.4,1.4,wnt pathway
WNT10B,5.6,3,4.5,1.5,wnt pathway
WNT10A,5.8,2.7,4.1,1,wnt pathway
WNT11,6.2,2.2,4.5,1.5,wnt pathway
WNT16,5.6,2.5,3.9,1.1,wnt pathway
CER1,5.9,3.2,4.8,1.8,wnt pathway
NOTUM,6.1,2.8,4,1.3,wnt pathway
WIF1,6.3,2.5,4.9,1.5,wnt pathway
SERPINF1,6.1,2.8,4.7,1.2,wnt pathway
SOST,6.4,2.9,4.3,1.3,wnt pathway
DKK1,6.6,3,4.4,1.4,wnt pathway
DKK2,6.8,2.8,4.8,1.4,wnt pathway
DKK4,6.7,3,5,1.7,wnt pathway
SFRP1,6,2.9,4.5,1.5,wnt pathway
