Probes	GSM65752	GSM65753	GSM65755	GSM65757	GSM65758	GSM65760	GSM65761	GSM65762	GSM65763	GSM65764	GSM65767	GSM65768	GSM65769	GSM65770	GSM65771	GSM65772	GSM65773	GSM65774	GSM65775	GSM65776	GSM65779	GSM65781	GSM65783	GSM65784	GSM65785	GSM65786	GSM65788	GSM65789	GSM65790	GSM65791	GSM65792	GSM65793	GSM65794	GSM65795	GSM65796	GSM65797	GSM65798	GSM65799	GSM65800	GSM65801	GSM65803	GSM65804	GSM65805	GSM65806	GSM65807	GSM65808	GSM65811	GSM65814	GSM65815	GSM65816	GSM65817	GSM65818	GSM65819	GSM65821	GSM65822	GSM65824	GSM65830	GSM65831	GSM65832	GSM65833	GSM65834	GSM65836	GSM65837	GSM65839	GSM65841	GSM65842	GSM65843	GSM65844	GSM65845	GSM65848	GSM65850	GSM65853	GSM65855	GSM65857	GSM65860	GSM65861	GSM65862	GSM65863	GSM65865	GSM65866	GSM65867	GSM65868	GSM65869	GSM65870	GSM65871	GSM65872	GSM65873	GSM65874	GSM65875	GSM65878	GSM65880
220050_at	6.566843	5.902831	5.185271	5.474453	5.439203	5.460625	5.788689	5.250842	6.147912	5.959189	5.977299	5.484792	5.498696	5.395693	5.831506	5.587086	5.329218	6.344503	5.20918	5.47286	5.869273	5.767636	5.799181	5.808133	5.776299	5.576457	5.715048	5.63481	5.243847	5.740418	5.346665	5.906436	5.930646	5.539453	5.494936	5.433344	5.565893	5.459728	5.986328	5.349593	5.47184	5.726259	5.522822	5.961684	5.47187	5.538638	5.607081	6.216479	6.192875	5.744962	5.607776	5.320074	5.510884	5.636608	5.421861	5.588782	5.571616	5.539333	5.839067	5.704368	5.328195	5.562118	5.669632	5.451351	5.413274	5.542824	5.691489	6.175472	5.423231	5.596222	5.354081	5.783724	5.379379	5.629907	5.642088	5.442838	5.548908	5.443886	5.82027	5.729875	6.134547	5.844916	5.523855	5.298863	5.349087	5.424905	5.669632	5.638142	6.156529	5.828821	5.961488
213944_x_at	8.722271	9.088407	9.106401	8.900869	9.169248	8.524712	8.46578	8.96353	9.233204	9.117548	9.146888	9.161904	9.029924	9.009151	8.897185	8.762079	9.108979	9.071186	8.931775	9.11094	8.927418	9.165656	8.826401	8.841054	9.507191	9.355963	9.064215	8.881302	8.68259	8.675013	8.707037	8.822784	8.801147	9.33401	9.046172	9.081304	8.942895	8.77329	9.075867	9.364009	9.296178	8.96961	8.726974	8.6468	9.228114	9.042998	8.971883	9.301341	9.25345	8.482415	8.843411	8.514378	8.89337	8.833528	8.932812	9.212451	9.223985	9.785458	9.183762	8.310277	8.347576	9.021344	8.524138	9.054288	8.463764	8.154202	9.560716	9.307059	9.25888	9.104432	8.953095	9.128738	8.999383	9.009922	9.280892	9.325674	9.412949	8.563952	9.123914	8.925527	9.612696	9.020627	9.578923	8.597977	8.620383	8.894455	8.724972	8.958195	9.100791	9.177725	9.350295
215441_at	3.812778	3.852745	3.84669	3.842543	3.734796	3.819339	3.863613	3.940761	3.927444	3.800977	3.842351	3.869375	3.931238	4.062396	3.847057	3.814538	3.786824	3.8554	3.799253	3.933885	3.87916	3.819677	3.794085	3.840897	3.794418	3.833908	3.801128	3.799002	3.739467	3.907614	3.894022	3.812598	3.784649	3.902902	3.756757	3.90331	3.931047	3.93983	4.016903	3.942618	3.829442	3.936164	4.240169	3.789221	3.860024	3.840624	3.783541	3.92507	3.90331	3.93035	3.85738	3.941415	3.812827	4.137843	4.172571	4.215938	4.146612	4.077064	4.139707	4.179998	4.091573	4.094266	4.180075	4.206118	4.141544	4.101829	4.075189	4.09246	4.141813	4.422531	4.089173	4.20237	4.169145	4.161448	4.113907	4.110558	4.182587	4.024081	4.317545	4.064542	4.152162	4.129895	3.99697	4.213407	4.349577	4.259394	4.267807	4.236292	4.447897	4.409553	4.283458
214792_x_at	6.499815	6.731196	5.951202	6.57883	6.416525	6.073324	8.04564	6.736979	6.579324	6.562215	6.93772	6.508207	5.714197	6.585755	6.595251	6.729721	6.66407	6.08984	6.085164	6.55778	6.463412	7.066569	7.244267	6.576171	7.053932	6.788343	6.355815	6.746557	6.610211	7.074899	6.514645	7.161713	6.896278	6.471292	6.337689	6.739195	6.52163	7.040833	6.571533	6.319651	6.648703	6.321838	6.373568	6.428443	6.775326	6.021527	6.457121	6.346162	6.854003	6.233362	6.331811	6.25321	6.173862	7.448061	7.025083	7.173292	7.180103	7.390191	6.936822	7.434371	7.221319	7.082494	7.392764	7.236202	7.177762	7.157391	7.694812	7.922136	6.577932	7.966465	7.278511	7.836941	7.613156	7.219828	7.891945	7.177118	6.965716	7.215453	7.453921	7.551054	7.549408	7.225776	6.864707	6.874075	7.117834	6.892009	7.277335	7.023554	7.485359	7.790001	7.239822
217251_x_at	6.607354	6.555413	6.715821	6.628053	6.549721	7.172536	6.871344	6.414132	6.734154	6.56881	6.809459	6.785549	6.624043	6.735455	6.785737	6.702404	6.661275	6.524308	6.419763	6.601514	6.668924	6.768434	6.779895	6.562108	6.642379	6.655014	6.507318	6.728417	6.708862	6.74277	6.637444	6.749646	7.10903	6.766248	6.5131	6.806232	6.507375	6.698465	6.564443	6.66478	6.990316	6.795241	6.829225	6.749795	7.242919	6.644269	6.599038	6.958981	6.676743	6.91856	7.031567	6.705891	6.667738	6.395793	6.214244	6.139862	6.071056	6.063674	6.203406	6.36947	6.280327	6.136195	5.822837	6.199478	6.397246	6.392791	6.187496	6.659676	6.412882	6.092457	6.339442	6.131687	6.088777	6.154619	6.247026	6.22831	6.444904	6.096036	6.474498	6.314182	6.192561	6.135546	6.296893	6.110927	6.151952	6.158293	6.14853	6.049947	6.466383	6.422023	6.348945
207406_at	3.997302	3.964112	3.83656	3.833057	3.827757	3.874117	3.856914	3.823318	3.858598	3.993865	3.967663	3.776359	3.802698	3.923988	4.00511	4.086089	3.896543	3.96179	3.846665	4.015327	4.006946	3.951577	3.780988	3.818472	4.050697	3.862173	3.833049	3.922142	3.869561	3.845244	3.934351	3.902504	3.897955	3.848564	3.778492	3.889215	3.874191	3.794226	3.933785	3.887233	3.93093	3.919603	3.940104	3.867676	3.98463	3.740768	3.763733	3.953097	3.911001	3.863161	3.82113	3.970485	3.921319	4.203994	4.421195	4.309329	4.244874	4.358376	4.182085	4.430472	4.331614	4.341399	4.312692	4.288506	4.425574	4.363352	4.344682	4.424426	4.34082	4.295014	4.336629	4.354871	4.250212	4.306725	4.227783	4.272446	4.313245	4.290665	4.29333	4.304711	4.312281	4.347915	4.238379	4.44081	4.497018	4.218123	4.318675	4.40022	4.345651	4.42139	4.290598
222345_at	6.189604	6.460238	6.57475	6.365223	6.412492	6.58948	6.528294	6.34909	6.490066	6.399857	6.421805	6.281561	6.442885	6.466009	6.260948	6.385676	6.495795	6.480049	6.21417	6.451306	6.47739	6.704965	6.560806	6.299788	6.601844	6.175278	6.274924	6.612146	6.234471	6.387343	6.297297	6.350192	6.825435	6.185656	6.333458	6.124288	6.193477	6.51367	6.315106	6.39842	6.540541	6.409867	6.17841	6.336588	6.624899	6.19716	6.351843	6.415628	6.52633	6.662481	6.364307	6.387892	6.341148	5.710378	5.436559	5.532401	5.758436	5.764227	5.683079	5.97391	5.287104	5.725798	5.616234	5.497373	5.573967	5.699858	5.523136	5.849161	5.980617	5.545133	5.86929	5.920246	5.636202	5.55847	5.742586	5.740582	5.700803	5.602198	5.735136	5.771088	5.789735	5.493864	5.711015	5.630806	5.87877	5.401802	5.647599	5.431069	5.555801	5.664258	5.647124
215751_at	3.895725	3.889096	3.984255	3.985115	3.913592	3.945042	3.949653	4.065076	3.91069	3.93363	4.022568	3.935702	3.850262	3.901534	4.163398	4.134258	4.017093	3.93908	3.980045	3.822644	4.027965	3.95115	3.905543	4.029918	3.828302	3.885565	3.843208	4.025968	4.027583	4.086211	3.754062	3.891693	4.172859	4.108526	3.830319	3.917643	3.853413	3.955502	4.035409	3.815954	3.872728	3.945356	3.973811	3.936378	4.134535	3.94938	4.010943	3.996576	3.91444	4.01929	4.058954	3.795876	3.917683	4.767236	5.017739	4.836917	4.836238	4.987565	4.879201	4.890597	4.878664	4.884233	4.800444	4.864374	4.937911	4.919718	4.945219	4.920344	5.019385	4.8317	4.919042	4.816893	4.874024	4.991562	4.891594	4.749714	4.850173	4.824859	4.755025	4.976639	4.95751	5.018416	4.901434	4.852511	4.905746	4.924511	4.91648	5.044466	5.067323	5.342737	4.933183
221099_at	7.549672	7.421679	7.666253	7.545756	7.570282	7.730152	7.926238	7.54017	7.842564	7.56362	8.265337	7.723532	7.461698	7.609397	7.845607	7.922293	7.78806	7.586804	7.407695	7.637975	7.503602	7.850656	7.84061	7.580196	7.495248	7.666964	7.463214	8.028471	7.769875	7.887255	7.502287	7.624558	7.986094	7.617436	7.686955	7.713368	7.468242	7.811893	7.678118	7.739246	7.730857	7.817248	7.792942	7.991281	7.957052	7.560709	7.526866	7.894593	7.612799	7.907589	7.716517	7.606125	7.572505	7.455762	7.121173	7.004458	6.892558	7.410011	7.295735	7.442081	7.126812	7.317116	7.209399	7.259072	7.237462	7.529651	7.298738	7.371375	7.437708	7.249932	7.573904	7.376094	7.152409	7.319572	7.244661	7.233711	7.005348	7.094321	7.354598	7.294485	7.128572	7.283386	7.451005	7.05996	7.254313	7.238101	7.346119	6.955122	7.722533	7.269392	7.570563
217856_at	7.568744	7.141057	6.993463	7.51089	7.219248	6.592909	7.667055	7.184228	7.216227	7.420642	6.995609	6.607688	7.328057	7.378889	7.520288	7.312691	7.225365	7.805914	7.132965	6.877714	6.695881	6.839127	7.273618	8.137487	7.581825	7.615768	7.444365	7.996845	7.212706	7.023528	6.50265	8.180509	7.405775	6.832438	7.020726	7.64692	8.214564	7.518559	7.06341	7.951231	7.236809	7.714844	7.606337	6.801177	7.623339	7.248831	7.515281	7.13393	7.411863	8.05219	7.572679	7.004487	6.753129	7.955025	6.660044	8.001294	7.984568	9.107136	8.247612	7.710268	7.098558	7.409632	8.622967	7.04524	6.662968	6.910164	6.997643	7.992952	6.495484	7.749589	8.115449	7.793111	7.690211	7.949146	7.875886	7.079885	7.039079	7.83332	7.149896	7.899001	7.788701	8.911049	7.767231	7.638413	8.3114	8.005844	8.232906	7.839193	8.318392	7.996489	6.938541
