age	sex	pop
0-4	male	225817
0-4	female	213072
5-9	male	223656
5-9	female	210508
10-14	male	214782
10-14	female	201672
15-19	male	211536
15-19	female	199507
20-24	male	234660
20-24	female	227201
25-29	male	262196
25-29	female	261740
30-34	male	290515
30-34	female	292873
35-39	male	305496
35-39	female	303424
40-44	male	293771
40-44	female	292086
45-49	male	293819
45-49	female	295896
50-54	male	322448
50-54	female	319922
55-59	male	313971
55-59	female	307701
60-64	male	255746
60-64	female	255781
65-69	male	207405
65-69	female	219221
70-74	male	184796
70-74	female	205348
75-79	male	142895
75-79	female	170923
80-84	male	89351
80-84	female	125421
85-89	male	52414
85-89	female	90547
90-94	male	18965
90-94	female	46585
95-99	male	3648
95-99	female	14396
100+	male	276
100+	female	2007
