main	X2	X3	group
100	0.9	0	1
90	0.65	1	1
400	1.36	0	1
200	0.83	0	1
300	1.38	0	1
200	0.69	0	1
80	0.81	0	1
300	0.93	0	1
90	0.95	1	1
400	0.88	0	1
30	0.93	0	1
280	0.63	0	1
400	0.76	0	1
150	0.7	0	1
150	0.75	0	1
400	0.78	0	1
300	0.62	0	1
210	0.77	0	1
30	0.81	0	1
200	0.66	0	1
200	0.59	1	1
400	1.03	0	1
595	0.72	0	1
1000	0.82	0	1
450	0.69	0	1
400	0.69	0	1
600	0.77	0	1
600	0.55	0	1
600	0.62	0	1
600	0.93	0	1
600	1.21	0	1
400	0.72	0	1
600	0.98	0	1
600	0.98	0	1
600	0.93	0	1
600	0.89	0	1
600	0.79	0	1
300	1.04	0	1
400	0.74	0	1
800	1.72	0	1
400	1.47	0	1
750	0.72	0	1
400	0.51	0	1
200	0.93	0	1
1000	0.92	0	1
1100	0.54	1	1
400	0.82	0	1
600	1.89	0	1
400	0.94	0	1
160	0.37	0	1
800	0.96	0	1
920	1.32	0	1
340	1.05	0	1
600	0.84	0	1
600	0.9	0	1
600	0.65	0	1
800	0.95	0	1
450	1.03	0	1
400	0.41	0	1
400	0.76	0	1
600	0.82	0	1
800	0.95	0	1
300	1.22	0	1
120	0.88	0	1
400	0.68	0	1
800	0.59	0	1
600	0.63	0	1
600	0.72	1	1
400	0.7	0	1
600	0.83	0	1
800	0.79	0	1
300	0.93	0	1
600	0.98	0	1
800	0.62	0	1
1000	0.71	0	1
400	0.54	1	1
300	0.87	0	1
280	0.91	0	1
700	0.86	0	1
240	0.85	0	1
600	0.86	0	1
600	0.79	0	1
500	0.86	0	1
1200	0.71	0	1
1200	1.4	1	1
1600	0.65	0	1
1600	0.9	0	1
1600	0.6	1	1
1200	1.01	0	1
1200	1.51	0	1
220	0.97	0	1
1600	0.91	0	1
960	0.65	0	1
1600	1.02	0	1
1200	0.77	0	1
400	1.49	0	1
800	0.74	0	1
600	1.2	0	1
1600	0.91	0	1
400	0.96	0	1
220	0.97	0	1
800	0.78	1	1
800	0.79	0	1
150	0.68	0	1
400	0.6	0	1
600	1.04	0	1
600	0.8	0	1
600	0.65	0	1
400	0.76	0	1
200	1.22	0	1
600	0.55	0	1
100	0.43	0	1
600	0.47	0	1
30	0.75	0	1
200	0.92	0	1
360	0.76	0	1
400	0.56	0	1
50	1	0	1
300	1.22	0	1
500	1.24	0	1
900	0.6	1	1
1050	0.111	1	1
140	0.234	0	1
360	1.036	1	1
400	0.058	0	1
800	0.095	1	1
600	0.077	0	1
800	0.12	0	1
90	0.173	0	1
500	0.029	0	1
600	0.114	0	1
100	0.384	0	1
800	0.214	0	1
800	0.068	0	1
600	0.561	0	1
200	0.071	0	1
800	0.253	0	1
800	0.253	0	1
900	0.037	1	1
600	0.207	0	1
800	0.425	0	1
200	0.059	1	1
600	0.317	0	1
200	0.188	1	2
500	0.091	1	2
300	0.088	0	2
300	0.432	0	2
400	0.164	0	2
200	0.187	0	2
100	0.379	0	2
30	0.022	1	2
85	0.056	0	2
90	0.169	1	2
120	0.26	0	2
10	0.042	0	2
200	0.285	0	2
240	0.071	0	2
60	0.016	0	2
90	0.323	0	2
294	0.372	0	2
60	0.033	1	2
75	0.032	0	2
300	0.859	0	2
600	0.376	0	2
300	0.113	0	2
800	0.296	0	2
800	0.118	0	2
400	0.204	0	2
800	0.165	0	2
400	0.263	1	2
600	0.12	0	2
750	0.39	1	2
600	0.45	0	2
1400	0.266	0	2
600	0.014	0	2
400	0.213	0	2
400	0.143	0	2
1000	0.182	0	2
1000	0.044	0	2
800	0.498	0	2
200	0.104	0	2
120	0.791	0	2
600	0.639	0	2
400	0.626	0	2
200	0.334	0	2
400	0.128	0	2
1000	0.3	0	2
600	0.014	0	2
400	0.214	0	2
800	0.103	1	2
400	1.043	0	2
600	0.32	0	2
400	0.042	0	2
800	0.645	0	2
600	0.715	0	2
1000	0.419	0	2
800	0.069	0	2
800	0.047	0	2
200	0.039	0	2
600	0.058	0	2
940	0.113	0	2
600	0.162	1	2
600	0.988	0	2
800	0.567	0	2
600	0.312	1	2
1500	0.518	1	2
1600	0.267	0	2
1600	0.017	1	2
1200	0.095	0	2
600	0.051	0	2
1200	0.25	1	2
600	0.211	0	2
1400	0.366	0	2
900	0.276	0	2
600	0.033	0	2
1500	0.262	0	2
800	0.51	0	2
1500	0.065	0	2
1200	0.225	0	2
600	0.081	0	2
3000	0.36	0	2
400	0.157	0	2
1000	0.89	1	2
600	0.235	0	2
1200	0.711	0	2
450	0.297	0	2
900	0.104	1	2
900	0.612	0	2
800	0.09	1	2
500	0.476	0	2
600	0.113	0	2
600	0.112	0	2
600	0.43	0	2
600	0.14	1	2
1500	0.074	0	2
800	0.116	0	2
600	0.193	0	2
1000	0.392	0	2
300	0.053	0	2
600	0.331	0	2
800	0.095	0	2
400	0.168	0	2
300	0.888	0	2
200	0.291	0	2
400	0.035	1	2
800	0.023	0	2
100	0.08	0	2
900	0.192	0	2
240	0.085	0	2
1400	0.299	0	2
360	0.915	0	2
100	0.127	0	2
400	0.065	0	2
300	0.055	0	2
300	0.278	0	2
800	0.07	0	2
800	0.487	0	2
100	0.085	0	2
200	0.094	0	2
1050	0.054	1	2
450	0.79	0	3
160	0.144	0	3
500	0.13	1	3
270	0.654	0	3
50	0.057	1	3
10	0.182	0	3
300	0.052	0	3
280	0.525	0	3
400	0.352	0	3
300	0.096	0	3
300	0.446	0	3
180	0.286	0	3
300	0.17	0	3
600	0.035	0	3
350	0.288	0	3
300	0.188	0	3
500	0.277	0	3
400	0.022	0	3
400	0.137	0	3
600	0.554	1	3
1000	0.905	0	3
300	0.309	0	3
1200	0.289	0	3
800	0.172	0	3
600	0.719	0	3
800	0.218	0	3
600	0.139	0	3
600	0.414	1	3
800	0.123	0	3
400	0.274	0	3
800	0.068	0	3
800	0.087	1	3
800	0.921	0	3
400	0.189	0	3
800	0.037	0	3
600	0.192	1	3
200	0.113	1	3
1000	0.784	0	3
600	0.289	0	3
400	0.059	0	3
800	0.277	0	3
400	0.29	0	3
1200	0.427	0	3
600	0.204	1	3
800	0.103	0	3
600	0.151	0	3
800	0.084	0	3
600	1.02	0	3
400	0.068	0	3
600	0.431	0	3
800	0.206	0	3
800	0.338	0	3
600	0.151	0	3
400	0.152	0	3
800	0.022	0	3
400	0.208	0	3
1000	0.12	0	3
1000	0.203	0	3
1200	1.41	0	3
400	0.078	0	3
1200	0.556	0	3
1200	0.14	0	3
1500	0.697	1	3
800	0.065	1	3
1200	0.14	0	3
1600	0.193	0	3
1200	0.219	0	3
1200	0.193	1	3
600	0.084	0	3
1200	0.191	0	3
1200	0.344	0	3
1200	0.059	1	3
1000	0.357	0	3
900	0.878	0	3
400	0.685	0	3
900	0.476	1	3
480	0.562	0	3
