group	x.axis.value	y.axis.value.low	y.axis.value.high
Group1	1900	-0.279	-0.063
Group1	1901	-0.271	-0.053
Group1	1902	-0.285	-0.069
Group1	1903	-0.303	-0.095
Group1	1904	-0.328	-0.118
Group1	1905	-0.348	-0.134
Group1	1906	-0.4	-0.188
Group1	1907	-0.417	-0.207
Group1	1908	-0.431	-0.225
Group1	1909	-0.382	-0.18
Group2	1900	-0.346	-0.148
Group2	1901	-0.34	-0.146
Group2	1902	-0.357	-0.157
Group2	1903	-0.368	-0.168
Group2	1904	-0.354	-0.16
Group2	1905	-0.344	-0.154
Group2	1906	-0.31	-0.118
Group2	1907	-0.297	-0.105
Group2	1908	-0.272	-0.08
Group2	1909	-0.279	-0.085
