p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.55344776606651e-30	-1.17650888227125	0.618	0.962	6.55344776606651e-27	0	ACTG1
6.81889625844214e-29	-1.38721012412639	0.26	0.785	6.81889625844214e-26	0	ARF1
4.79234167501284e-22	-1.1496655118851	0.344	0.816	4.79234167501284e-19	0	ALDOA
2.19270438749159e-21	-1.57374936481377	0.069	0.55	2.19270438749159e-18	0	ARHGDIA
9.09214851367522e-21	-0.680378991816658	0.87	1	9.09214851367522e-18	0	ACTB
3.99622539956216e-20	2.21188873711958	0.969	0.897	3.99622539956216e-17	0	AFMID
1.20287734231059e-18	-0.709294669879025	0.168	0.632	1.20287734231059e-15	0	ACTR3
1.29472582833874e-18	-2.51622003740198	0.084	0.515	1.29472582833874e-15	0	ACTN1
3.02154978843615e-18	-2.10729902169501	0.053	0.485	3.02154978843615e-15	0	APRT
3.66576403728984e-18	-1.01609770262502	0.137	0.605	3.66576403728984e-15	0	AP2M1
5.29603165067736e-17	-0.750532458542001	0.092	0.538	5.29603165067736e-14	0	ACADVL
5.45086898453742e-17	-1.77789950723094	0.26	0.626	5.45086898453742e-14	0	ADIPOR1
1.17425174985047e-16	-1.92542898465036	0.084	0.485	1.17425174985047e-13	0	APMAP
2.62351125683076e-16	-1.38696772605217	0.092	0.521	2.62351125683076e-13	0	ARHGDIB
6.69903845619545e-16	-1.3991093078405	0.13	0.544	6.69903845619545e-13	0	AKAP13
9.46149753283981e-16	-0.950789845383466	0.145	0.556	9.46149753283981e-13	0	ACTN4
1.29052943535395e-15	-1.96224255049205	0.168	0.579	1.29052943535396e-12	0	AHNAK
4.84644717589368e-15	-1.01462627920899	0.389	0.73	4.84644717589368e-12	0	ARCN1
1.41176480543472e-14	-0.66464072346615	0.229	0.626	1.41176480543472e-11	0	ABI1
3.08422900896983e-14	-2.07452436869452	0.031	0.375	3.08422900896983e-11	0	ACO2
4.30313409354505e-14	-1.62805183872976	0.13	0.487	4.30313409354505e-11	0	AAMP
4.37238433044889e-14	-0.53364119609271	0.221	0.621	4.37238433044889e-11	0	ANXA7
1.46541994967499e-13	-0.980969853951328	0.168	0.546	1.46541994967499e-10	0	ANAPC5
5.34187441674148e-13	-1.1351177804649	0.053	0.397	5.34187441674148e-10	0	AFF1
3.46887093795606e-12	-2.22567356750079	0.008	0.307	3.46887093795606e-09	0	ARHGEF1
4.21773322309295e-12	-1.27089401011147	0.038	0.349	4.21773322309295e-09	0	A2M
1.34765108733318e-11	-1.79468478589652	0.023	0.322	1.34765108733318e-08	0	ANXA6
3.39300861574891e-11	-1.66456067859273	0.092	0.395	3.39300861574891e-08	0	ANKRD36BP1
6.21107793902003e-11	-2.04227914243166	0.099	0.398	6.21107793902003e-08	0	AP1G2
1.58375050867102e-10	-0.719693288032317	0.092	0.398	1.58375050867103e-07	0	ALDH9A1
1.73872555930244e-10	-0.501561253825588	0.321	0.678	1.73872555930244e-07	0	APLP2
1.85298868133666e-10	-1.40342763319619	0.038	0.312	1.85298868133666e-07	0	ARFGAP2
2.29199841884e-10	-0.974127002811176	0.382	0.651	2.29199841884e-07	0	ADAR
2.33902722696504e-10	-0.8743549516934	0.061	0.362	2.33902722696504e-07	0	ABT1
1.19856991826371e-09	-1.7767503787719	0.031	0.284	1.19856991826371e-06	0	AARS
1.45960093699542e-09	-0.950663449525869	0.038	0.305	1.45960093699542e-06	0	ACTR1A
1.72554427653301e-09	-0.515023623738642	0.153	0.462	1.72554427653301e-06	0	AKR1A1
1.79228249553107e-09	-1.00837344946352	0.053	0.322	1.79228249553107e-06	0	ADPGK
2.05112509249409e-09	-0.542304033504802	0.061	0.33	2.05112509249409e-06	0	ALCAM
2.42026249581252e-09	-1.03641957264234	0.122	0.404	2.42026249581252e-06	0	APP
