Value,Group1,Group2
4.2,low,treat1
11.5,low,treat1
7.3,low,treat1
5.8,low,treat1
6.4,low,treat1
10,low,treat1
11.2,low,treat1
11.2,low,treat1
5.2,low,treat1
7,low,treat1
16.5,mid,treat1
16.5,mid,treat1
15.2,mid,treat1
17.3,mid,treat1
22.5,mid,treat1
17.3,mid,treat1
13.6,mid,treat1
14.5,mid,treat1
18.8,mid,treat1
15.5,mid,treat1
23.6,high,treat1
18.5,high,treat1
33.9,high,treat1
25.5,high,treat1
26.4,high,treat1
32.5,high,treat1
26.7,high,treat1
21.5,high,treat1
23.3,high,treat1
29.5,high,treat1
15.2,low,treat2
21.5,low,treat2
17.6,low,treat2
9.7,low,treat2
14.5,low,treat2
10,low,treat2
8.2,low,treat2
9.4,low,treat2
16.5,low,treat2
9.7,low,treat2
19.7,mid,treat2
23.3,mid,treat2
23.6,mid,treat2
26.4,mid,treat2
20,mid,treat2
25.2,mid,treat2
25.8,mid,treat2
21.2,mid,treat2
14.5,mid,treat2
27.3,mid,treat2
25.5,high,treat2
26.4,high,treat2
22.4,high,treat2
24.5,high,treat2
24.8,high,treat2
30.9,high,treat2
26.4,high,treat2
27.3,high,treat2
29.4,high,treat2
23,high,treat2
