chr	start	end
Chr1	2903	10817
Chr1	11218	12435
Chr1	12648	15915
Chr1	16292	20323
Chr1	22841	26971
Chr1	27136	28651
Chr1	29818	34493
Chr1	35581	41180
Chr1	44595	47526
Chr1	57082	57972
Chr1	58658	61090
Chr1	62059	63576
Chr1	63244	66302
Chr1	69675	70131
Chr1	72775	79938
Chr1	82428	84302
Chr1	85337	88844
Chr1	88986	89204
Chr1	89653	91521
Chr1	95499	98558
Chr1	134291	135685
Chr1	139820	141588
Chr1	141936	144554
Chr1	145577	147852
Chr1	148045	150577
Chr1	151409	156500
Chr1	168470	170389
Chr1	170712	173434
Chr1	178310	180812
Chr1	186246	190846
Chr1	191036	196287
Chr1	197647	200803
Chr1	201944	206743
Chr1	205710	209606
Chr1	209771	214229
Chr1	216126	217664
Chr1	219011	220776
Chr1	226897	229331
Chr1	241641	243468
Chr1	248706	256878
Chr1	259607	259909
Chr1	261504	268471
Chr1	270145	275084
Chr1	276285	277881
Chr1	288372	292296
Chr1	292844	293535
Chr1	293648	294536
Chr1	303103	306800
Chr1	306869	308842
Chr1	309459	313170
Chr1	319713	322248
Chr1	322556	323948
Chr1	327128	328451
Chr1	330238	332345
Chr1	332667	333689
Chr1	335809	371191
Chr1	371831	374470
Chr1	374728	380716
Chr1	383047	386701
Chr1	390051	390623
Chr1	392081	396651
Chr1	403692	404402
Chr1	409700	410818
Chr1	412579	415830
Chr1	416241	420497
Chr1	422462	431692
Chr1	432435	432752
Chr1	437613	449137
Chr1	455512	460716
Chr1	478325	481166
Chr1	482332	482956
Chr1	483885	486492
Chr1	496066	497368
Chr1	498454	506264
Chr1	507270	509225
Chr1	509387	510112
Chr1	510752	512159
Chr1	512840	513502
Chr1	513890	522448
Chr1	524579	528002
Chr1	529367	530008
Chr1	533786	534139
Chr1	537710	543355
Chr1	542987	544510
Chr1	549108	553287
Chr1	554022	558015
Chr1	562056	572138
Chr1	576443	579569
Chr1	585963	586445
Chr1	586414	587780
Chr1	588863	593759
Chr1	598290	601472
Chr1	603643	605643
Chr1	612564	615650
Chr1	620572	621516
Chr1	624087	624613
Chr1	625976	627024
Chr1	632093	632913
Chr1	634011	639309
Chr1	640588	644269
Chr1	645574	646723
Chr1	648128	651881
Chr1	662283	664572
Chr1	689792	694013
Chr1	700533	705670
Chr1	707340	714322
