ENTREZID	ENSEMBL	SYMBOL
4312	ENSG00000196611	MMP1
8318	ENSG00000093009	CDC45
10874	ENSG00000109255	NMU
55143	ENSG00000134690	CDCA8
55388	ENSG00000065328	MCM10
991	ENSG00000117399	CDC20
6280	ENSG00000163220	S100A9
2305	ENSG00000111206	FOXM1
9493	ENSG00000137807	KIF23
1062	ENSG00000138778	CENPE
3868	ENSG00000186832	KRT16
4605	ENSG00000101057	MYBL2
9833	ENSG00000165304	MELK
9133	ENSG00000157456	CCNB2
6279	ENSG00000143546	S100A8
10403	ENSG00000080986	NDC80
8685	ENSG00000019169	MARCO
597	ENSG00000140379	BCL2A1
7153	ENSG00000131747	TOP2A
23397	ENSG00000121152	NCAPH
6278	ENSG00000143556	S100A7
79733	ENSG00000129173	E2F8
259266	ENSG00000066279	ASPM
1381	ENSG00000166426	CRABP1
3627	ENSG00000169245	CXCL10
27074	ENSG00000078081	LAMP3
6241	ENSG00000171848	RRM2
55165	ENSG00000138180	CEP55
9787	ENSG00000126787	DLGAP5
7368	ENSG00000174607	UGT8
11065	ENSG00000175063	UBE2C
55355	ENSG00000123485	HJURP
9582	ENSG00000179750	APOBEC3B
220134	ENSG00000154839	SKA1
220134	ENSG00000262634	SKA1
55872	ENSG00000168078	PBK
51203	ENSG00000137804	NUSAP1
3669	ENSG00000172183	ISG20
83461	ENSG00000111665	CDCA3
22974	ENSG00000088325	TPX2
10460	ENSG00000013810	TACC3
10563	ENSG00000156234	CXCL13
4751	ENSG00000117650	NEK2
6373	ENSG00000169248	CXCL11
8140	ENSG00000103257	SLC7A5
79019	ENSG00000100162	CENPM
820	ENSG00000164047	CAMP
10635	ENSG00000111247	RAD51AP1
1844	ENSG00000158050	DUSP2
4283	ENSG00000138755	CXCL9
27299	ENSG00000134028	ADAMDEC1
55839	ENSG00000166451	CENPN
27338	ENSG00000108106	UBE2S
890	ENSG00000145386	CCNA2
9415	ENSG00000134824	FADS2
983	ENSG00000170312	CDK1
54821	ENSG00000186871	ERCC6L
10232	ENSG00000102854	MSLN
4085	ENSG00000164109	MAD2L1
6362	ENSG00000275385	CCL18
6362	ENSG00000278167	CCL18
6362	ENSG00000278006	CCL18
9837	ENSG00000101003	GINS1
5080	ENSG00000007372	PAX6
7850	ENSG00000115590	IL1R2
81930	ENSG00000121621	KIF18A
5918	ENSG00000118849	RARRES1
81620	ENSG00000167513	CDT1
332	ENSG00000089685	BIRC5
55765	ENSG00000163362	INAVA
79605	ENSG00000177614	PGBD5
3832	ENSG00000138160	KIF11
6286	ENSG00000163993	S100P
5163	ENSG00000152256	PDK1
2146	ENSG00000106462	EZH2
3002	ENSG00000100453	GZMB
50852	ENSG00000163519	TRAT1
7272	ENSG00000112742	TTK
2568	ENSG00000094755	GABRP
64151	ENSG00000109805	NCAPG
51806	ENSG00000178372	CALML5
366	ENSG00000103569	AQP9
2842	ENSG00000183150	GPR19
9212	ENSG00000178999	AURKB
140578	ENSG00000154645	CHODL
51659	ENSG00000131153	GINS2
8715	ENSG00000101746	NOL4
4902	ENSG00000171119	NRTN
8208	ENSG00000159259	CHAF1B
1111	ENSG00000149554	CHEK1
9319	ENSG00000071539	TRIP13
9055	ENSG00000198901	PRC1
3833	ENSG00000237649	KIFC1
3833	ENSG00000233450	KIFC1
3833	ENSG00000204197	KIFC1
3833	ENSG00000056678	KIFC1
